,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman
0,0.823,0.013103478932134593,0.0012013478123978905,0.043246110670011495,50,0,0,0,1000,1019282514,0.7116336063677755,0.5714240301582936
1,0.121,0.06992614268449315,0.05002883252517132,0.020110462965316267,50,0,0,0,1000,1679872250,0.1810587031098205,0.27736204873209563
2,0.556,0.04515083780448348,0.006446114002691461,0.013464786552397578,50,0,0,0,1000,1837932928,0.6717682538979317,0.9549523211436721
3,0.754,0.03428276765635796,0.0023413141061656706,0.04843744297717434,50,0,0,0,1000,1442006727,0.9184084647280306,0.9180297158748763
4,0.417,0.045304692694404736,0.013657983881739777,0.05012041676319856,50,0,0,0,1000,221822463,0.2723531057143433,0.3254299243859553
5,0.751,0.0711681353778012,0.0022127767298149026,-8.093932279962246e-08,50,0,0,0,1000,509771608,0.7391027860399486,0.5406469011669736
6,0.941,0.026992619434916376,0.0002479082943575017,0.06534569995107731,50,0,0,0,1000,1530295774,0.8699774548758807,0.28986222732729033
7,0.081,0.01853963471438025,0.05841941340666479,0.03466933529911187,50,0,0,0,1000,385390263,0.06565370096312094,0.11892125634084971
8,0.241,0.02349702359398642,0.031478067233852935,0.022395307682129384,50,0,0,0,1000,1825954996,0.16851289807293895,0.05057656430932096
9,0.697,0.010867573682133091,0.0030037887469600566,0.0018174412397412576,50,0,0,0,1000,744368653,0.7279526953256434,0.4317577413866581
10,0.949,0.0031698277127923946,6.517073332867884e-05,0.0011652639370625106,50,0,0,0,1000,62625325,0.9469271986510632,0.7944199877665509
11,0.433,0.002672478858796734,0.011858401558466292,0.004387836654794253,50,0,0,0,1000,326653715,0.44123397865424896,0.6899700722407981
12,0.525,0.0005604769799967269,0.009207090120099015,0.00404944318117717,50,0,0,0,1000,283920944,0.5163322415205749,0.4163757640819499
13,0.124,0.052727833331284724,0.04792019093822797,0.00028299657680841417,50,0,0,0,1000,668789807,0.1262119147521911,0.4148110667549195
14,0.668,0.006058347006895559,0.0035299953857672595,0.08306890540725209,50,0,0,0,1000,2027587152,0.58747015576823,0.24109011243806333
15,0.469,0.015027316972345162,0.011495625336685245,0.0031465504264840405,50,0,0,0,1000,513262592,0.4870304592842999,0.6117660742100546
16,0.537,0.030907572064028943,0.008973990629477235,0.04030706744811707,50,0,0,0,1000,1975749735,0.6685100941473701,0.9370109352401093
17,0.164,0.004349768961396938,0.035304375588387615,0.0018174412397413686,50,0,0,0,1000,1167280423,0.1884330260949622,0.42945450292853937
18,0.463,0.003915563633650865,0.011619841531400166,0.027812352409963603,50,0,0,0,1000,2007660583,0.4924251370751166,0.7767322347112837
19,0.774,0.00273416683865213,0.0017716881984807253,0.03215890215182837,50,0,0,0,1000,1970764024,0.7290359349884187,0.8363983925494266
20,0.504,0.07431597339121887,0.00830778187179848,0.0011100151650784706,50,0,0,0,1000,63871913,0.48391384791457426,0.19392182597553917
21,0.349,0.047365047339210986,0.0177216801159491,0.01734567169464485,50,0,0,0,1000,954051228,0.4391233133387764,0.7680013459497539
22,0.429,0.08332284895102904,0.013291311398519245,0.018351316394642048,50,0,0,0,1000,1156649634,0.5712292457145514,0.5800945403639544
23,0.521,0.0038945539926198425,0.008597519930143571,0.11262278353051114,50,0,0,0,1000,1632697641,0.5571111685077351,0.6462632264147405
24,0.085,0.04075335858273321,0.05561768265974465,2.1601779012447864e-05,50,0,0,0,1000,1572200133,0.0966260563608332,0.24561250329553724
25,0.528,0.055023875047289894,0.010485491085363119,0.1259757864953267,50,0,0,0,1000,1235406039,0.24663121634251936,0.13551657580472998
26,0.711,1.980051812255912e-05,0.003119621665157113,0.034735111879737546,50,0,0,0,1000,1407710297,0.7036542783226076,0.5445396490969265
27,0.488,0.05705429991737765,0.014576540087672618,0.204051087230662,50,0,0,0,1000,1099262776,0.14714322460803395,0.09794456353224489
28,0.161,0.011402911138866378,0.03977121884161294,0.12747366832485518,50,0,0,0,1000,92382466,0.13490081646087382,0.4524993924202466
29,0.273,0.01415527444144249,0.025114905225218642,0.000992395147480285,50,0,0,0,1000,1411240924,0.2818975081844264,0.5592813198146827
30,0.744,0.006071904168686748,0.0020585997378926857,0.0011824760543830415,50,0,0,0,1000,1772108105,0.7440657695941798,0.8316248656766173
31,0.809,0.030969843357621762,0.0012688547916488435,0.034735111879737546,50,0,0,0,1000,2033087279,0.6860073153950766,0.9148744424685477
32,0.941,0.010655035594809625,0.00017097754278672106,0.012269383922197452,50,0,0,0,1000,954521694,0.8754211726014318,0.359753008649366
33,0.863,0.03432357774936923,0.0006930600254739794,0.040317757691441414,50,0,0,0,1000,1965599707,0.9564051871846502,0.710382016900891
34,0.554,0.011457844260550298,0.007301498609410428,0.006501228502981848,50,0,0,0,1000,121509168,0.5162297847235342,0.8082592664094327
35,0.577,0.0007700614070285106,0.006477616654924412,0.006877603819813505,50,0,0,0,1000,1546692160,0.5728291890064572,0.5240784891808149
36,0.644,0.00042344224118384677,0.004755879466660118,0.03215890227032925,50,0,0,0,1000,1779326814,0.6492901788875745,0.8572134253798633
37,0.374,0.014250554157348327,0.016517476728192815,0.004049443180397905,50,0,0,0,1000,263613230,0.3965628749053042,0.45051298841097975
38,0.415,0.00022163231945349082,0.013183114844878774,0.00033079187893580997,50,0,0,0,1000,575081790,0.43304275149019456,0.25496391375454
39,0.733,0.008238482040237916,0.002282662069555297,0.019579672753147093,50,0,0,0,1000,1952795859,0.6945858485973555,0.9884016849936494
40,0.194,4.345105393821491e-05,0.03487624475728479,0.007368703989825032,50,0,0,0,1000,1317866667,0.19906573012733467,0.34076865197288597
41,0.838,0.0210842672773357,0.0010137148887776615,0.22419963548566602,50,0,0,0,1000,1531761554,0.9265565507818028,0.8083258440639528
42,0.268,0.007253848790091388,0.025869332325684558,0.0053252331472788406,50,0,0,0,1000,673934066,0.28519685216556107,0.3738085158787756
43,0.268,0.0034183524308905033,0.02536012625354278,0.008775554340816338,50,0,0,0,1000,758712243,0.28644077606123997,0.16086544594866659
44,0.987,0.12113182337100692,3.5558791130485545e-06,0.0036452615593064452,50,0,0,0,1000,916824962,0.867817280847352,0.8847764647305609
45,0.136,0.02644162633717484,0.047059633796627365,0.03215890227032969,50,0,0,0,1000,475381739,0.08574684070731406,0.12885041334593944
46,0.688,0.04293583086287078,0.0031589308934273364,0.000377902003297903,50,0,0,0,1000,2017410956,0.6736283642250775,0.7191295325327913
47,0.092,0.006357404583910431,0.05570510997534095,0.006736364673370021,50,0,0,0,1000,1962968207,0.09201515818804444,0.16072967220263307
48,0.74,0.017877210126453713,0.002851841493527907,0.204051087230662,50,0,0,0,1000,1516260517,0.49308549490448905,0.28134500774259
49,0.635,0.004734041863769134,0.004559519201468021,0.020999838850990327,50,0,0,0,1000,1751674605,0.6839154532901361,0.5816557629503305
50,0.669,0.13878235862913713,0.0029811531109259493,0.006736364673385009,50,0,0,0,1000,275394254,0.8417358464479786,0.9178966654945436
51,0.085,0.0034982775633185526,0.057697924828895575,0.017837802696849314,50,0,0,0,1000,730817417,0.10408827587100805,0.08848933844845441
52,0.303,2.430832183319964e-07,0.023865504579105634,0.09508948523446381,50,0,0,0,1000,1547586068,0.2667310397987563,0.38091673687256034
53,0.653,0.07005891936195763,0.004953293383888391,0.05613119818723333,50,0,0,0,1000,2067636100,0.9351444910069858,0.5575467841661226
54,0.93,0.045376531827426514,0.00014550295559623283,0.00249663461479277,50,0,0,0,1000,632632655,0.8855138655455326,0.5226715458213543
