,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman
0,0.246,0.0021195101237146963,0.02157530637523719,0.0002619470764564369,50,0,0,0,1000,1019282514,0.23532537749447446,0.2353253774944718
1,0.702,0.004634357655833532,0.0011544640047954635,0.0046343576557366095,50,0,0,0,1000,1679872250,0.8176240495457093,0.8176240495457083
2,0.243,0.030404258273153628,0.029378778731638744,0.002119510123714363,50,0,0,0,1000,1837932928,0.13549045761118791,0.13549045761118744
3,0.99,0.04682756281893197,0.0012549036160004468,0.043870208174993874,50,0,0,0,1000,1442006727,0.8796301173278973,0.8796301173279
4,0.998,0.00720757699653507,0.0008253482912103927,0.00018224330557170543,50,0,0,0,1000,221822463,0.8252644413858112,0.8252644413858097
5,0.57,0.027815698500256003,0.00519151833387832,0.0037362989737371732,50,0,0,0,1000,509771608,0.624289418116265,0.6242894181162665
6,0.166,0.07638681871424435,0.028122483006832732,0.004629007386572681,50,0,0,0,1000,1530295774,0.21278308324715245,0.21278308324715148
7,0.593,0.0017162907284686835,0.004022787280168472,0.0006896067839676778,50,0,0,0,1000,385390263,0.6029883522183808,0.6029883522183811
8,0.193,0.029378794246241235,0.030404255059705343,0.01327839050768631,50,0,0,0,1000,1825954996,0.10164269278697462,0.10164269278697473
9,0.391,0.001254266541954152,0.017880725796748487,0.0040227872818559,50,0,0,0,1000,744368653,0.2738872721708043,0.2738872721708041
10,0.91,0.0011671001859299146,0.0011671001859301366,0.0008286528271274074,50,0,0,0,1000,62625325,0.7911177943644742,0.7911177943644738
11,0.492,0.01081674168344482,0.007823748257079766,0.029484355384445493,50,0,0,0,1000,326653715,0.5842789442300387,0.5842789442300387
12,0.658,0.0032260182965285766,0.0028260716814085818,0.012984129368237451,50,0,0,0,1000,283920944,0.6252479626360945,0.6252479626360942
13,0.559,0.032370140266100855,0.005553710174136972,0.002183293917236373,50,0,0,0,1000,668789807,0.5923641551120896,0.5923641551120902
14,0.38,0.010412478777825362,0.010529034332790399,0.05771241271870031,50,0,0,0,1000,2027587152,0.5341703948280695,0.5341703948280692
15,0.575,0.0036890761061922905,0.005991742603183026,0.0022203522916622864,50,0,0,0,1000,513262592,0.5523847311542331,0.5523847311542314
16,0.782,0.04788267950967551,0.0020898599486841585,0.015711355974302843,50,0,0,0,1000,1975749735,0.9014223776191265,0.9014223776191259
17,0.974,0.001254266541954152,2.891980826968954e-05,0.005553710171594117,50,0,0,0,1000,1167280423,0.9446177924411809,0.9446177924411824
18,0.488,0.043708346390656905,0.00973591237434912,0.007030693982471248,50,0,0,0,1000,2007660583,0.5220371362070905,0.5220371362070895
19,0.839,6.977531911589452e-06,0.0008286528271274074,6.977531911367407e-06,50,0,0,0,1000,1970764024,0.8176240495457116,0.8176240495457081
20,0.451,0.010529034332789733,0.0047387987530858044,0.02144978549828358,50,0,0,0,1000,63871913,0.47918588936571394,0.47918588936571604
21,0.641,0.029840398173595628,0.0031215451738567657,0.0013747650883804141,50,0,0,0,1000,954051228,0.6214909574248118,0.621490957424814
22,0.55,0.02096837451739675,0.009463993338534538,0.001777875091148684,50,0,0,0,1000,1156649634,0.46068001077697107,0.46068001077697085
23,0.538,0.006443875237954755,0.005652123517151275,0.005069883021186827,50,0,0,0,1000,1632697641,0.5122224836076991,0.5122224836077003
24,0.757,0.10031898461869515,0.0013909553625485183,0.003961954075126006,50,0,0,0,1000,1572200133,0.910006873026481,0.9100068730264833
25,0.412,0.004738798753085138,0.014103362412490772,0.032405895744974655,50,0,0,0,1000,1235406039,0.42362983224363293,0.42362983224363204
26,0.151,0.06383251202891382,0.033996217428274966,2.8192431403506468e-05,50,0,0,0,1000,1407710297,0.12347806303661772,0.12347806303661746
27,0.49,0.009935967281749947,0.007030693982471581,0.013466777917369388,50,0,0,0,1000,1099262776,0.42834179736551936,0.4283417973655198
28,0.303,0.02089337684624548,0.013278390553898012,0.008164888417456106,50,0,0,0,1000,92382466,0.4113156539494893,0.4113156539494882
29,0.76,0.00311014809900767,0.003110148099007226,0.0008253482912112808,50,0,0,0,1000,1411240924,0.664745656995152,0.6647456569951518
30,0.993,0.004629007386572015,6.900767447026723e-06,0.02924308358132477,50,0,0,0,1000,1772108105,0.8929039687333525,0.8929039687333521
31,0.544,2.7470931848516678e-05,0.005652123517151275,0.006887872154300312,50,0,0,0,1000,2033087279,0.5504893252762226,0.5504893252762207
32,0.375,0.0008254440289936493,0.011774688799906619,0.027651411410076876,50,0,0,0,1000,954521694,0.34968909488415933,0.3496890948841598
33,0.705,0.003667632993594183,0.003667632993593295,0.09361293657428038,50,0,0,0,1000,1965599707,0.7373051328609348,0.7373051328609346
34,0.345,0.01933709759471114,0.012845176972674621,0.010689532408294289,50,0,0,0,1000,121509168,0.28626634728364087,0.2862663472836396
35,0.294,6.269415917770083e-05,0.018823158596708245,0.0011671000946535948,50,0,0,0,1000,1546692160,0.2670221875482622,0.26702218754826196
36,1.0,0.011774659205350146,0.0008286528271271854,0.0008254440289936493,50,0,0,0,1000,1779326814,0.7930775011649247,0.7930775011649265
37,0.394,0.03929267881386955,0.013466784141615395,0.010043450079540883,50,0,0,0,1000,263613230,0.44304115866738203,0.44304115866738114
38,0.258,0.00973591237434912,0.010741748248464855,0.012761019175828503,50,0,0,0,1000,575081790,0.4581389323164061,0.45813893231640657
39,0.239,0.0020898599486842695,0.023546943714808366,0.000551498977781173,50,0,0,0,1000,1952795859,0.21380610508610903,0.2138061050861117
40,0.738,0.030549268239227545,0.0019252218536084387,0.00024685357291354126,50,0,0,0,1000,1317866667,0.7449081805959812,0.7449081805959816
41,0.755,6.522298753752764e-06,0.0012542665419543741,0.004311847800204993,50,0,0,0,1000,1531761554,0.7768586881178146,0.7768586881178137
42,0.972,0.050320079214061564,2.809497631561797e-05,0.004093343333585131,50,0,0,0,1000,673934066,0.8540035832282771,0.8540035832282797
43,0.093,6.422265627681334e-05,0.047087940381120075,0.008368221033130507,50,0,0,0,1000,758712243,0.07986904946050691,0.07986904946050649
44,0.762,0.04157645042724667,0.0043118477978921765,0.00872693231866506,50,0,0,0,1000,916824962,0.716959272017513,0.7169592720175122
45,0.337,0.01756910957808966,0.01327839472884973,0.017962937932100353,50,0,0,0,1000,475381739,0.2616652876464381,0.2616652876464369
46,0.925,0.00975574949762914,0.0009093349070690149,0.028698036975634,50,0,0,0,1000,2017410956,0.9307337891943659,0.9307337891943684
47,0.4,0.004629007386572015,0.010741748248464189,0.04202864413964991,50,0,0,0,1000,1962968207,0.3176800487944417,0.3176800487944409
48,0.213,0.02354695382745864,0.02632325582697692,0.0021117223684744557,50,0,0,0,1000,1516260517,0.16092660370430534,0.16092660370430523
49,0.405,0.029840398173524685,0.010689532408305613,0.057316810744434066,50,0,0,0,1000,1751674605,0.19181512025950173,0.19181512025950037
50,0.573,0.017880725796748043,0.010178050077581213,0.0824836247174221,50,0,0,0,1000,275394254,0.2094230342546978,0.20942303425469763
51,0.275,0.04207722084430543,0.02138836372487829,0.013590545188805536,50,0,0,0,1000,730817417,0.34028328633574345,0.34028328633574223
52,0.518,2.8094976315395925e-05,0.010689532408294511,0.04207721643015838,50,0,0,0,1000,1547586068,0.38513288299395665,0.3851328829939571
53,0.594,7.060371056133441e-06,0.0050648432696343,0.0008254440289936493,50,0,0,0,1000,2067636100,0.5685219020004324,0.5685219020004295
54,0.526,0.0034249437524705995,0.008348667528407239,0.01616797061742603,50,0,0,0,1000,632632655,0.41695948351955825,0.4169594835195578
55,1.0,0.0010684945196809403,2.220446049250313e-16,0.004634357655736054,50,0,0,0,1000,1468421546,0.9831798362029465,0.9831798362029454
56,0.212,0.0011544640047956856,0.03040425827315385,0.029840398173801463,50,0,0,0,1000,1005374725,0.13727066462859003,0.1372706646285898
57,0.996,0.0007714474850495368,0.0007714474850499808,0.0010684945199590512,50,0,0,0,1000,78165742,0.8300408989474634,0.8300408989474628
58,0.737,0.017429327091896485,0.0035098492545547755,0.0008253482912110588,50,0,0,0,1000,1080121834,0.6569229826529907,0.6569229826529877
59,0.903,2.220446049250313e-16,7.060371055356285e-06,0.0011619102115970614,50,0,0,0,1000,826541444,0.9825060746911563,0.9825060746911574
60,0.925,6.349568896080182e-05,0.00026194707645765813,0.06566998918872369,50,0,0,0,1000,215117809,0.8724132437746374,0.8724132437746371
61,0.109,0.04207722084430543,0.02937885993769518,6.9040863091007765e-06,50,0,0,0,1000,305128647,0.15255715950316842,0.15255715950316756
62,0.917,0.09820445707728598,0.0010684945199594953,0.009735912374354228,50,0,0,0,1000,631354571,0.9843239721490343,0.9843239721490362
63,0.345,0.004629007386572015,0.010741838293150008,2.220446049250313e-16,50,0,0,0,1000,760648162,0.40294667158145414,0.4029466715814527
64,0.994,0.000916550077871503,2.7470931847406455e-05,0.06937960565815349,50,0,0,0,1000,553576721,0.9008219412940275,0.9008219412940277
65,0.555,0.001286381483037058,0.006968765330956028,0.018576478156782872,50,0,0,0,1000,2078160693,0.5270969992586008,0.5270969992585999
66,0.229,0.00789322074718457,0.024756239389373658,0.09093854310195981,50,0,0,0,1000,2019846921,0.1028234826951483,0.10282348269514896
67,0.763,0.02821088901053015,0.0021117223684743447,0.01344241590951789,50,0,0,0,1000,1279013547,0.5803581460300311,0.5803581460300292
68,0.737,0.01796286260167379,0.0036890761061920685,0.06055596708895228,50,0,0,0,1000,1134490754,0.39985551590757296,0.39985551590757207
69,0.76,0.05618466780687936,0.00396195407512534,0.010043450079535998,50,0,0,0,1000,849951427,0.44973157912616746,0.4497315791261668
70,0.563,0.03040425827315385,0.01256246489887436,0.09864261657518492,50,0,0,0,1000,1243751187,0.682376692157894,0.6823766921578958
71,0.153,0.010689532408294733,0.02984039817360451,0.0011544640047811416,50,0,0,0,1000,394876318,0.16959727676062142,0.16959727676062122
72,0.039,0.00703069398247147,0.07988569864289874,0.026719937739618227,50,0,0,0,1000,1285457632,0.029265933770518508,0.029265933770518674
73,0.943,0.005064843272779784,6.5222987530866305e-06,0.06128830850506839,50,0,0,0,1000,595765758,0.845332400285771,0.8453324002857725
74,0.479,0.003804624244827748,0.006180638624451507,0.010178050077582657,50,0,0,0,1000,1201503691,0.48570914006659616,0.48570914006659627
75,0.344,0.014987103075991492,0.01498710307599127,0.011774659205350146,50,0,0,0,1000,1542418348,0.25684503274895887,0.2568450327489591
76,0.034,0.012984130273508088,0.07474496449999901,0.010043450079438854,50,0,0,0,1000,244592230,0.03432834491602811,0.03432834491602865
77,0.326,0.0015813524287454639,0.0179634250318097,0.043708346390656905,50,0,0,0,1000,1969263265,0.301168138452762,0.30116813845276247
78,0.502,0.02924308358035488,0.008726936123724549,0.010689532408305946,50,0,0,0,1000,1096437208,0.5524368879249704,0.55243688792497
79,0.599,0.003667632993593295,0.003667632993593517,0.0015816482997025316,50,0,0,0,1000,908217484,0.609811290066469,0.609811290066469
80,0.361,0.04371193737090273,0.01074265980230138,0.0050648432727805615,50,0,0,0,1000,152089541,0.313008863745383,0.31300886374538245
81,0.569,0.010480373595274095,0.005991697663630724,0.0426030317486179,50,0,0,0,1000,394114712,0.395160791618672,0.3951607916186727
82,0.351,0.03135371580351054,0.01802599523481463,0.0036890953830670536,50,0,0,0,1000,941097907,0.2254594996603671,0.22545949966036585
83,0.203,0.0011848371952916104,0.031111058874420006,6.661338147750939e-16,50,0,0,0,1000,1075348184,0.1721489156622436,0.17214891566224344
