,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
0,0.362,0.013103478932134593,0.0012013478123978905,0.043246110670011495,50,,0,0,1000,1019282514,0.2533730074556637,0.23690130838004314,0.0
1,0.303,0.06992614268449315,0.05002883252517132,0.020110462965316267,50,,0,0,1000,1679872250,0.5332860410988962,0.4358280349418322,0.0
2,0.554,0.04515083780448348,0.006446114002691461,0.013464786552397578,50,,0,0,1000,1837932928,0.5913076230298523,0.5456812208274355,0.0
3,0.162,0.03428276765635796,0.0023413141061656706,0.04843744297717434,50,,0,0,1000,1442006727,0.22303837395186532,0.23514725722674087,0.0
4,0.243,0.045304692694404736,0.013657983881739777,0.05012041676319856,50,,0,0,1000,221822463,0.15800251818076405,0.16372194165552262,0.0
5,0.995,0.0711681353778012,0.0022127767298149026,-8.093932279962246e-08,50,,0,0,1000,509771608,0.9291646667732878,0.845094198827784,0.0
6,0.126,0.026992619434916376,0.0002479082943575017,0.06534569995107731,50,,0,0,1000,1530295774,0.10179589975464827,0.06971495095513884,0.0
7,0.525,0.01853963471438025,0.05841941340666479,0.03466933529911187,50,,0,0,1000,385390263,0.22787690342316108,0.25525729051668883,0.0
8,0.48,0.02349702359398642,0.031478067233852935,0.022395307682129384,50,,0,0,1000,1825954996,0.2940272688819676,0.29015821671077174,0.0
9,0.995,0.010867573682133091,0.0030037887469600566,0.0018174412397412576,50,,0,0,1000,744368653,0.814919622360007,0.8750824838648122,0.0
10,0.828,0.0031698277127923946,6.517073332867884e-05,0.0011652639370625106,50,,0,0,1000,62625325,0.8371175885957134,0.8353821548549764,0.0
11,0.622,0.002672478858796734,0.011858401558466292,0.004387836654794253,50,,0,0,1000,326653715,0.6332026742919561,0.6551799704143303,0.0
12,0.875,0.0005604769799967269,0.009207090120099015,0.00404944318117717,50,,0,0,1000,283920944,0.7549324998674575,0.7520527841554684,0.0
13,0.816,0.052727833331284724,0.04792019093822797,0.00028299657680841417,50,,0,0,1000,668789807,0.7988109121296953,0.9257046267219997,0.0
14,0.079,0.006058347006895559,0.0035299953857672595,0.08306890540725209,50,,0,0,1000,2027587152,0.10693187948496471,0.1015510452232853,0.0
15,0.853,0.015027316972345162,0.011495625336685245,0.0031465504264840405,50,,0,0,1000,513262592,0.7841967917891396,0.7492890068835628,0.0
16,0.265,0.030907572064028943,0.008973990629477235,0.04030706744811707,50,,0,0,1000,1975749735,0.21263765340699964,0.19111382654155037,0.0
17,0.94,0.004349768961396938,0.035304375588387615,0.0018174412397413686,50,,0,0,1000,1167280423,0.7163361680645739,0.7265148372302255,0.0
18,0.613,0.003915563633650865,0.011619841531400166,0.027812352409963603,50,,0,0,1000,2007660583,0.3720076101463462,0.34911699321117995,0.0
19,0.377,0.00273416683865213,0.0017716881984807253,0.03215890215182837,50,,0,0,1000,1970764024,0.28546261378243004,0.2876028408962714,0.0
20,0.713,0.07431597339121887,0.00830778187179848,0.0011100151650784706,50,,0,0,1000,63871913,0.7126526699858492,0.6857627834276825,0.0
21,0.672,0.047365047339210986,0.0177216801159491,0.01734567169464485,50,,0,0,1000,954051228,0.5795134723999369,0.49531641413813743,0.0
22,0.312,0.08332284895102904,0.013291311398519245,0.018351316394642048,50,,0,0,1000,1156649634,0.5020601232132417,0.5010195519509707,0.0
23,0.641,0.0038945539926198425,0.008597519930143571,0.11262278353051114,50,,0,0,1000,1632697641,0.4253230293258319,0.4219773498688697,0.0
24,0.662,0.04075335858273321,0.05561768265974465,2.1601779012447864e-05,50,,0,0,1000,1572200133,0.7521544196403454,0.8060132921173347,0.0
25,0.011,0.055023875047289894,0.010485491085363119,0.1259757864953267,50,,0,0,1000,1235406039,0.055979428572566325,0.07254258135729519,0.0
26,0.537,1.980051812255912e-05,0.003119621665157113,0.034735111879737546,50,,0,0,1000,1407710297,0.3875002371979588,0.3942996019273063,0.0
27,0.042,0.05705429991737765,0.014576540087672618,0.204051087230662,50,,0,0,1000,1099262776,0.013958821427448507,0.010947762776473547,0.0
28,0.998,0.011402911138866378,0.03977121884161294,0.12747366832485518,50,,0,0,1000,92382466,0.2807603037844051,0.32352644932516184,0.0
29,0.992,0.01415527444144249,0.025114905225218642,0.000992395147480285,50,,0,0,1000,1411240924,0.9732999186914238,0.8595973978935382,0.0
30,0.998,0.006071904168686748,0.0020585997378926857,0.0011824760543830415,50,,0,0,1000,1772108105,0.8202687616629551,0.8294343486892303,0.0
31,0.504,0.030969843357621762,0.0012688547916488435,0.034735111879737546,50,,0,0,1000,2033087279,0.35605115088220285,0.39024856046947476,0.0
32,0.628,0.010655035594809625,0.00017097754278672106,0.012269383922197452,50,,0,0,1000,954521694,0.5129544517035258,0.41777227003689665,0.0
33,0.183,0.03432357774936923,0.0006930600254739794,0.040317757691441414,50,,0,0,1000,1965599707,0.21012653929840677,0.2483817203800009,0.0
34,0.706,0.011457844260550298,0.007301498609410428,0.006501228502981848,50,,0,0,1000,121509168,0.5338396133700642,0.5913899475805733,0.0
35,0.962,0.0007700614070285106,0.006477616654924412,0.006877603819813505,50,,0,0,1000,1546692160,0.6368364830104372,0.6465350845244462,0.0
36,0.39,0.00042344224118384677,0.004755879466660118,0.03215890227032925,50,,0,0,1000,1779326814,0.29681145198891934,0.3032002361629186,0.0
37,0.874,0.014250554157348327,0.016517476728192815,0.004049443180397905,50,,0,0,1000,263613230,0.8221043064969712,0.7908119482699898,0.0
38,0.972,0.00022163231945349082,0.013183114844878774,0.00033079187893580997,50,,0,0,1000,575081790,0.9138207041280696,0.9521623440272412,0.0
39,0.446,0.008238482040237916,0.002282662069555297,0.019579672753147093,50,,0,0,1000,1952795859,0.4665541570847386,0.4893524535791124,0.0
40,0.781,4.345105393821491e-05,0.03487624475728479,0.007368703989825032,50,,0,0,1000,1317866667,0.7323704943549733,0.7229837145044709,0.0
41,0.008,0.0210842672773357,0.0010137148887776615,0.22419963548566602,50,,0,0,1000,1531761554,0.03267539232073682,0.03482734144320298,0.0
42,0.5,0.007253848790091388,0.025869332325684558,0.0053252331472788406,50,,0,0,1000,673934066,0.6915985268603448,0.691228474961423,0.0
43,0.538,0.0034183524308905033,0.02536012625354278,0.008775554340816338,50,,0,0,1000,758712243,0.6274996693911985,0.592351726637224,0.0
44,0.669,0.12113182337100692,3.5558791130485545e-06,0.0036452615593064452,50,,0,0,1000,916824962,0.6577005731757615,0.6649652013844354,0.0
45,0.281,0.02644162633717484,0.047059633796627365,0.03215890227032969,50,,0,0,1000,475381739,0.17801398664394347,0.1934749901403074,0.0
46,0.913,0.04293583086287078,0.0031589308934273364,0.000377902003297903,50,,0,0,1000,2017410956,0.8250062753339955,0.8330611650563794,0.0
47,0.661,0.006357404583910431,0.05570510997534095,0.006736364673370021,50,,0,0,1000,1962968207,0.5132443398749246,0.5367356440812993,0.0
48,0.057,0.017877210126453713,0.002851841493527907,0.204051087230662,50,,0,0,1000,1516260517,0.025919338901740325,0.021282632475910116,0.0
49,0.552,0.004734041863769134,0.004559519201468021,0.020999838850990327,50,,0,0,1000,1751674605,0.41542431404184543,0.3953449100351605,0.0
50,0.647,0.13878235862913713,0.0029811531109259493,0.006736364673385009,50,,0,0,1000,275394254,0.6935646304838514,0.6590690619110537,0.0
