,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
0,0.994,0.0021195101237146963,0.02157530637523719,0.0002619470764564369,50,,0,0,1000,1019282514,0.8417952095195275,0.8417952095195262,0.0
1,0.618,0.004634357655833532,0.0011544640047954635,0.0046343576557366095,50,,0,0,1000,1679872250,0.598167571919654,0.5981675719196531,0.0
2,0.749,0.030404258273153628,0.029378778731638744,0.002119510123714363,50,,0,0,1000,1837932928,0.5015603648449198,0.5015603648449185,0.0
3,0.133,0.04682756281893197,0.0012549036160004468,0.043870208174993874,50,,0,0,1000,1442006727,0.0931706636263229,0.093170663626323,0.0
4,0.897,0.00720757699653507,0.0008253482912103927,0.00018224330557170543,50,,0,0,1000,221822463,0.9286544756919902,0.9286544756919908,0.0
5,0.742,0.027815698500256003,0.00519151833387832,0.0037362989737371732,50,,0,0,1000,509771608,0.7108838291039364,0.7108838291039385,0.0
6,0.689,0.07638681871424435,0.028122483006832732,0.004629007386572681,50,,0,0,1000,1530295774,0.9027036336039247,0.9027036336039245,0.0
7,0.913,0.0017162907284686835,0.004022787280168472,0.0006896067839676778,50,,0,0,1000,385390263,0.8182775752461158,0.8182775752461154,0.0
8,0.297,0.029378794246241235,0.030404255059705343,0.01327839050768631,50,,0,0,1000,1825954996,0.20802572857172802,0.20802572857172713,0.0
9,0.652,0.001254266541954152,0.017880725796748487,0.0040227872818559,50,,0,0,1000,744368653,0.5745418304314678,0.5745418304314684,0.0
10,0.828,0.0011671001859299146,0.0011671001859301366,0.0008286528271274074,50,,0,0,1000,62625325,0.8258443716004783,0.8258443716004794,0.0
11,0.197,0.01081674168344482,0.007823748257079766,0.029484355384445493,50,,0,0,1000,326653715,0.19463453892078308,0.19463453892078286,0.0
12,0.372,0.0032260182965285766,0.0028260716814085818,0.012984129368237451,50,,0,0,1000,283920944,0.34794287012017333,0.347942870120172,0.0
13,0.767,0.032370140266100855,0.005553710174136972,0.002183293917236373,50,,0,0,1000,668789807,0.8047138087357921,0.8047138087357925,0.0
14,0.073,0.010412478777825362,0.010529034332790399,0.05771241271870031,50,,0,0,1000,2027587152,0.0602692925330426,0.060269292533042335,0.0
15,0.628,0.0036890761061922905,0.005991742603183026,0.0022203522916622864,50,,0,0,1000,513262592,0.7377110405709559,0.7377110405709565,0.0
16,0.384,0.04788267950967551,0.0020898599486841585,0.015711355974302843,50,,0,0,1000,1975749735,0.3555210919773655,0.35552109197736614,0.0
17,0.558,0.001254266541954152,2.891980826968954e-05,0.005553710171594117,50,,0,0,1000,1167280423,0.5479080201925461,0.5479080201925459,0.0
18,0.577,0.043708346390656905,0.00973591237434912,0.007030693982471248,50,,0,0,1000,2007660583,0.6179749336349629,0.6179749336349623,0.0
19,0.954,6.977531911589452e-06,0.0008286528271274074,6.977531911367407e-06,50,,0,0,1000,1970764024,0.9831014314164217,0.9831014314164217,0.0
20,0.221,0.010529034332789733,0.0047387987530858044,0.02144978549828358,50,,0,0,1000,63871913,0.2081616570370962,0.2081616570370962,0.0
