,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.136,0.04305130263392676,6.821021791214577e-05,0.04305130263392676,50,,0,0,1000,1019282514,0.0
1,1.0,0.0,0.0012072266433755807,0.0,50,,0,0,1000,1679872250,0.0
2,0.188,0.04132764688367563,0.047087940502072656,0.04132764688367563,50,,0,0,1000,1837932928,0.0
3,0.264,0.015276271523723794,0.05272456281676552,0.015276271523723794,50,,0,0,1000,1442006727,0.0
4,0.304,0.010529034332790621,0.00041965530967469356,0.010529034332790621,50,,0,0,1000,221822463,0.0
5,0.336,0.016437807745110056,0.0578971833004045,0.016437807745110056,50,,0,0,1000,509771608,0.0
6,0.984,0.0010684945199592732,0.005652123517151053,0.0010684945199592732,50,,0,0,1000,1530295774,0.0
7,0.194,0.024346794148330075,0.06112249411937487,0.024346794148330075,50,,0,0,1000,385390263,0.0
8,0.554,0.005652123517150831,0.02069578729805699,0.005652123517150831,50,,0,0,1000,1825954996,0.0
9,0.504,0.006887875344320671,0.0001604426050009211,0.006887875344320671,50,,0,0,1000,744368653,0.0
10,0.38,0.01177468879991117,0.0011619102115972835,0.01177468879991117,50,,0,0,1000,62625325,0.0
11,0.333,0.012761019175835053,0.006583693365791454,0.012761019175835053,50,,0,0,1000,326653715,0.0
12,0.35,0.017880725796956543,0.0075042479935275574,0.017880725796956543,50,,0,0,1000,283920944,0.0
13,0.228,0.020695787298056767,0.029812733300867866,0.020695787298056767,50,,0,0,1000,668789807,0.0
14,0.438,0.0050648432727807835,7.454883725221961e-06,0.0050648432727807835,50,,0,0,1000,2027587152,0.0
15,0.352,0.013489386253964564,0.011472444411915528,0.013489386253964564,50,,0,0,1000,513262592,0.0
16,0.13,0.041327646883675406,0.017963425031931046,0.041327646883675406,50,,0,0,1000,1975749735,0.0
17,0.52,0.005652123517151275,3.040836638668054e-05,0.005652123517151275,50,,0,0,1000,1167280423,0.0
18,0.883,0.00019947273234743879,0.009464015712111196,0.00019947273234743879,50,,0,0,1000,2007660583,0.0
19,0.984,0.0008286528271271854,0.005991742603184691,0.0008286528271271854,50,,0,0,1000,1970764024,0.0
20,0.721,0.003689095383067942,0.004689455997120451,0.003689095383067942,50,,0,0,1000,63871913,0.0
21,0.892,0.0005934147038394455,5.554936046148207e-05,0.0005934147038394455,50,,0,0,1000,954051228,0.0
22,0.549,0.005047262580820222,0.005064843272780117,0.005047262580820222,50,,0,0,1000,1156649634,0.0
23,0.163,0.03482541393517591,0.03436489284194544,0.03482541393517591,50,,0,0,1000,1632697641,0.0
24,0.128,0.02814807309559697,0.0014231890048769236,0.02814807309559697,50,,0,0,1000,1572200133,0.0
25,0.865,0.00024997548054994656,0.006712275354754937,0.00024997548054994656,50,,0,0,1000,1235406039,0.0
26,0.376,0.016574619136299984,0.0011848371952913883,0.016574619136299984,50,,0,0,1000,1407710297,0.0
27,0.766,0.003110148099007226,0.0021195101237149183,0.003110148099007226,50,,0,0,1000,1099262776,0.0
28,0.941,7.480943316928723e-06,7.45488372466685e-06,7.480943316928723e-06,50,,0,0,1000,92382466,0.0
29,0.467,0.010529034332790621,6.860932554508814e-05,0.010529034332790621,50,,0,0,1000,1411240924,0.0
30,0.551,0.010529034332790399,0.004296880834103067,0.010529034332790399,50,,0,0,1000,1772108105,0.0
31,0.351,0.012911395676091453,0.01327839472885095,0.012911395676091453,50,,0,0,1000,2033087279,0.0
32,0.467,0.010529034332790732,0.010480373595290526,0.010529034332790732,50,,0,0,1000,954521694,0.0
33,0.406,0.011774688799910948,0.005991742603184913,0.011774688799910948,50,,0,0,1000,1965599707,0.0
34,0.859,0.0001604426050009211,3.0408366386902586e-05,0.0001604426050009211,50,,0,0,1000,121509168,0.0
35,0.975,0.00115446400479835,0.019915635084408634,0.00115446400479835,50,,0,0,1000,1546692160,0.0
36,0.189,0.019562250629877265,0.0036890953830674977,0.019562250629877265,50,,0,0,1000,1779326814,0.0
37,0.783,0.004094072237713298,0.0020898599486847136,0.004094072237713298,50,,0,0,1000,263613230,0.0
38,1.0,7.061307094602398e-11,0.04652350460806076,7.061307094602398e-11,50,,0,0,1000,575081790,0.0
39,0.593,0.0021195101237151404,0.003342239343469555,0.0021195101237151404,50,,0,0,1000,1952795859,0.0
40,0.088,0.04669204855955078,0.08508158241517627,0.04669204855955078,50,,0,0,1000,1317866667,0.0
41,0.333,0.010742659802318588,7.480943316928723e-06,0.010742659802318588,50,,0,0,1000,1531761554,0.0
42,0.734,0.0012542665419543741,0.0012542665419543741,0.0012542665419543741,50,,0,0,1000,673934066,0.0
43,0.199,0.02844655845744004,0.009755749497638355,0.02844655845744004,50,,0,0,1000,758712243,0.0
44,0.036,0.07788038826060273,0.009485437932272966,0.07788038826060273,50,,0,0,1000,916824962,0.0
45,0.956,0.0011673051464383688,0.00019947273234766083,0.0011673051464383688,50,,0,0,1000,475381739,0.0
46,0.353,0.018597948888614213,0.004094072237713298,0.018597948888614213,50,,0,0,1000,2017410956,0.0
47,0.683,0.004634357655876609,0.05687809121807508,0.004634357655876609,50,,0,0,1000,1962968207,0.0
48,0.081,0.043711937372077014,0.004296880834103067,0.043711937372077014,50,,0,0,1000,1516260517,0.0
49,0.202,0.02924308358145189,0.010529034332790177,0.02924308358145189,50,,0,0,1000,1751674605,0.0
50,0.903,7.454883724999917e-06,0.02838558091482357,7.454883724999917e-06,50,,0,0,1000,275394254,0.0
51,0.447,0.005322215610266023,0.013597423177098555,0.005322215610266023,50,,0,0,1000,730817417,0.0
52,0.46,0.010689532408306612,7.061307094602398e-11,0.010689532408306612,50,,0,0,1000,1547586068,0.0
53,0.566,0.008604853372810806,0.019494347924213562,0.008604853372810806,50,,0,0,1000,2067636100,0.0
54,0.993,0.0011673051464384798,0.011774688799910726,0.0011673051464384798,50,,0,0,1000,632632655,0.0
55,0.069,0.057712412730644536,0.010529034332790621,0.057712412730644536,50,,0,0,1000,1468421546,0.0
56,0.581,0.005652123517151275,0.005553710174138082,0.005652123517151275,50,,0,0,1000,1005374725,0.0
57,0.779,0.001254266541954152,0.05805791575277619,0.001254266541954152,50,,0,0,1000,78165742,0.0
58,0.561,0.008348667528537801,0.02157530637526428,0.008348667528537801,50,,0,0,1000,1080121834,0.0
59,0.991,0.0005536045536220779,0.005991742603185579,0.0005536045536220779,50,,0,0,1000,826541444,0.0
60,0.47,0.007566438107135975,0.0020898599486847136,0.007566438107135975,50,,0,0,1000,215117809,0.0
61,0.462,0.010529034332790732,0.043560208583774074,0.010529034332790732,50,,0,0,1000,305128647,0.0
62,0.822,7.061351503523383e-11,0.02322320047223736,7.061351503523383e-11,50,,0,0,1000,631354571,0.0
63,0.549,0.01017805007759598,0.0,0.01017805007759598,50,,0,0,1000,760648162,0.0
