,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.146,0.04305130263392676,0.0011708060368407214,0.04305130263392676,50,,0,0,1000,1019282514,0.0
1,1.0,0.0,0.026731882779496008,0.0,50,,0,0,1000,1679872250,0.0
2,0.149,0.04132764688367563,0.022467393203804198,0.04132764688367563,50,,0,0,1000,1837932928,0.0
3,0.275,0.015276271523723794,0.0627315114017728,0.015276271523723794,50,,0,0,1000,1442006727,0.0
4,0.325,0.010529034332790621,0.005400858821209664,0.010529034332790621,50,,0,0,1000,221822463,0.0
5,0.306,0.016437807745110056,0.0011505682232687553,0.016437807745110056,50,,0,0,1000,509771608,0.0
6,0.983,0.0010684945199592732,0.025230812366233146,0.0010684945199592732,50,,0,0,1000,1530295774,0.0
7,0.201,0.024346794148330075,0.05360053207522719,0.024346794148330075,50,,0,0,1000,385390263,0.0
8,0.59,0.005652123517150831,0.00873780289065118,0.005652123517150831,50,,0,0,1000,1825954996,0.0
9,0.507,0.006887875344320671,0.005128606604622443,0.006887875344320671,50,,0,0,1000,744368653,0.0
10,0.37,0.01177468879991117,0.004073426408703673,0.01177468879991117,50,,0,0,1000,62625325,0.0
11,0.365,0.012761019175835053,7.637478606437043e-06,0.012761019175835053,50,,0,0,1000,326653715,0.0
12,0.365,0.017880725796956543,0.039446022650973855,0.017880725796956543,50,,0,0,1000,283920944,0.0
13,0.248,0.020695787298056767,0.07662927742549941,0.020695787298056767,50,,0,0,1000,668789807,0.0
14,0.446,0.0050648432727807835,0.025748516149189493,0.0050648432727807835,50,,0,0,1000,2027587152,0.0
15,0.346,0.013489386253964564,0.00047223640363802666,0.013489386253964564,50,,0,0,1000,513262592,0.0
16,0.138,0.041327646883675406,0.012273141229930062,0.041327646883675406,50,,0,0,1000,1975749735,0.0
17,0.524,0.005652123517151275,0.013696045439282045,0.005652123517151275,50,,0,0,1000,1167280423,0.0
18,0.873,0.00019947273234743879,0.04592294910287731,0.00019947273234743879,50,,0,0,1000,2007660583,0.0
19,0.981,0.0008286528271271854,0.002026083767600162,0.0008286528271271854,50,,0,0,1000,1970764024,0.0
20,0.724,0.003689095383067942,0.007685863524766745,0.003689095383067942,50,,0,0,1000,63871913,0.0
21,0.887,0.0005934147038394455,0.0003816503407647609,0.0005934147038394455,50,,0,0,1000,954051228,0.0
22,0.546,0.005047262580820222,0.004323028026772091,0.005047262580820222,50,,0,0,1000,1156649634,0.0
23,0.133,0.03482541393517591,0.0007654561475270993,0.03482541393517591,50,,0,0,1000,1632697641,0.0
24,0.138,0.02814807309559697,0.0029979968322367823,0.02814807309559697,50,,0,0,1000,1572200133,0.0
25,0.845,0.00024997548054994656,0.0029801052550894047,0.00024997548054994656,50,,0,0,1000,1235406039,0.0
26,0.395,0.016574619136299984,0.0007037524037397658,0.016574619136299984,50,,0,0,1000,1407710297,0.0
27,0.779,0.003110148099007226,0.0266137435612962,0.003110148099007226,50,,0,0,1000,1099262776,0.0
28,0.955,7.480943316928723e-06,0.002752780546730449,7.480943316928723e-06,50,,0,0,1000,92382466,0.0
29,0.45,0.010529034332790621,7.717382131788852e-05,0.010529034332790621,50,,0,0,1000,1411240924,0.0
30,0.547,0.010529034332790399,0.004448572931334938,0.010529034332790399,50,,0,0,1000,1772108105,0.0
31,0.379,0.012911395676091453,0.020050258662506315,0.012911395676091453,50,,0,0,1000,2033087279,0.0
32,0.438,0.010529034332790732,0.00934325480340159,0.010529034332790732,50,,0,0,1000,954521694,0.0
33,0.406,0.011774688799910948,0.009671375911295965,0.011774688799910948,50,,0,0,1000,1965599707,0.0
34,0.873,0.0001604426050009211,0.003727516688494359,0.0001604426050009211,50,,0,0,1000,121509168,0.0
35,0.984,0.00115446400479835,0.014772412626719578,0.00115446400479835,50,,0,0,1000,1546692160,0.0
36,0.201,0.019562250629877265,0.009081702473187847,0.019562250629877265,50,,0,0,1000,1779326814,0.0
37,0.768,0.004094072237713298,0.00353718000375125,0.004094072237713298,50,,0,0,1000,263613230,0.0
38,1.0,7.061307094602398e-11,0.048544960005420634,7.061307094602398e-11,50,,0,0,1000,575081790,0.0
39,0.579,0.0021195101237151404,7.412435494291714e-07,0.0021195101237151404,50,,0,0,1000,1952795859,0.0
40,0.082,0.04669204855955078,0.08863679623210985,0.04669204855955078,50,,0,0,1000,1317866667,0.0
41,0.363,0.010742659802318588,0.0030212959894867497,0.010742659802318588,50,,0,0,1000,1531761554,0.0
42,0.728,0.0012542665419543741,0.0048262223786583736,0.0012542665419543741,50,,0,0,1000,673934066,0.0
43,0.209,0.02844655845744004,0.035486069335935455,0.02844655845744004,50,,0,0,1000,758712243,0.0
44,0.031,0.07788038826060273,0.010194619614083522,0.07788038826060273,50,,0,0,1000,916824962,0.0
45,0.977,0.0011673051464383688,0.0025362250361939953,0.0011673051464383688,50,,0,0,1000,475381739,0.0
46,0.416,0.018597948888614213,0.04328642178234643,0.018597948888614213,50,,0,0,1000,2017410956,0.0
47,0.678,0.004634357655876609,0.040395834057653124,0.004634357655876609,50,,0,0,1000,1962968207,0.0
48,0.085,0.043711937372077014,2.795255154675047e-05,0.043711937372077014,50,,0,0,1000,1516260517,0.0
49,0.23,0.02924308358145189,0.06273939300995557,0.02924308358145189,50,,0,0,1000,1751674605,0.0
50,0.925,7.454883724999917e-06,0.014875500109092443,7.454883724999917e-06,50,,0,0,1000,275394254,0.0
51,0.426,0.005322215610266023,0.0007584583376396559,0.005322215610266023,50,,0,0,1000,730817417,0.0
52,0.483,0.010689532408306612,0.0129848693185457,0.010689532408306612,50,,0,0,1000,1547586068,0.0
