,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.036,0.09687098054511212,0.09687098054511212,0.01562411530541341,50,0,0,0,1000,1019282514
1,0.938,0.00010316125759946004,0.00010316125759946004,0.001973986605228406,50,0,0,0,1000,1679872250
2,0.979,1.4892836997626446e-05,1.4892836997626446e-05,0.00903111798921552,50,0,0,0,1000,1837932928
3,0.089,0.055553374641314934,0.055553374641314934,0.0646951928411289,50,0,0,0,1000,1442006727
4,0.338,0.0202685129168092,0.0202685129168092,0.029132941588465022,50,0,0,0,1000,221822463
5,0.544,0.008497493541589907,0.008497493541589907,0.19030893203936494,50,0,0,0,1000,509771608
6,0.585,0.00620873153635304,0.00620873153635304,0.03954861098725193,50,0,0,0,1000,1530295774
7,0.113,0.051997893690008845,0.051997893690008845,0.001051658685966017,50,0,0,0,1000,385390263
8,0.77,0.002104873345677105,0.002104873345677105,0.0037440961758207214,50,0,0,0,1000,1825954996
9,0.432,0.013391900935771028,0.013391900935771028,0.015428169276073378,50,0,0,0,1000,744368653
10,0.575,0.005238400383494102,0.005238400383494102,0.0014244745333452657,50,0,0,0,1000,62625325
11,0.734,0.002606012309041339,0.002606012309041339,0.06025445128784679,50,0,0,0,1000,326653715
12,0.525,0.009837958754386644,0.009837958754386644,0.04473593106712326,50,0,0,0,1000,283920944
13,0.086,0.05609481267525562,0.05609481267525562,0.022762167645732245,50,0,0,0,1000,668789807
14,0.036,0.07724384999886358,0.07724384999886358,0.027748630957110332,50,0,0,0,1000,2027587152
15,0.312,0.01999205463331144,0.01999205463331144,0.038345697917680166,50,0,0,0,1000,513262592
16,0.748,0.00210457174023182,0.00210457174023182,0.04199409950401278,50,0,0,0,1000,1975749735
17,0.986,3.095508908645961e-06,3.095508908645961e-06,0.0035229096376477864,50,0,0,0,1000,1167280423
18,0.285,0.02303894981794652,0.02303894981794652,0.028772832049831165,50,0,0,0,1000,2007660583
19,0.97,1.714332935109919e-05,1.714332935109919e-05,0.03319745482351222,50,0,0,0,1000,1970764024
20,0.966,4.2198805664583894e-05,4.2198805664583894e-05,0.04909560188868334,50,0,0,0,1000,63871913
21,0.221,0.03006358327746006,0.03006358327746006,0.02160244412222656,50,0,0,0,1000,954051228
22,0.448,0.011274638129010528,0.011274638129010528,0.0348243356652711,50,0,0,0,1000,1156649634
23,0.962,5.237864656082447e-05,5.237864656082447e-05,6.086452860543101e-05,50,0,0,0,1000,1632697641
24,0.53,0.010328168932643433,0.010328168932643433,0.21245400859729102,50,0,0,0,1000,1572200133
25,0.079,0.060257541231344525,0.060257541231344525,0.0011082711776033705,50,0,0,0,1000,1235406039
26,0.767,0.0020484863251306606,0.0020484863251306606,0.027748630957110332,50,0,0,0,1000,1407710297
27,0.522,0.009172040045532626,0.009172040045532626,0.06469519284112868,50,0,0,0,1000,1099262776
28,0.437,0.014231830591607375,0.014231830591607375,0.056796394066285005,50,0,0,0,1000,92382466
29,0.921,0.0002242364986009271,0.0002242364986009271,0.04526646085412933,50,0,0,0,1000,1411240924
30,0.133,0.04290628293622678,0.04290628293622678,0.04637673271779752,50,0,0,0,1000,1772108105
31,0.5,0.009552891962276489,0.009552891962276489,0.015428169276073378,50,0,0,0,1000,2033087279
32,0.435,0.011740973126434517,0.011740973126434517,0.04909560188868356,50,0,0,0,1000,954521694
33,0.868,0.0005942107152148157,0.0005942107152148157,0.015428169276073378,50,0,0,0,1000,1965599707
34,0.453,0.010792483908597883,0.010792483908597883,0.009233521319186089,50,0,0,0,1000,121509168
35,0.72,0.0028896205763130345,0.0028896205763130345,0.001341602790260743,50,0,0,0,1000,1546692160
36,0.633,0.00571053661244425,0.00571053661244425,0.03492339605484818,50,0,0,0,1000,1779326814
37,0.313,0.021124478832136306,0.021124478832136306,8.478275198442464e-05,50,0,0,0,1000,263613230
38,0.859,0.0006670967713811038,0.0006670967713811038,0.015428169276073378,50,0,0,0,1000,575081790
39,0.904,0.0003470129768117225,0.0003470129768117225,0.019197089812791335,50,0,0,0,1000,1952795859
40,0.611,0.006053656752982861,0.006053656752982861,0.03492339605484829,50,0,0,0,1000,1317866667
41,0.05,0.06796408619020777,0.06796408619020777,0.028772832049831498,50,0,0,0,1000,1531761554
