,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.968,6.860932554542121e-05,6.860932554542121e-05,0.042603031748780995,50,0,0,0,1000,1019282514
1,0.839,0.0011848371952916104,0.0011848371952916104,1.3590428782350727e-10,50,0,0,0,1000,1679872250
2,0.116,0.04681399209504822,0.04681399209504822,0.04118419421645214,50,0,0,0,1000,1837932928
3,0.035,0.0569448843409508,0.0569448843409508,0.015621485322245832,50,0,0,0,1000,1442006727
4,0.872,0.0003974389373179177,0.0003974389373179177,0.010480373595290526,50,0,0,0,1000,221822463
5,0.065,0.05255083123650717,0.05255083123650717,0.016128234080149295,50,0,0,0,1000,509771608
6,0.566,0.005553710174138082,0.005553710174138082,0.0010684945199590512,50,0,0,0,1000,1530295774
7,0.047,0.06055596708901401,0.06055596708901401,0.02629562583883005,50,0,0,0,1000,385390263
8,0.219,0.021062522535424955,0.021062522535424955,0.005553710174138082,50,0,0,0,1000,1825954996
9,0.979,0.0001604426050009211,0.0001604426050009211,0.006887875344320449,50,0,0,0,1000,744368653
10,0.875,0.001167305146439146,0.001167305146439146,0.011774688799911393,50,0,0,0,1000,62625325
11,0.37,0.005975740865344803,0.005975740865344803,0.012404639804155182,50,0,0,0,1000,326653715
12,0.527,0.007566438107135753,0.007566438107135753,0.01756939118401768,50,0,0,0,1000,283920944
13,0.225,0.02813644507108992,0.02813644507108992,0.0210625225354254,50,0,0,0,1000,668789807
14,0.938,7.480943316928723e-06,7.480943316928723e-06,0.005047262580820222,50,0,0,0,1000,2027587152
15,0.427,0.011579774083700478,0.011579774083700478,0.013933551886885165,50,0,0,0,1000,513262592
16,0.435,0.018025995234814185,0.018025995234814185,0.04118419421645236,50,0,0,0,1000,1975749735
17,0.931,3.094723735652671e-05,3.094723735652671e-05,0.005553710174138082,50,0,0,0,1000,1167280423
18,0.565,0.009735912374354339,0.009735912374354339,0.0001945774505625053,50,0,0,0,1000,2007660583
19,0.549,0.005956883861232165,0.005956883861232165,0.0008286528271269633,50,0,0,0,1000,1970764024
20,0.739,0.0047387987530859155,0.0047387987530859155,0.003667632993594405,50,0,0,0,1000,63871913
21,0.971,6.274035659792343e-05,6.274035659792343e-05,0.0005458747821029952,50,0,0,0,1000,954051228
22,0.597,0.005047262580820222,0.005047262580820222,0.0050648432727805615,50,0,0,0,1000,1156649634
23,0.126,0.03399712739188543,0.03399712739188543,0.034338234468723416,50,0,0,0,1000,1632697641
24,0.761,0.001522860654871061,0.001522860654871061,0.027614648029074873,50,0,0,0,1000,1572200133
25,0.478,0.007581213013558297,0.007581213013558297,0.00022055577780444313,50,0,0,0,1000,1235406039
26,0.991,0.0012072266433753587,0.0012072266433753587,0.016574619136299984,50,0,0,0,1000,1407710297
27,0.723,0.0020898599486844915,0.0020898599486844915,0.003188395317053172,50,0,0,0,1000,1099262776
28,0.995,7.480943316817701e-06,7.480943316817701e-06,7.45488372466685e-06,50,0,0,0,1000,92382466
29,0.876,6.821021791236781e-05,6.821021791236781e-05,0.010480373595290526,50,0,0,0,1000,1411240924
30,0.798,0.004311847800204438,0.004311847800204438,0.010480373595290748,50,0,0,0,1000,1772108105
31,0.404,0.01346678414163216,0.01346678414163216,0.0134424159096721,50,0,0,0,1000,2033087279
32,0.588,0.010529034332790399,0.010529034332790399,0.010480373595290526,50,0,0,0,1000,954521694
33,0.564,0.005956883861232165,0.005956883861232165,0.01177468879991117,50,0,0,0,1000,1965599707
34,0.878,3.094723735630467e-05,3.094723735630467e-05,0.0001604426050009211,50,0,0,0,1000,121509168
35,0.274,0.01933709759482083,0.01933709759482083,0.00115446400479835,50,0,0,0,1000,1546692160
36,0.653,0.0036676329935947383,0.0036676329935947383,0.019494347924212785,50,0,0,0,1000,1779326814
37,0.75,0.0021195101237151404,0.0021195101237151404,0.004022787281856122,50,0,0,0,1000,263613230
38,0.068,0.04571344931559451,0.04571344931559451,0.0,50,0,0,0,1000,575081790
39,0.656,0.003342239343469555,0.003342239343469555,0.0020898599486849356,50,0,0,0,1000,1952795859
