,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.913,0.0011619102115970614,6.422265627747947e-05,0.0426030317486179,50,0,0,0,1000,1019282514
1,0.996,0.029803303725487562,0.0011848371952911663,-3.6009680348669804e-08,50,0,0,0,1000,1679872250
2,0.132,0.031063107099100207,0.04681399209504289,0.04118374239244604,50,0,0,0,1000,1837932928
3,0.068,0.01672405318782455,0.056944884335010326,0.0156214853222445,50,0,0,0,1000,1442006727
4,0.995,0.005017163165887739,0.00039743893731769564,0.010480373595290304,50,0,0,0,1000,221822463
5,0.101,0.039417991929066476,0.052550831236460205,0.0161282340792106,50,0,0,0,1000,509771608
6,0.443,0.005553710171594561,0.005553710171594672,0.0010684945199592732,50,0,0,0,1000,1530295774
7,0.029,0.0015182556892494592,0.06055596708895261,0.026295625838830272,50,0,0,0,1000,385390263
8,0.17,0.01074183829315023,0.021062522535359784,0.005553710171434578,50,0,0,0,1000,1825954996
9,0.861,0.0747449644999989,0.00012945014569654134,0.006887875344320449,50,0,0,0,1000,744368653
10,0.917,0.010528964871668878,0.0011671001859301366,0.011774659205350368,50,0,0,0,1000,62625325
11,0.568,0.01792132464117846,0.0059757408652231225,0.012401235412527911,50,0,0,0,1000,326653715
12,0.444,0.05625981511185518,0.007564739477368798,0.017569109578089104,50,0,0,0,1000,283920944
13,0.174,0.012911395676068027,0.028136350526916987,0.021062522535398642,50,0,0,0,1000,668789807
14,0.905,0.010741748248465077,7.060371055356285e-06,0.005047262580724188,50,0,0,0,1000,2027587152
15,0.401,6.987902798416545e-05,0.011579774083379957,0.013933551886870399,50,0,0,0,1000,513262592
16,0.279,0.028698629949988286,0.018025995234769665,0.04118419176057375,50,0,0,0,1000,1975749735
17,0.788,0.0012542665419544852,2.891980827068874e-05,0.005553710171594672,50,0,0,0,1000,1167280423
18,0.484,0.0050648432726861925,0.00973591237434912,0.00018167753538322895,50,0,0,0,1000,2007660583
19,0.553,0.016776244142164387,0.005956883861183093,0.0008286528271269633,50,0,0,0,1000,1970764024
20,0.695,0.0011673051464227147,0.004738769634681228,0.00366763299161621,50,0,0,0,1000,63871913
21,0.954,0.002824934633664955,5.940970359963327e-05,0.0005437781113665219,50,0,0,0,1000,954051228
22,0.538,0.0008254440289934273,0.005047262580820222,0.0050648432726859705,50,0,0,0,1000,1156649634
23,0.131,0.003110148097130616,0.033996192504620604,0.034338234468723416,50,0,0,0,1000,1632697641
24,0.726,0.004586599896460375,0.0015183285656090728,0.027614648029049116,50,0,0,0,1000,1572200133
25,0.519,0.07428021839659815,0.00758121301347614,0.00019585421143042403,50,0,0,0,1000,1235406039
26,0.609,0.01089152274766958,0.0012072266433753587,0.01657461913628122,50,0,0,0,1000,1407710297
27,0.705,0.034364889142109445,0.0020898599486847136,0.003188395317053394,50,0,0,0,1000,1099262776
28,0.999,0.0012542665419544852,6.794850401226071e-06,6.6905363744762525e-06,50,0,0,0,1000,92382466
29,0.986,6.661338147750939e-16,6.29360685657776e-05,0.010480373595290082,50,0,0,0,1000,1411240924
30,0.771,0.004629007386572237,0.00431184780020355,0.010480373595289527,50,0,0,0,1000,1772108105
31,0.372,0.008815351332650656,0.013466777917369388,0.013442415909415084,50,0,0,0,1000,2033087279
32,0.423,0.0011544640047954635,0.010529034332790177,0.010480373595273873,50,0,0,0,1000,954521694
33,0.525,6.349568896135693e-05,0.005956883856166106,0.011774688799906619,50,0,0,0,1000,1965599707
34,0.879,0.0040940722377126315,2.8963661406589125e-05,0.00015712612474816368,50,0,0,0,1000,121509168
35,0.231,0.004815239215886558,0.01933709759452218,0.0011544640047954635,50,0,0,0,1000,1546692160
36,0.711,0.0014739446310084725,0.003667632993593517,0.019494347924211897,50,0,0,0,1000,1779326814
37,0.721,0.005047262580282652,0.002111853380911466,0.0040227872818559,50,0,0,0,1000,263613230
38,0.093,0.010689532408294733,0.04571344931543875,4.440892098500626e-16,50,0,0,0,1000,575081790
39,0.629,0.034338234468363815,0.003342239343469555,0.0020898599486844915,50,0,0,0,1000,1952795859
40,0.022,0.001051249749166594,0.08716073873212382,0.0474527870225403,50,0,0,0,1000,1317866667
41,0.913,6.977531911589452e-06,6.9040863091007765e-06,0.010741748248464855,50,0,0,0,1000,1531761554
42,0.72,0.0012542665419544852,0.0012542665419544852,0.0012542665419544852,50,0,0,0,1000,673934066
43,0.516,6.573502451656665e-05,0.009847018753587844,0.029382733337242506,50,0,0,0,1000,758712243
44,0.513,0.005047262580282652,0.009485437932272966,0.0776100572138041,50,0,0,0,1000,916824962
45,0.994,0.019337097594382957,0.00018248568093337525,0.0011619102115966173,50,0,0,0,1000,475381739
46,0.729,0.010689532408294511,0.004022787281855678,0.01857647815678487,50,0,0,0,1000,2017410956
47,0.077,0.04202864413998608,0.056878091213414916,0.004629007386573125,50,0,0,0,1000,1962968207
48,0.763,0.01017805007758299,0.00431184780020466,0.0435601988497738,50,0,0,0,1000,1516260517
49,0.452,0.009485272557946178,0.01048037359528975,0.029378778731638966,50,0,0,0,1000,1751674605
50,0.253,0.005956883861183093,0.02812248300654585,7.06037105513424e-06,50,0,0,0,1000,275394254
51,0.244,0.042028644139986304,0.014407518396439056,0.005017163165911165,50,0,0,0,1000,730817417
52,0.851,0.004093318314114636,4.440892098500626e-16,0.010891522747669802,50,0,0,0,1000,1547586068
