,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.188,0.03382332568210015,0.016159142014839922,0.03382332568210015,50,,0,0,1000,1019282514,0.0
1,0.317,0.018785096495117302,0.01454594630399475,0.018785096495117302,50,,0,0,1000,1679872250,0.0
2,0.197,0.034227274073709985,0.04686138585927624,0.034227274073709985,50,,0,0,1000,1837932928,0.0
3,0.222,0.034390221816623635,0.11337405337728446,0.034390221816623635,50,,0,0,1000,1442006727,0.0
4,0.141,0.03979900032771888,0.0012968650993088193,0.03979900032771888,50,,0,0,1000,221822463,0.0
5,0.981,1.8135452677693055e-05,0.049006153831043675,1.8135452677693055e-05,50,,0,0,1000,509771608,0.0
6,0.377,0.01659831762774594,0.0028193132688624223,0.01659831762774594,50,,0,0,1000,1530295774,0.0
7,0.968,2.862758555303081e-05,0.12499986100684901,2.862758555303081e-05,50,,0,0,1000,385390263,0.0
8,0.147,0.042629046886471525,0.012326602333588732,0.042629046886471525,50,,0,0,1000,1825954996,0.0
9,0.414,0.010865082469077811,0.00048449747449319513,0.010865082469077811,50,,0,0,1000,744368653,0.0
10,0.861,0.0005005859750930638,0.0033358793471697235,0.0005005859750930638,50,,0,0,1000,62625325,0.0
11,0.381,0.015847402152235943,0.000827197328043705,0.015847402152235943,50,,0,0,1000,326653715,0.0
12,0.82,0.0012883177062840328,0.010111973432826105,0.0012883177062840328,50,,0,0,1000,283920944,0.0
13,0.264,0.02700610529730341,0.029702787843282952,0.02700610529730341,50,,0,0,1000,668789807,0.0
14,0.224,0.027392455247411233,6.079961371141529e-06,0.027392455247411233,50,,0,0,1000,2027587152,0.0
15,0.228,0.02703128240103154,0.0016145152935113094,0.02703128240103154,50,,0,0,1000,513262592,0.0
16,0.137,0.0453896451279108,0.1037286230485911,0.0453896451279108,50,,0,0,1000,1975749735,0.0
17,0.231,0.028978488865829405,0.0031887011525951747,0.028978488865829405,50,,0,0,1000,1167280423,0.0
18,0.494,0.010000510043523753,0.000286453880880444,0.010000510043523753,50,,0,0,1000,2007660583,0.0
19,0.433,0.012555276575888306,0.0014017444073354257,0.012555276575888306,50,,0,0,1000,1970764024,0.0
20,0.824,0.000727123759534809,0.015559777529854824,0.000727123759534809,50,,0,0,1000,63871913,0.0
21,0.798,0.001468229949827788,0.0006641304055593489,0.001468229949827788,50,,0,0,1000,954051228,0.0
22,0.373,0.015508074120234788,0.0038685380116055823,0.015508074120234788,50,,0,0,1000,1156649634,0.0
23,0.727,0.0026551422955509527,0.0354989450044213,0.0026551422955509527,50,,0,0,1000,1632697641,0.0
24,0.929,0.00018353404835965025,0.0023171146140628096,0.00018353404835965025,50,,0,0,1000,1572200133,0.0
25,0.93,0.00016671125011625667,0.038471851941454416,0.00016671125011625667,50,,0,0,1000,1235406039,0.0
26,0.586,0.006602835515274732,0.02406858394983047,0.006602835515274732,50,,0,0,1000,1407710297,0.0
27,0.232,0.02904205709544708,0.0008131412473693089,0.02904205709544708,50,,0,0,1000,1099262776,0.0
28,0.73,0.0024712349948181715,0.017638300901419823,0.0024712349948181715,50,,0,0,1000,92382466,0.0
29,0.579,0.00714940138680967,0.024081997130942057,0.00714940138680967,50,,0,0,1000,1411240924,0.0
30,0.034,0.10771839116978627,0.0590318310391974,0.10771839116978627,50,,0,0,1000,1772108105,0.0
31,0.755,0.0023626801426214266,0.011107308105207991,0.0023626801426214266,50,,0,0,1000,2033087279,0.0
32,0.04,0.07603253954204038,0.0023614371848679205,0.07603253954204038,50,,0,0,1000,954521694,0.0
33,0.688,0.0033318658965337524,0.0011230701805827747,0.0033318658965337524,50,,0,0,1000,1965599707,0.0
34,0.397,0.014706140945466992,0.0029571000528205715,0.014706140945466992,50,,0,0,1000,121509168,0.0
35,0.726,0.0029360769879068255,0.04262879836742117,0.0029360769879068255,50,,0,0,1000,1546692160,0.0
36,0.093,0.06659584261074313,2.6953787109373906e-05,0.06659584261074313,50,,0,0,1000,1779326814,0.0
37,0.369,0.015394090606304256,0.0017873411891268232,0.015394090606304256,50,,0,0,1000,263613230,0.0
38,0.534,0.007012605339103581,0.012934437373835594,0.007012605339103581,50,,0,0,1000,575081790,0.0
39,0.873,0.00044528866939351095,0.0023410915291590673,0.00044528866939351095,50,,0,0,1000,1952795859,0.0
40,0.083,0.05686429598046178,0.07772094310539357,0.05686429598046178,50,,0,0,1000,1317866667,0.0
41,0.675,0.0035603830362969558,0.006988711679534854,0.0035603830362969558,50,,0,0,1000,1531761554,0.0
42,0.901,0.0003672666972359396,0.0018018765005562987,0.0003672666972359396,50,,0,0,1000,673934066,0.0
43,0.311,0.023106572303968023,0.03232818971059015,0.023106572303968023,50,,0,0,1000,758712243,0.0
44,0.432,0.013436348021644113,0.08073585509668546,0.013436348021644113,50,,0,0,1000,916824962,0.0
45,0.763,0.001461648097259511,0.00015088522011430516,0.001461648097259511,50,,0,0,1000,475381739,0.0
46,0.195,0.032985428516250845,0.006396462592366925,0.032985428516250845,50,,0,0,1000,2017410956,0.0
47,0.302,0.022815951045898557,0.03213718785248154,0.022815951045898557,50,,0,0,1000,1962968207,0.0
48,0.503,0.01049886644802111,0.002260080258764674,0.01049886644802111,50,,0,0,1000,1516260517,0.0
49,0.409,0.014254018584498648,0.0005717244069439742,0.014254018584498648,50,,0,0,1000,1751674605,0.0
50,0.689,0.003002470405284318,0.005049675641205176,0.003002470405284318,50,,0,0,1000,275394254,0.0
51,0.692,0.0037367187165306447,0.02464522622477594,0.0037367187165306447,50,,0,0,1000,730817417,0.0
52,0.045,0.071419202686418,0.004425443770025628,0.071419202686418,50,,0,0,1000,1547586068,0.0
53,0.954,4.252418669204823e-05,0.013863480956454288,4.252418669204823e-05,50,,0,0,1000,2067636100,0.0
54,0.763,0.002131230657491804,0.015448733427759431,0.002131230657491804,50,,0,0,1000,632632655,0.0
55,0.021,0.092200786540723,0.018654484033507335,0.092200786540723,50,,0,0,1000,1468421546,0.0
56,0.105,0.05430277762122392,0.012729887853596078,0.05430277762122392,50,,0,0,1000,1005374725,0.0
57,0.555,0.007535013471495488,0.04332084317482687,0.007535013471495488,50,,0,0,1000,78165742,0.0
58,0.694,0.0027507710586192526,0.028818544240136967,0.0027507710586192526,50,,0,0,1000,1080121834,0.0
59,0.888,0.00041897683518099803,0.0041018853400723865,0.00041897683518099803,50,,0,0,1000,826541444,0.0
60,0.681,0.0038715352012677344,0.016296060289970993,0.0038715352012677344,50,,0,0,1000,215117809,0.0
61,0.056,0.08155657282798386,0.0268747859566818,0.08155657282798386,50,,0,0,1000,305128647,0.0
62,0.871,0.0005472744362244482,0.0038033142545075282,0.0005472744362244482,50,,0,0,1000,631354571,0.0
63,0.182,0.031157814056934366,0.0022715051591268853,0.031157814056934366,50,,0,0,1000,760648162,0.0
64,0.385,0.017335624187350386,0.013179201378224481,0.017335624187350386,50,,0,0,1000,553576721,0.0
65,0.059,0.07557927842835284,0.0050363485457869395,0.07557927842835284,50,,0,0,1000,2078160693,0.0
66,0.708,0.0029078689338245243,0.003836927749331198,0.0029078689338245243,50,,0,0,1000,2019846921,0.0
67,1.0,5.047655033542682e-10,0.0015410095409887914,5.047655033542682e-10,50,,0,0,1000,1279013547,0.0
68,0.91,0.000306756453045074,0.01776752663480452,0.000306756453045074,50,,0,0,1000,1134490754,0.0
69,0.106,0.05010557821216543,0.0218856099473681,0.05010557821216543,50,,0,0,1000,849951427,0.0
70,0.56,0.007724623826987686,0.011926161839916571,0.007724623826987686,50,,0,0,1000,1243751187,0.0
71,0.601,0.006291346853248173,9.181699049087833e-05,0.006291346853248173,50,,0,0,1000,394876318,0.0
72,0.451,0.012822682773030869,0.011250205061189011,0.012822682773030869,50,,0,0,1000,1285457632,0.0
73,0.073,0.07058656756322032,0.009913088722910524,0.07058656756322032,50,,0,0,1000,595765758,0.0
74,0.635,0.004011207296831419,0.04939871068104196,0.004011207296831419,50,,0,0,1000,1201503691,0.0
75,0.187,0.03884129684529601,0.0073617954176921074,0.03884129684529601,50,,0,0,1000,1542418348,0.0
76,0.876,0.0005072494611342693,0.0005101608244707512,0.0005072494611342693,50,,0,0,1000,244592230,0.0
77,0.203,0.029031818685404887,0.02826781568931258,0.029031818685404887,50,,0,0,1000,1969263265,0.0
78,0.98,8.104736328581647e-06,0.0016058997349071014,8.104736328581647e-06,50,,0,0,1000,1096437208,0.0
79,0.529,0.008409217893521496,0.0013630546706848712,0.008409217893521496,50,,0,0,1000,908217484,0.0
80,0.666,0.003424748224188439,0.02367210984102841,0.003424748224188439,50,,0,0,1000,152089541,0.0
81,1.0,2.4119637234658744e-07,0.0038562344741948085,2.4119637234658744e-07,50,,0,0,1000,394114712,0.0
82,0.609,0.0058347722722526104,0.0006992126905353002,0.0058347722722526104,50,,0,0,1000,941097907,0.0
83,0.177,0.039932603712771055,0.005497552920732507,0.039932603712771055,50,,0,0,1000,1075348184,0.0
