,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.262,0.028735505313152727,0.013715837733518588,0.028735505313152727,50,,0,0,1000,1019282514,0.0
1,0.32,0.020621531271257175,0.01989636346344703,0.020621531271257175,50,,0,0,1000,1679872250,0.0
2,0.269,0.02809703317819022,0.03425480490865174,0.02809703317819022,50,,0,0,1000,1837932928,0.0
3,0.251,0.03155570496678221,0.0864452075107206,0.03155570496678221,50,,0,0,1000,1442006727,0.0
4,0.266,0.024578814847582765,0.006896633298404509,0.024578814847582765,50,,0,0,1000,221822463,0.0
5,0.723,0.0023746905649323614,0.0393224343634303,0.0023746905649323614,50,,0,0,1000,509771608,0.0
6,0.432,0.012608697227642286,0.007747943707180127,0.012608697227642286,50,,0,0,1000,1530295774,0.0
7,0.807,0.0010739212432934694,0.12914981458156904,0.0010739212432934694,50,,0,0,1000,385390263,0.0
8,0.118,0.052517927035582765,0.009006650000032312,0.052517927035582765,50,,0,0,1000,1825954996,0.0
9,0.649,0.0042901752876174145,0.001432374961403693,0.0042901752876174145,50,,0,0,1000,744368653,0.0
10,0.799,0.0015784363181047245,0.002581021037077358,0.0015784363181047245,50,,0,0,1000,62625325,0.0
11,0.339,0.01833593134729823,0.001172684884138353,0.01833593134729823,50,,0,0,1000,326653715,0.0
12,0.903,0.00032742442171140423,0.0057996446230692555,0.00032742442171140423,50,,0,0,1000,283920944,0.0
13,0.259,0.027060059089906843,0.027419393033295103,0.027060059089906843,50,,0,0,1000,668789807,0.0
14,0.282,0.022623414356119788,0.00017746254005068796,0.022623414356119788,50,,0,0,1000,2027587152,0.0
15,0.306,0.023022948014507442,0.0005375813132988405,0.023022948014507442,50,,0,0,1000,513262592,0.0
16,0.184,0.03452033811631991,0.10255116672394782,0.03452033811631991,50,,0,0,1000,1975749735,0.0
17,0.178,0.03659623134514988,0.002465070227868793,0.03659623134514988,50,,0,0,1000,1167280423,0.0
18,0.467,0.00962404532006665,0.0012675652157767558,0.00962404532006665,50,,0,0,1000,2007660583,0.0
19,0.457,0.011385064328440496,0.000809330179972978,0.011385064328440496,50,,0,0,1000,1970764024,0.0
20,0.852,0.0007636510355528137,0.016300427220900637,0.0007636510355528137,50,,0,0,1000,63871913,0.0
21,0.725,0.002304805770020882,0.0019790328877794527,0.002304805770020882,50,,0,0,1000,954051228,0.0
22,0.292,0.024740334399614518,0.0038476738101472785,0.024740334399614518,50,,0,0,1000,1156649634,0.0
23,0.851,0.0007661974541153547,0.02971635661758698,0.0007661974541153547,50,,0,0,1000,1632697641,0.0
24,0.813,0.0010717532185687936,0.003416545803378579,0.0010717532185687936,50,,0,0,1000,1572200133,0.0
25,0.979,8.258477304839354e-06,0.04399065577627792,8.258477304839354e-06,50,,0,0,1000,1235406039,0.0
26,0.642,0.004305445735023051,0.029915453675484538,0.004305445735023051,50,,0,0,1000,1407710297,0.0
27,0.142,0.04113094952668125,0.0008756641086404837,0.04113094952668125,50,,0,0,1000,1099262776,0.0
28,0.728,0.0023671742747025616,0.01967744573327268,0.0023671742747025616,50,,0,0,1000,92382466,0.0
29,0.474,0.01095800253642973,0.016622429068253286,0.01095800253642973,50,,0,0,1000,1411240924,0.0
30,0.014,0.11559859261062877,0.06899396978584649,0.11559859261062877,50,,0,0,1000,1772108105,0.0
31,0.551,0.007342074638443581,0.006002948198574054,0.007342074638443581,50,,0,0,1000,2033087279,0.0
32,0.02,0.11134131509627343,0.000402734915052938,0.11134131509627343,50,,0,0,1000,954521694,0.0
33,0.568,0.007255518569679919,0.005948022729898139,0.007255518569679919,50,,0,0,1000,1965599707,0.0
34,0.347,0.016126373704875137,0.002287168393161232,0.016126373704875137,50,,0,0,1000,121509168,0.0
35,0.803,0.001330315085884947,0.045943765779439816,0.001330315085884947,50,,0,0,1000,1546692160,0.0
36,0.087,0.06415553925646122,0.0002465613897408847,0.06415553925646122,50,,0,0,1000,1779326814,0.0
37,0.362,0.017491475431840826,0.0014399846254260495,0.017491475431840826,50,,0,0,1000,263613230,0.0
38,0.318,0.01804439392489415,0.014611881661892312,0.01804439392489415,50,,0,0,1000,575081790,0.0
39,0.948,7.9251790594264e-05,0.0032598467621131055,7.9251790594264e-05,50,,0,0,1000,1952795859,0.0
40,0.09,0.059584557563800496,0.07469484082141353,0.059584557563800496,50,,0,0,1000,1317866667,0.0
41,0.801,0.0010571999446393728,0.006350624563714713,0.0010571999446393728,50,,0,0,1000,1531761554,0.0
42,0.669,0.0041347346481222964,0.004382905046155905,0.0041347346481222964,50,,0,0,1000,673934066,0.0
43,0.256,0.025893998491402486,0.03343016707023461,0.025893998491402486,50,,0,0,1000,758712243,0.0
44,0.522,0.008696275967105269,0.09516807314607734,0.008696275967105269,50,,0,0,1000,916824962,0.0
45,0.852,0.0009374254779089499,4.769297076712142e-06,0.0009374254779089499,50,,0,0,1000,475381739,0.0
46,0.25,0.027103145943618675,0.005778943648650392,0.027103145943618675,50,,0,0,1000,2017410956,0.0
47,0.34,0.02038020131685385,0.01606159998998391,0.02038020131685385,50,,0,0,1000,1962968207,0.0
48,0.548,0.00803293299447585,0.00033059905600707484,0.00803293299447585,50,,0,0,1000,1516260517,0.0
49,0.697,0.003154482761237238,1.7829628189192093e-05,0.003154482761237238,50,,0,0,1000,1751674605,0.0
50,0.703,0.0035825754367725723,0.002536064582633335,0.0035825754367725723,50,,0,0,1000,275394254,0.0
51,0.653,0.004031361209216878,0.021813626510429174,0.004031361209216878,50,,0,0,1000,730817417,0.0
52,0.038,0.08163982296683091,0.006404097784504903,0.08163982296683091,50,,0,0,1000,1547586068,0.0
53,0.793,0.0018125696003589372,0.007779662622096395,0.0018125696003589372,50,,0,0,1000,2067636100,0.0
54,0.562,0.006960269985613538,0.015208080701803683,0.006960269985613538,50,,0,0,1000,632632655,0.0
55,0.046,0.07829920900777915,0.015544993818494834,0.07829920900777915,50,,0,0,1000,1468421546,0.0
56,0.115,0.051484872999728,0.0219645970881035,0.051484872999728,50,,0,0,1000,1005374725,0.0
57,0.501,0.010452020339885246,0.04034046783795975,0.010452020339885246,50,,0,0,1000,78165742,0.0
58,0.763,0.0017751857240264897,0.027133514966138028,0.0017751857240264897,50,,0,0,1000,1080121834,0.0
59,0.911,0.0002598809707160963,0.004084819905966208,0.0002598809707160963,50,,0,0,1000,826541444,0.0
60,0.74,0.0018615013149075705,0.02166994802676203,0.0018615013149075705,50,,0,0,1000,215117809,0.0
61,0.063,0.06879838455549699,0.024169336300837507,0.06879838455549699,50,,0,0,1000,305128647,0.0
62,0.798,0.0013443593891437338,0.0020524609914885916,0.0013443593891437338,50,,0,0,1000,631354571,0.0
63,0.156,0.04507766017769824,0.004473901212568854,0.04507766017769824,50,,0,0,1000,760648162,0.0
64,0.473,0.011618759173975389,0.01264686299894413,0.011618759173975389,50,,0,0,1000,553576721,0.0
65,0.079,0.05988689424226582,0.005499463986411879,0.05988689424226582,50,,0,0,1000,2078160693,0.0
66,0.373,0.016990461945909703,0.008465806877709703,0.016990461945909703,50,,0,0,1000,2019846921,0.0
67,0.95,6.049515794442518e-05,0.00261462471452123,6.049515794442518e-05,50,,0,0,1000,1279013547,0.0
68,0.963,4.531696176436871e-05,0.021305561150881003,4.531696176436871e-05,50,,0,0,1000,1134490754,0.0
69,0.1,0.053696307789159015,0.029172649952534657,0.053696307789159015,50,,0,0,1000,849951427,0.0
70,0.795,0.0016181534528251313,0.006228110174693935,0.0016181534528251313,50,,0,0,1000,1243751187,0.0
71,0.405,0.013037864904414066,0.00012824514281839505,0.013037864904414066,50,,0,0,1000,394876318,0.0
72,0.535,0.009212945790674795,0.011244289176132405,0.009212945790674795,50,,0,0,1000,1285457632,0.0
73,0.041,0.08062899137080709,0.011605728304275975,0.08062899137080709,50,,0,0,1000,595765758,0.0
74,0.623,0.005061294019263611,0.04435727522985733,0.005061294019263611,50,,0,0,1000,1201503691,0.0
75,0.335,0.019599919409511363,0.0027356925460541026,0.019599919409511363,50,,0,0,1000,1542418348,0.0
76,0.984,1.1097865437349184e-05,0.0012186795624471447,1.1097865437349184e-05,50,,0,0,1000,244592230,0.0
77,0.193,0.03667865331262998,0.024943543693292436,0.03667865331262998,50,,0,0,1000,1969263265,0.0
78,0.823,0.0009689473575254299,0.0009317968947883948,0.0009689473575254299,50,,0,0,1000,1096437208,0.0
79,0.561,0.00804897201791332,0.0004342013239863052,0.00804897201791332,50,,0,0,1000,908217484,0.0
80,0.596,0.005657488519670957,0.021924909723562647,0.005657488519670957,50,,0,0,1000,152089541,0.0
81,0.916,0.0002582727478995334,0.0005717927561336156,0.0002582727478995334,50,,0,0,1000,394114712,0.0
82,0.679,0.004034960355520451,0.0005926911878064711,0.004034960355520451,50,,0,0,1000,941097907,0.0
83,0.241,0.028687267812073373,0.006347600464395309,0.028687267812073373,50,,0,0,1000,1075348184,0.0
84,0.638,0.004376401930858268,0.009879163549478709,0.004376401930858268,50,,0,0,1000,501147184,0.0
85,0.932,0.0002104713806006758,0.0026731970666296068,0.0002104713806006758,50,,0,0,1000,1768542267,0.0
86,0.834,0.000822650963657546,0.013912801400276287,0.000822650963657546,50,,0,0,1000,613563948,0.0
87,0.844,0.0007390567263071588,0.07803851702205045,0.0007390567263071588,50,,0,0,1000,780420734,0.0
88,0.591,0.0057435761873923874,0.0019003863039115387,0.0057435761873923874,50,,0,0,1000,1530635368,0.0
89,0.693,0.0032349874142902114,0.0018186878635551018,0.0032349874142902114,50,,0,0,1000,1049747644,0.0
90,0.61,0.005819565140091001,0.08402453265292409,0.005819565140091001,50,,0,0,1000,2133868785,0.0
91,0.092,0.05765600445559847,0.026446478522022754,0.05765600445559847,50,,0,0,1000,1227640767,0.0
92,0.459,0.01193637910905383,0.01439154065898729,0.01193637910905383,50,,0,0,1000,1400720309,0.0
93,0.758,0.0024836314027222237,0.0687824359761019,0.0024836314027222237,50,,0,0,1000,1875327350,0.0
94,0.521,0.008882543772751324,0.0050921192143138505,0.008882543772751324,50,,0,0,1000,998633014,0.0
95,0.735,0.002367123202828029,0.015916402935721607,0.002367123202828029,50,,0,0,1000,1495616662,0.0
96,0.141,0.04772908167635414,0.004423760093667184,0.04772908167635414,50,,0,0,1000,2077593581,0.0
97,0.038,0.08311963932940662,0.003750435254244011,0.08311963932940662,50,,0,0,1000,1777051770,0.0
98,0.1,0.05332943132216013,2.9186499782563047e-06,0.05332943132216013,50,,0,0,1000,1966510930,0.0
99,0.771,0.0013135087091885752,0.04426841427510375,0.0013135087091885752,50,,0,0,1000,504192306,0.0
100,0.993,1.970889740347024e-07,0.000980584674072471,1.970889740347024e-07,100,,0,0,1000,1604458567,0.0
101,0.148,0.01948530164039241,0.0011380616017053757,0.01948530164039241,100,,0,0,1000,774880851,0.0
102,0.803,0.0006205731341596772,0.0006301794338180455,0.0006205731341596772,100,,0,0,1000,227552889,0.0
103,0.931,7.023548479677824e-05,0.008187128596403803,7.023548479677824e-05,100,,0,0,1000,16906905,0.0
104,0.68,0.0015526852979007028,0.0003525182993937559,0.0015526852979007028,100,,0,0,1000,55384970,0.0
105,0.173,0.01900139920267439,2.597320738251252e-05,0.01900139920267439,100,,0,0,1000,2132110259,0.0
106,0.129,0.02442204487462795,0.003021230423850385,0.02442204487462795,100,,0,0,1000,216666703,0.0
107,0.232,0.012968535882598584,0.01347125404449212,0.012968535882598584,100,,0,0,1000,296224385,0.0
108,0.58,0.003649218248553337,0.05450196496219528,0.003649218248553337,100,,0,0,1000,1619298557,0.0
109,0.291,0.011911275966954024,0.005244664082668771,0.011911275966954024,100,,0,0,1000,1541312302,0.0
110,0.978,6.173206792992215e-06,0.001726944481113879,6.173206792992215e-06,100,,0,0,1000,62559325,0.0
111,0.22,0.016439662194317584,0.008082027340096665,0.016439662194317584,100,,0,0,1000,1681594616,0.0
112,0.988,3.3551067575317238e-06,0.0017426429584321834,3.3551067575317238e-06,100,,0,0,1000,358777621,0.0
113,0.938,7.764257747506696e-05,0.06252207229854134,7.764257747506696e-05,100,,0,0,1000,1754616452,0.0
114,0.359,0.008372547610840884,0.010119178801543005,0.008372547610840884,100,,0,0,1000,46788485,0.0
115,0.431,0.0062316426065309564,0.007241057994056499,0.0062316426065309564,100,,0,0,1000,510160670,0.0
116,0.725,0.0012430189260315416,0.008719819467146395,0.0012430189260315416,100,,0,0,1000,454673985,0.0
117,0.571,0.0032102972702592204,0.0018644034829035094,0.0032102972702592204,100,,0,0,1000,636524282,0.0
118,0.99,1.3590479941231877e-06,0.004251782561468298,1.3590479941231877e-06,100,,0,0,1000,291875639,0.0
119,0.308,0.010254879695640198,3.657458936989766e-05,0.010254879695640198,100,,0,0,1000,1384953418,0.0
120,0.071,0.03540398556113538,0.0007337802004521166,0.03540398556113538,100,,0,0,1000,470824762,0.0
121,0.186,0.017884283777687533,0.0021255075377952792,0.017884283777687533,100,,0,0,1000,528486959,0.0
122,0.096,0.025930739135245788,0.00030976880531907725,0.025930739135245788,100,,0,0,1000,185433238,0.0
123,0.302,0.011543859944793091,0.036766625209145753,0.011543859944793091,100,,0,0,1000,1530812528,0.0
124,0.316,0.009886988537526115,0.023121247054702976,0.009886988537526115,100,,0,0,1000,647861397,0.0
125,0.848,0.00034837961774365214,0.04780373427757634,0.00034837961774365214,100,,0,0,1000,563383994,0.0
126,0.233,0.014807278880144433,0.004936472079591914,0.014807278880144433,100,,0,0,1000,1179513918,0.0
127,0.341,0.009041068371777846,0.0035784793380123636,0.009041068371777846,100,,0,0,1000,781409813,0.0
128,0.695,0.0018050787661295711,0.031321019077820256,0.0018050787661295711,100,,0,0,1000,244280760,0.0
129,0.255,0.012953045777825254,0.0022565621073997733,0.012953045777825254,100,,0,0,1000,1149967382,0.0
130,0.932,8.58453630638161e-05,0.0024891387348663363,8.58453630638161e-05,100,,0,0,1000,1027204489,0.0
131,0.12,0.02364375546358608,0.0031189083026698095,0.02364375546358608,100,,0,0,1000,1858402418,0.0
132,0.071,0.03435108488989548,0.0125496202050982,0.03435108488989548,100,,0,0,1000,1713922561,0.0
133,0.013,0.06678227866031575,0.00016980687408119088,0.06678227866031575,100,,0,0,1000,1192757155,0.0
134,0.337,0.008839486182070493,0.009257461906462483,0.008839486182070493,100,,0,0,1000,1524823068,0.0
135,0.759,0.0008849814363369104,0.000328350785661069,0.0008849814363369104,100,,0,0,1000,1513983115,0.0
136,0.984,4.757485294530241e-06,0.01241882656096649,4.757485294530241e-06,100,,0,0,1000,28269538,0.0
137,0.286,0.011526987523272565,4.631542703803504e-06,0.011526987523272565,100,,0,0,1000,1996779031,0.0
138,0.111,0.025610512084614546,0.01062075354385128,0.025610512084614546,100,,0,0,1000,2063599293,0.0
139,0.968,2.4070963578116527e-05,0.001487780019322038,2.4070963578116527e-05,100,,0,0,1000,1990083466,0.0
140,0.387,0.008498320399043798,0.006031713404980765,0.008498320399043798,100,,0,0,1000,661943137,0.0
141,0.604,0.0024583528565218734,0.0013320288704039562,0.0024583528565218734,100,,0,0,1000,1403562992,0.0
142,0.043,0.04025667213617395,0.004430912867964931,0.04025667213617395,100,,0,0,1000,363122471,0.0
143,0.608,0.0031312109858300827,0.024076780407362053,0.0031312109858300827,100,,0,0,1000,491222027,0.0
144,0.329,0.00942626062039973,0.0011301579973214126,0.00942626062039973,100,,0,0,1000,432298836,0.0
145,0.659,0.0018507410703697904,0.017580932890790213,0.0018507410703697904,100,,0,0,1000,1304709030,0.0
146,0.368,0.007754872991055995,2.5904622238726027e-05,0.007754872991055995,100,,0,0,1000,1467770045,0.0
147,0.213,0.015071265449926588,0.006530183608163043,0.015071265449926588,100,,0,0,1000,1549830519,0.0
148,0.029,0.044201227163185405,0.00307408334971937,0.044201227163185405,100,,0,0,1000,1514058593,0.0
149,0.617,0.0026934566394614928,4.11931263422094e-06,0.0026934566394614928,100,,0,0,1000,987229037,0.0
150,0.68,0.0017347709159593367,0.03534530719911666,0.0017347709159593367,100,,0,0,1000,432725415,0.0
151,0.829,0.00046986933031111845,0.010690676775814922,0.00046986933031111845,100,,0,0,1000,1591096261,0.0
152,0.577,0.00352971015041279,0.0010225767612679348,0.00352971015041279,100,,0,0,1000,264695457,0.0
153,0.869,0.00023603369008126995,0.0004385442018463026,0.00023603369008126995,100,,0,0,1000,1042393695,0.0
154,0.495,0.0042542199301350975,6.612666829219904e-06,0.0042542199301350975,100,,0,0,1000,729062470,0.0
155,0.084,0.03193691187776701,0.027787550698814,0.03193691187776701,100,,0,0,1000,1017936139,0.0
156,0.186,0.017438227353271413,0.006097153161501168,0.017438227353271413,100,,0,0,1000,1846930476,0.0
157,0.336,0.009369520925645868,0.0067969123195805725,0.009369520925645868,100,,0,0,1000,373277956,0.0
158,0.184,0.01724572351580763,0.0031722044309531183,0.01724572351580763,100,,0,0,1000,2017905715,0.0
159,0.946,5.159032850788656e-05,0.08923341743029767,5.159032850788656e-05,100,,0,0,1000,1202071144,0.0
160,0.953,3.4633988433651604e-05,0.0038032384500018557,3.4633988433651604e-05,100,,0,0,1000,1778608981,0.0
161,0.44,0.0059924767170759,0.0006103960354739701,0.0059924767170759,100,,0,0,1000,17804671,0.0
162,0.728,0.0013385893679218502,0.0236176347886774,0.0013385893679218502,100,,0,0,1000,572750107,0.0
163,0.759,0.0008980389343595113,0.004118825524201064,0.0008980389343595113,100,,0,0,1000,207565000,0.0
164,0.783,0.0007548225183549181,0.038091512763462676,0.0007548225183549181,100,,0,0,1000,1306816430,0.0
165,0.068,0.03176151081647366,0.003100612742640285,0.03176151081647366,100,,0,0,1000,901143153,0.0
