,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.378,0.003871100332048738,0.016159142014839922,0.03382332568210015,50,0,0,0,1000,1019282514
1,0.406,0.017929185279509707,0.01454594630399475,0.018785096495117302,50,0,0,0,1000,1679872250
2,0.132,0.03306472799096738,0.04686138585927624,0.034227274073709985,50,0,0,0,1000,1837932928
3,0.019,0.032316537886559416,0.11337405337728446,0.034390221816623635,50,0,0,0,1000,1442006727
4,0.804,0.012477398719916266,0.0012968650993088193,0.03979900032771888,50,0,0,0,1000,221822463
5,0.124,0.00969722548181784,0.049006153831043675,1.8135452677693055e-05,50,0,0,0,1000,509771608
6,0.716,0.010518526395260297,0.0028193132688624223,0.016598317627745947,50,0,0,0,1000,1530295774
7,0.009,0.009662210314752895,0.12499986100684901,2.862758555303081e-05,50,0,0,0,1000,385390263
8,0.437,0.023808779059273255,0.012326602333588732,0.04262904688647152,50,0,0,0,1000,1825954996
9,0.895,0.14333073078262049,0.00048449747449319513,0.010865082469077811,50,0,0,0,1000,744368653
10,0.661,0.056488412703388224,0.0033358793471697235,0.0005005859750930639,50,0,0,0,1000,62625325
11,0.854,0.006894697050965792,0.000827197328043705,0.015847402152235943,50,0,0,0,1000,326653715
12,0.495,0.03232955518947178,0.010111973432826105,0.0012883177062840328,50,0,0,0,1000,283920944
13,0.239,0.046681409687580944,0.029702787843282952,0.02700610529730342,50,0,0,0,1000,668789807
14,0.987,0.0621141881256545,6.079961371141529e-06,0.027392455247411233,50,0,0,0,1000,2027587152
15,0.785,0.014288134845811817,0.0016145152935113094,0.02703128240103154,50,0,0,0,1000,513262592
16,0.03,0.012690372214435142,0.1037286230485911,0.0453896451279108,50,0,0,0,1000,1975749735
17,0.694,0.03377513371778951,0.0031887011525951747,0.028978488865829394,50,0,0,0,1000,1167280423
18,0.907,0.008250557468908681,0.000286453880880444,0.010000510043523753,50,0,0,0,1000,2007660583
19,0.808,0.026717911054646493,0.0014017444073354257,0.012555276575888306,50,0,0,0,1000,1970764024
20,0.358,3.922740217543463e-06,0.015559777529854824,0.000727123759534809,50,0,0,0,1000,63871913
21,0.861,0.0021659357348938757,0.0006641304055593489,0.001468229949827788,50,0,0,0,1000,954051228
22,0.665,0.002088328150873564,0.0038685380116055823,0.015508074120234788,50,0,0,0,1000,1156649634
23,0.175,0.0022496310621876736,0.0354989450044213,0.0026551422955509527,50,0,0,0,1000,1632697641
24,0.729,0.004431090703258422,0.0023171146140628096,0.00018353404835965025,50,0,0,0,1000,1572200133
25,0.165,0.041286075787511645,0.038471851941454416,0.00016671125011625667,50,0,0,0,1000,1235406039
26,0.268,0.049960080322873024,0.02406858394983047,0.006602835515274735,50,0,0,0,1000,1407710297
27,0.834,0.005876215126953244,0.0008131412473693089,0.02904205709544708,50,0,0,0,1000,1099262776
28,0.349,0.006493314186267751,0.017638300901419823,0.0024712349948181715,50,0,0,0,1000,92382466
29,0.328,0.0004197777560970284,0.024081997130942057,0.0071494013868096725,50,0,0,0,1000,1411240924
30,0.088,0.0035079748674254896,0.0590318310391974,0.10771839116978627,50,0,0,0,1000,1772108105
31,0.456,0.013598871937250512,0.011107308105207991,0.0023626801426214266,50,0,0,0,1000,2033087279
32,0.771,0.07221381375266844,0.0023614371848679205,0.07603253954204041,50,0,0,0,1000,954521694
33,0.83,0.007564404015439452,0.0011230701805827747,0.0033318658965337533,50,0,0,0,1000,1965599707
34,0.714,0.018088110066834973,0.0029571000528205715,0.014706140945466992,50,0,0,0,1000,121509168
35,0.151,0.02919853050930077,0.04262879836742117,0.0029360769879068246,50,0,0,0,1000,1546692160
36,0.983,0.005017648435449051,2.6953787109373906e-05,0.06659584261074313,50,0,0,0,1000,1779326814
37,0.764,0.05111143161561793,0.0017873411891268232,0.01539409060630426,50,0,0,0,1000,263613230
38,0.406,0.043493713589015104,0.012934437373835594,0.007012605339103578,50,0,0,0,1000,575081790
39,0.728,0.03455830976160956,0.0023410915291590673,0.00044528866939351095,50,0,0,0,1000,1952795859
40,0.047,0.0023985911726007725,0.07772094310539357,0.05686429598046177,50,0,0,0,1000,1317866667
41,0.581,0.0012242546601590742,0.006988711679534854,0.0035603830362969558,50,0,0,0,1000,1531761554
42,0.774,0.00937721732691621,0.0018018765005562987,0.0003672666972359395,50,0,0,0,1000,673934066
43,0.216,0.005969298686062108,0.03232818971059015,0.023106572303968023,50,0,0,0,1000,758712243
44,0.034,0.005419768547515802,0.08073585509668546,0.013436348021644116,50,0,0,0,1000,916824962
45,0.942,0.009918056947559317,0.00015088522011430516,0.001461648097259511,50,0,0,0,1000,475381739
46,0.562,0.007443864006598466,0.006396462592366925,0.032985428516250845,50,0,0,0,1000,2017410956
47,0.2,0.03729370610312677,0.03213718785248154,0.022815951045898564,50,0,0,0,1000,1962968207
48,0.733,0.004955827317073114,0.002260080258764674,0.01049886644802111,50,0,0,0,1000,1516260517
49,0.88,0.01301659588483517,0.0005717244069439742,0.014254018584498648,50,0,0,0,1000,1751674605
50,0.623,0.00208046538556228,0.005049675641205176,0.003002470405284318,50,0,0,0,1000,275394254
51,0.261,0.1043032495940397,0.02464522622477594,0.0037367187165306447,50,0,0,0,1000,730817417
52,0.703,0.04842739354395642,0.004425443770025628,0.07141920268641798,50,0,0,0,1000,1547586068
53,0.392,0.009150894251486519,0.013863480956454288,4.2524186692048236e-05,50,0,0,0,1000,2067636100
54,0.369,0.03331365290408461,0.015448733427759431,0.0021312306574918036,50,0,0,0,1000,632632655
55,0.336,0.0008855886685105174,0.018654484033507335,0.092200786540723,50,0,0,0,1000,1468421546
56,0.438,5.8201494703702394e-05,0.012729887853596078,0.05430277762122394,50,0,0,0,1000,1005374725
57,0.139,0.0014526838884522109,0.04332084317482687,0.007535013471495485,50,0,0,0,1000,78165742
58,0.216,0.02100540231613346,0.028818544240136967,0.0027507710586192535,50,0,0,0,1000,1080121834
59,0.629,0.0015128381599894825,0.0041018853400723865,0.00041897683518099803,50,0,0,0,1000,826541444
60,0.384,0.006829793792257899,0.016296060289970993,0.0038715352012677344,50,0,0,0,1000,215117809
61,0.244,0.00468257274931938,0.0268747859566818,0.08155657282798386,50,0,0,0,1000,305128647
62,0.673,0.0722745535323821,0.0038033142545075282,0.0005472744362244482,50,0,0,0,1000,631354571
63,0.728,0.0001514168097360713,0.0022715051591268853,0.031157814056934366,50,0,0,0,1000,760648162
64,0.411,0.0025361971719177756,0.013179201378224481,0.017335624187350386,50,0,0,0,1000,553576721
65,0.646,0.008627826606021682,0.0050363485457869395,0.07557927842835284,50,0,0,0,1000,2078160693
66,0.695,0.029478921126522284,0.003836927749331198,0.0029078689338245234,50,0,0,0,1000,2019846921
67,0.79,0.00012456651999803725,0.0015410095409887914,5.047655033542682e-10,50,0,0,0,1000,1279013547
68,0.323,0.05396295337068524,0.01776752663480452,0.000306756453045074,50,0,0,0,1000,1134490754
69,0.312,0.002383284336361924,0.0218856099473681,0.05010557821216543,50,0,0,0,1000,849951427
