,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.693,0.0026093751906233146,0.03316815736084981,0.0026093751906233146,50,,0,0,1000,1019282514,0.0
1,0.509,0.007989865054497843,0.019325272985192824,0.007989865054497843,50,,0,0,1000,1679872250,0.0
2,0.62,0.003917742278243969,0.00018178052558444525,0.003917742278243969,50,,0,0,1000,1837932928,0.0
3,0.645,0.0056503484046245,0.11058680251642108,0.0056503484046245,50,,0,0,1000,1442006727,0.0
4,0.086,0.05572082690447592,0.015649969800390916,0.05572082690447592,50,,0,0,1000,221822463,0.0
5,0.831,0.0008500433974633624,0.00143549064871129,0.0008500433974633624,50,,0,0,1000,509771608,0.0
6,0.435,0.012812700977688841,0.004304712675116097,0.012812700977688841,50,,0,0,1000,1530295774,0.0
7,0.523,0.009160467630509353,0.04018959647515733,0.009160467630509353,50,,0,0,1000,385390263,0.0
8,0.142,0.036507068303916736,0.01375632716815338,0.036507068303916736,50,,0,0,1000,1825954996,0.0
9,0.192,0.03487491167399159,0.020513580189433056,0.03487491167399159,50,,0,0,1000,744368653,0.0
10,0.527,0.008027921515007665,0.005000307791099799,0.008027921515007665,50,,0,0,1000,62625325,0.0
11,0.54,0.0082231575156474,0.013781732757107049,0.0082231575156474,50,,0,0,1000,326653715,0.0
12,0.861,0.0007280536200661951,0.027915767470743334,0.0007280536200661951,50,,0,0,1000,283920944,0.0
13,0.311,0.021313427023232936,0.035922990648854784,0.021313427023232936,50,,0,0,1000,668789807,0.0
14,0.535,0.008379142058300168,0.0427888996430765,0.008379142058300168,50,,0,0,1000,2027587152,0.0
15,0.351,0.018311483069083995,0.010285398737433792,0.018311483069083995,50,,0,0,1000,513262592,0.0
16,0.655,0.003800508135761366,0.07191341315257731,0.003800508135761366,50,,0,0,1000,1975749735,0.0
17,0.413,0.0133185595293604,0.004199344528214312,0.0133185595293604,50,,0,0,1000,1167280423,0.0
18,0.42,0.013489387458901436,0.0013427056435610805,0.013489387458901436,50,,0,0,1000,2007660583,0.0
19,0.32,0.01799278231205471,0.01564322612903956,0.01799278231205471,50,,0,0,1000,1970764024,0.0
20,0.839,0.0007857048207527758,0.0018634111632784022,0.0007857048207527758,50,,0,0,1000,63871913,0.0
21,0.895,0.00030112585503993156,0.0006280045604778739,0.00030112585503993156,50,,0,0,1000,954051228,0.0
22,0.491,0.011914307435342756,0.02328898444428805,0.011914307435342756,50,,0,0,1000,1156649634,0.0
23,0.831,0.0018260106273927973,0.07100233615141822,0.0018260106273927973,50,,0,0,1000,1632697641,0.0
24,0.267,0.025442190777948005,0.009445950458536294,0.025442190777948005,50,,0,0,1000,1572200133,0.0
25,0.608,0.004971329630806381,0.010497330875321217,0.004971329630806381,50,,0,0,1000,1235406039,0.0
26,0.305,0.02234538662079497,0.028677566470307475,0.02234538662079497,50,,0,0,1000,1407710297,0.0
27,0.34,0.020414210150520855,0.00017022979296427702,0.020414210150520855,50,,0,0,1000,1099262776,0.0
28,0.595,0.006820519214602334,0.027278214576132734,0.006820519214602334,50,,0,0,1000,92382466,0.0
29,0.239,0.02911631151398512,0.0001258438302989543,0.02911631151398512,50,,0,0,1000,1411240924,0.0
30,0.014,0.12514945236127112,0.02514358144594295,0.12514945236127112,50,,0,0,1000,1772108105,0.0
31,0.886,0.0005183725064702794,0.009797903097166992,0.0005183725064702794,50,,0,0,1000,2033087279,0.0
32,0.005,0.16207483748485388,0.0007533969793721339,0.16207483748485388,50,,0,0,1000,954521694,0.0
33,0.449,0.01176084735402365,0.0005311099016365317,0.01176084735402365,50,,0,0,1000,1965599707,0.0
34,0.523,0.008920329282972598,0.00522370067851186,0.008920329282972598,50,,0,0,1000,121509168,0.0
35,0.597,0.0060501539954560405,0.02926689368328674,0.0060501539954560405,50,,0,0,1000,1546692160,0.0
36,0.307,0.023625947546014815,0.06419450197655736,0.023625947546014815,50,,0,0,1000,1779326814,0.0
37,0.24,0.028453854269944612,0.0003190704469335274,0.028453854269944612,50,,0,0,1000,263613230,0.0
38,0.499,0.009296687820397392,0.04322724382063564,0.009296687820397392,50,,0,0,1000,575081790,0.0
39,0.886,0.00039506432582595176,0.02228767088318281,0.00039506432582595176,50,,0,0,1000,1952795859,0.0
40,0.122,0.0452973581182416,0.0289680921988486,0.0452973581182416,50,,0,0,1000,1317866667,0.0
41,0.412,0.012743670614681344,0.009348345978954698,0.012743670614681344,50,,0,0,1000,1531761554,0.0
42,0.948,8.500248026656158e-05,0.00018223547088070356,8.500248026656158e-05,50,,0,0,1000,673934066,0.0
43,0.384,0.013806386830202669,0.06289862583083713,0.013806386830202669,50,,0,0,1000,758712243,0.0
44,0.514,0.008164004088566946,0.05696497655297081,0.008164004088566946,50,,0,0,1000,916824962,0.0
45,0.71,0.002792032406335347,0.002700157655436967,0.002792032406335347,50,,0,0,1000,475381739,0.0
46,0.074,0.05958607634375255,0.038622554133294615,0.05958607634375255,50,,0,0,1000,2017410956,0.0
47,0.726,0.0024183864242493655,5.833317357629341e-05,0.0024183864242493655,50,,0,0,1000,1962968207,0.0
48,0.611,0.005520571545342366,0.0007331800929529929,0.005520571545342366,50,,0,0,1000,1516260517,0.0
49,0.082,0.06494812686261187,0.048540675874998544,0.06494812686261187,50,,0,0,1000,1751674605,0.0
50,0.597,0.007557899213981941,0.0015635539533419454,0.007557899213981941,50,,0,0,1000,275394254,0.0
51,0.691,0.003016186672596482,0.016008456699183448,0.003016186672596482,50,,0,0,1000,730817417,0.0
52,0.026,0.09176350156144743,0.0055451358800322524,0.09176350156144743,50,,0,0,1000,1547586068,0.0
53,0.953,5.917246146650175e-05,0.014889810530722329,5.917246146650175e-05,50,,0,0,1000,2067636100,0.0
54,0.723,0.002690149569687759,0.011104292033531173,0.002690149569687759,50,,0,0,1000,632632655,0.0
55,0.166,0.037392714908066754,0.0006392012648566678,0.037392714908066754,50,,0,0,1000,1468421546,0.0
56,0.077,0.0638054772587595,0.01414466917187084,0.0638054772587595,50,,0,0,1000,1005374725,0.0
57,0.545,0.00751753923836909,0.008841685547525182,0.00751753923836909,50,,0,0,1000,78165742,0.0
58,0.968,2.9604020501852802e-05,0.020364830576960296,2.9604020501852802e-05,50,,0,0,1000,1080121834,0.0
59,0.53,0.009728177698663819,0.03770767831764538,0.009728177698663819,50,,0,0,1000,826541444,0.0
60,0.895,0.0004729476486799004,0.014815518867910679,0.0004729476486799004,50,,0,0,1000,215117809,0.0
61,0.032,0.08721544337800813,0.04668490956746776,0.08721544337800813,50,,0,0,1000,305128647,0.0
62,0.952,0.00010338791446595003,0.003095503259933676,0.00010338791446595003,50,,0,0,1000,631354571,0.0
63,0.011,0.12920444088144847,0.013279294902839,0.12920444088144847,50,,0,0,1000,760648162,0.0
64,0.974,1.9530967367212797e-05,0.008595463036435713,1.9530967367212797e-05,50,,0,0,1000,553576721,0.0
