,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.519,0.007913262910254916,0.031285979773340786,0.007913262910254916,50,,0,0,1000,1019282514,0.0
1,0.469,0.010986477424625173,0.016171725464559132,0.010986477424625173,50,,0,0,1000,1679872250,0.0
2,0.448,0.009598313652081867,0.0010810064230423952,0.009598313652081867,50,,0,0,1000,1837932928,0.0
3,0.448,0.012251384382540677,0.10181703834367192,0.012251384382540677,50,,0,0,1000,1442006727,0.0
4,0.104,0.055012254307957316,0.0068250035844844995,0.055012254307957316,50,,0,0,1000,221822463,0.0
5,0.822,0.0010118457735284196,0.0012265779573504912,0.0010118457735284196,50,,0,0,1000,509771608,0.0
6,0.396,0.016680157118053224,0.006576160928768099,0.016680157118053224,50,,0,0,1000,1530295774,0.0
7,0.58,0.005528201995019812,0.05156754925436959,0.005528201995019812,50,,0,0,1000,385390263,0.0
8,0.137,0.042606628462017036,0.0116318714644018,0.042606628462017036,50,,0,0,1000,1825954996,0.0
9,0.231,0.030067456601866507,0.01819724128480406,0.030067456601866507,50,,0,0,1000,744368653,0.0
10,0.567,0.006349197310473795,0.0035154757027445827,0.006349197310473795,50,,0,0,1000,62625325,0.0
11,0.538,0.008542956193598126,0.01445985416075803,0.008542956193598126,50,,0,0,1000,326653715,0.0
12,0.788,0.0016665473752981194,0.029468591825567828,0.0016665473752981194,50,,0,0,1000,283920944,0.0
13,0.276,0.023990267663185554,0.04762656771690853,0.023990267663185554,50,,0,0,1000,668789807,0.0
14,0.447,0.012978281253395072,0.04377412699545602,0.012978281253395072,50,,0,0,1000,2027587152,0.0
15,0.331,0.019427396535194572,0.004985065420615472,0.019427396535194572,50,,0,0,1000,513262592,0.0
16,0.476,0.010141587977697524,0.06663596383706213,0.010141587977697524,50,,0,0,1000,1975749735,0.0
17,0.378,0.016758065467898903,0.005676328355571167,0.016758065467898903,50,,0,0,1000,1167280423,0.0
18,0.395,0.01428809433659483,0.0024341033974024963,0.01428809433659483,50,,0,0,1000,2007660583,0.0
19,0.362,0.015991971316728602,0.013372923207080367,0.015991971316728602,50,,0,0,1000,1970764024,0.0
20,0.902,0.00033541755545464465,0.0026291177089675555,0.00033541755545464465,50,,0,0,1000,63871913,0.0
21,0.976,2.2572565271440777e-05,0.0009197457126672788,2.2572565271440777e-05,50,,0,0,1000,954051228,0.0
22,0.434,0.012550029087949102,0.01563097894764895,0.012550029087949102,50,,0,0,1000,1156649634,0.0
23,0.918,0.00024398151161298076,0.04565918913945871,0.00024398151161298076,50,,0,0,1000,1632697641,0.0
24,0.461,0.010799619795287495,0.005353576875159352,0.010799619795287495,50,,0,0,1000,1572200133,0.0
25,0.731,0.002808400198711601,0.018560094555708,0.002808400198711601,50,,0,0,1000,1235406039,0.0
26,0.361,0.01794149400684084,0.0316133311439093,0.01794149400684084,50,,0,0,1000,1407710297,0.0
27,0.26,0.025437420743479242,0.002886831334899229,0.025437420743479242,50,,0,0,1000,1099262776,0.0
28,0.706,0.003207269384067691,0.020326717615318485,0.003207269384067691,50,,0,0,1000,92382466,0.0
29,0.272,0.02478786892457783,0.001614253600445991,0.02478786892457783,50,,0,0,1000,1411240924,0.0
30,0.01,0.12388641088922372,0.03033037273709242,0.12388641088922372,50,,0,0,1000,1772108105,0.0
31,0.856,0.0007922690531326485,0.010240333513547256,0.0007922690531326485,50,,0,0,1000,2033087279,0.0
32,0.01,0.13850516954315034,0.0005293231550783014,0.13850516954315034,50,,0,0,1000,954521694,0.0
33,0.509,0.009479012956259204,0.0013345313738614753,0.009479012956259204,50,,0,0,1000,1965599707,0.0
