,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.19,0.03382332568210015,0.018327351929949883,0.03382332568210015,50,,0,0,1000,1019282514,0.0
1,0.319,0.018785096495117302,0.00735286140792624,0.018785096495117302,50,,0,0,1000,1679872250,0.0
2,0.192,0.034227274073709985,0.010725777748956031,0.034227274073709985,50,,0,0,1000,1837932928,0.0
3,0.225,0.034390221816623635,0.0590595455886834,0.034390221816623635,50,,0,0,1000,1442006727,0.0
4,0.16,0.03979900032771888,0.0007675659182708073,0.03979900032771888,50,,0,0,1000,221822463,0.0
5,0.968,1.8135452677693055e-05,0.000784559775792117,1.8135452677693055e-05,50,,0,0,1000,509771608,0.0
6,0.391,0.01659831762774594,0.00939449606845726,0.01659831762774594,50,,0,0,1000,1530295774,0.0
7,0.966,2.862758555303081e-05,0.06717726522796345,2.862758555303081e-05,50,,0,0,1000,385390263,0.0
8,0.151,0.042629046886471525,0.004060997101660605,0.042629046886471525,50,,0,0,1000,1825954996,0.0
9,0.435,0.010865082469077811,0.005377372176717828,0.010865082469077811,50,,0,0,1000,744368653,0.0
10,0.884,0.0005005859750930638,0.00023888995509499446,0.0005005859750930638,50,,0,0,1000,62625325,0.0
11,0.383,0.015847402152235943,0.01792139021793403,0.015847402152235943,50,,0,0,1000,326653715,0.0
12,0.812,0.0012883177062840328,0.01996422164703784,0.0012883177062840328,50,,0,0,1000,283920944,0.0
13,0.285,0.02700610529730341,0.07193023118209058,0.02700610529730341,50,,0,0,1000,668789807,0.0
14,0.267,0.027392455247411233,0.03754187155439784,0.027392455247411233,50,,0,0,1000,2027587152,0.0
15,0.21,0.02703128240103154,0.00033162326576982874,0.02703128240103154,50,,0,0,1000,513262592,0.0
16,0.144,0.0453896451279108,0.03614216578380076,0.0453896451279108,50,,0,0,1000,1975749735,0.0
17,0.24,0.028978488865829405,0.010640611394769484,0.028978488865829405,50,,0,0,1000,1167280423,0.0
18,0.471,0.010000510043523753,0.005990781033802806,0.010000510043523753,50,,0,0,1000,2007660583,0.0
19,0.411,0.012555276575888306,0.00737861539609896,0.012555276575888306,50,,0,0,1000,1970764024,0.0
20,0.862,0.000727123759534809,0.004023302397053676,0.000727123759534809,50,,0,0,1000,63871913,0.0
21,0.785,0.001468229949827788,0.0012717633004555487,0.001468229949827788,50,,0,0,1000,954051228,0.0
22,0.363,0.015508074120234788,0.0003613898517410776,0.015508074120234788,50,,0,0,1000,1156649634,0.0
23,0.715,0.0026551422955509527,0.0027837769567377814,0.0026551422955509527,50,,0,0,1000,1632697641,0.0
24,0.919,0.00018353404835965025,0.0019648941347895246,0.00018353404835965025,50,,0,0,1000,1572200133,0.0
25,0.934,0.00016671125011625667,0.036565161506812,0.00016671125011625667,50,,0,0,1000,1235406039,0.0
26,0.584,0.006602835515274732,0.03312651027753483,0.006602835515274732,50,,0,0,1000,1407710297,0.0
