,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.223,0.030167716642645507,0.030167716642645507,1.736455424231732e-07,50,0,0,0,1000,1019282514
1,0.296,0.022420536828675203,0.022420536828675203,0.006948408451159366,50,0,0,0,1000,1679872250
2,0.337,0.021314074230359654,0.021314074230359654,2.4027410339483108e-05,50,0,0,0,1000,1837932928
3,0.048,0.08742287956582522,0.08742287956582522,0.0026124107932749365,50,0,0,0,1000,1442006727
4,0.287,0.02277923783384098,0.02277923783384098,0.045633583466980335,50,0,0,0,1000,221822463
5,0.825,0.0011937520930743436,0.0011937520930743436,1.0488331390580616e-05,50,0,0,0,1000,509771608
6,0.85,0.0007414091335071819,0.0007414091335071819,0.0036137005813545917,50,0,0,0,1000,1530295774
7,0.32,0.020628716529496466,0.020628716529496466,0.008419417945211071,50,0,0,0,1000,385390263
8,0.398,0.011831564252010499,0.011831564252010499,0.025433980106765973,50,0,0,0,1000,1825954996
9,0.309,0.01578833708972574,0.01578833708972574,0.03115045374803753,50,0,0,0,1000,744368653
10,0.474,0.010313492570439172,0.010313492570439172,0.006034101451458049,50,0,0,0,1000,62625325
11,0.404,0.01409288415700442,0.01409288415700442,0.011332339772620072,50,0,0,0,1000,326653715
12,0.237,0.02600494410509056,0.02600494410509056,5.0176711838011335e-05,50,0,0,0,1000,283920944
13,0.356,0.018829583105844677,0.018829583105844677,0.01601050098501142,50,0,0,0,1000,668789807
14,0.119,0.04636770494034781,0.04636770494034781,0.0026328321648208908,50,0,0,0,1000,2027587152
15,0.382,0.0154565252599878,0.0154565252599878,0.017543256049029322,50,0,0,0,1000,513262592
16,0.07,0.05727854666765676,0.05727854666765676,7.863045683813889e-05,50,0,0,0,1000,1975749735
17,0.635,0.004602097639978524,0.004602097639978524,0.011029125324711274,50,0,0,0,1000,1167280423
18,0.836,0.001129676862171664,0.001129676862171664,0.010367597248629862,50,0,0,0,1000,2007660583
19,0.339,0.02040404772560658,0.02040404772560658,0.01900770426805881,50,0,0,0,1000,1970764024
20,0.759,0.0018546582902288918,0.0018546582902288918,0.000535339503992763,50,0,0,0,1000,63871913
21,0.921,0.00019735833488139038,0.00019735833488139038,0.0004134508242336995,50,0,0,0,1000,954051228
22,0.185,0.03389729722538157,0.03389729722538157,0.012772987168826494,50,0,0,0,1000,1156649634
23,0.001,0.13026598448996904,0.13026598448996904,0.0060502990006874304,50,0,0,0,1000,1632697641
24,0.567,0.008292126356353242,0.008292126356353242,0.08340386883181311,50,0,0,0,1000,1572200133
25,0.672,0.0036751453781936013,0.0036751453781936013,0.0054935003586527335,50,0,0,0,1000,1235406039
26,0.223,0.025578441553317437,0.025578441553317437,0.024175460998412918,50,0,0,0,1000,1407710297
27,0.822,0.0008556205808586398,0.0008556205808586398,0.016146841571947224,50,0,0,0,1000,1099262776
28,0.222,0.031013277494976885,0.031013277494976885,0.008170748097230243,50,0,0,0,1000,92382466
29,0.828,0.001061182848087713,0.001061182848087713,0.031221732050318123,50,0,0,0,1000,1411240924
30,0.42,0.019416083122594345,0.019416083122594345,0.13012011681766833,50,0,0,0,1000,1772108105
31,0.477,0.00886685211760567,0.00886685211760567,0.00044247728573305233,50,0,0,0,1000,2033087279
32,0.824,0.0011343128308893475,0.0011343128308893475,0.23335035564128323,50,0,0,0,1000,954521694
33,0.963,7.409835789568036e-05,7.409835789568036e-05,0.01630255789798147,50,0,0,0,1000,1965599707
34,0.646,0.003923782295939899,0.003923782295939899,0.009831569916108755,50,0,0,0,1000,121509168
35,0.355,0.01923621620707885,0.01923621620707885,0.002671078663511345,50,0,0,0,1000,1546692160
36,0.075,0.06363979203251773,0.06363979203251773,0.012573241234137745,50,0,0,0,1000,1779326814
37,0.925,0.00019421172577268044,0.00019421172577268044,0.027573871348247524,50,0,0,0,1000,263613230
38,0.122,0.04493267966034796,0.04493267966034796,0.011225278151283822,50,0,0,0,1000,575081790
39,0.224,0.02919406093191253,0.02919406093191253,1.9493619775232867e-06,50,0,0,0,1000,1952795859
40,0.33,0.019627355176812643,0.019627355176812643,0.03533759155586087,50,0,0,0,1000,1317866667
41,0.458,0.012538154528684902,0.012538154528684902,0.011080252179522817,50,0,0,0,1000,1531761554
42,0.877,0.0004988117565732097,0.0004988117565732097,7.363079916234285e-05,50,0,0,0,1000,673934066
43,0.105,0.04863929708752624,0.04863929708752624,0.011413444710508806,50,0,0,0,1000,758712243
44,0.104,0.04573954842935132,0.04573954842935132,0.0014133704370548033,50,0,0,0,1000,916824962
45,0.698,0.003369585752691562,0.003369585752691562,0.0027196279816975536,50,0,0,0,1000,475381739
46,0.209,0.029681120536627217,0.029681120536627217,0.05799012830167478,50,0,0,0,1000,2017410956
47,0.623,0.004175373294672798,0.004175373294672798,4.947884706887631e-06,50,0,0,0,1000,1962968207
48,0.843,0.0011669341571571951,0.0011669341571571951,0.0019042582036242705,50,0,0,0,1000,1516260517
49,0.162,0.04620708675475924,0.04620708675475924,0.05809548067354243,50,0,0,0,1000,1751674605
50,0.614,0.005148361826791879,0.005148361826791879,0.012827349053301662,50,0,0,0,1000,275394254
51,0.331,0.01153329345291053,0.01153329345291053,0.0024915534670928263,50,0,0,0,1000,730817417
52,0.499,0.010805167649912588,0.010805167649912588,0.1164199133469194,50,0,0,0,1000,1547586068
53,0.365,0.014632047735358889,0.014632047735358889,0.0005182073940400559,50,0,0,0,1000,2067636100
54,0.439,0.01209122840204752,0.01209122840204752,0.003518005457607071,50,0,0,0,1000,632632655
55,0.955,6.937443335170728e-05,6.937443335170728e-05,0.020184029059204345,50,0,0,0,1000,1468421546
56,0.341,0.018739029227870553,0.018739029227870553,0.053889159253487605,50,0,0,0,1000,1005374725
57,0.789,0.0015204690377080535,0.0015204690377080535,0.008922688726698682,50,0,0,0,1000,78165742
58,0.352,0.012855737275809713,0.012855737275809713,4.087052706652751e-05,50,0,0,0,1000,1080121834
59,0.254,0.028178844789869966,0.028178844789869966,0.01548657422340469,50,0,0,0,1000,826541444
60,0.402,0.010598334333377226,0.010598334333377226,0.0034134107378301793,50,0,0,0,1000,215117809
61,0.117,0.04920281753210447,0.04920281753210447,0.06941519057496097,50,0,0,0,1000,305128647
62,0.991,3.438948089369536e-06,3.438948089369536e-06,0.0001089562770733123,50,0,0,0,1000,631354571
63,0.417,0.019614285351721862,0.019614285351721862,0.19007779919480128,50,0,0,0,1000,760648162
64,0.377,0.017602034754052483,0.017602034754052483,0.0022954334909782515,50,0,0,0,1000,553576721
65,0.273,0.022065783054440808,0.022065783054440808,0.044711281576382045,50,0,0,0,1000,2078160693
66,0.031,0.053079876380227126,0.053079876380227126,0.1725401019794265,50,0,0,0,1000,2019846921
67,0.747,0.002202845553230601,0.002202845553230601,0.014180339020457854,50,0,0,0,1000,1279013547
68,0.173,0.03715480916223214,0.03715480916223214,0.0018445472825972262,50,0,0,0,1000,1134490754
69,0.535,0.008467766600579752,0.008467766600579752,0.04264104628648039,50,0,0,0,1000,849951427
70,0.168,0.03897795813904197,0.03897795813904197,0.03834179546541902,50,0,0,0,1000,1243751187
71,0.719,0.002141225643088805,0.002141225643088805,0.022343226251008964,50,0,0,0,1000,394876318
72,0.835,0.0008542626688028787,0.0008542626688028787,0.019488893912139735,50,0,0,0,1000,1285457632
73,0.732,0.0026368513274710194,0.0026368513274710194,0.04124612357412452,50,0,0,0,1000,595765758
74,0.974,1.1919401512119451e-05,1.1919401512119451e-05,0.0002903376800706831,50,0,0,0,1000,1201503691
75,0.712,0.0027298075923900063,0.0027298075923900063,0.028625960923593027,50,0,0,0,1000,1542418348
76,0.43,0.012640538764428565,0.012640538764428565,0.0003150870018288877,50,0,0,0,1000,244592230
77,0.478,0.011377146154463542,0.011377146154463542,0.07091787437909727,50,0,0,0,1000,1969263265
78,0.298,0.021214255565892546,0.021214255565892546,0.002375766810904528,50,0,0,0,1000,1096437208
79,0.316,0.014078783627338881,0.014078783627338881,0.0005710782090448062,50,0,0,0,1000,908217484
80,0.134,0.04601338327988493,0.04601338327988493,0.02246755506242739,50,0,0,0,1000,152089541
81,0.71,0.0023107372161952616,0.0023107372161952616,0.002941802007726405,50,0,0,0,1000,394114712
82,0.657,0.003775431108866655,0.003775431108866655,0.01206440559049249,50,0,0,0,1000,941097907
83,0.432,0.011766290323177058,0.011766290323177058,0.012887183235745144,50,0,0,0,1000,1075348184
84,0.32,0.020075217113933834,0.020075217113933834,9.69632195305049e-05,50,0,0,0,1000,501147184
85,0.72,0.0032132399980581115,0.0032132399980581115,0.01313257634678947,50,0,0,0,1000,1768542267
86,0.335,0.01844658240985154,0.01844658240985154,0.0007875003052351976,50,0,0,0,1000,613563948
87,0.39,0.014501828847710544,0.014501828847710544,0.0018623869440981028,50,0,0,0,1000,780420734
88,0.669,0.003963528502802728,0.003963528502802728,0.005651172021816729,50,0,0,0,1000,1530635368
89,0.666,0.004197437860643781,0.004197437860643781,0.029301546954948715,50,0,0,0,1000,1049747644
90,0.168,0.03776358078909962,0.03776358078909962,0.020587767122997935,50,0,0,0,1000,2133868785
91,0.287,0.02392934965493631,0.02392934965493631,0.0487317490165845,50,0,0,0,1000,1227640767
92,0.176,0.03442619949818118,0.03442619949818118,0.010102678379338065,50,0,0,0,1000,1400720309
93,0.144,0.04568609083802616,0.04568609083802616,0.0007376291512224597,50,0,0,0,1000,1875327350
94,0.971,2.601389693556368e-05,2.601389693556368e-05,0.0003613256734777717,50,0,0,0,1000,998633014
95,0.592,0.005863575159028012,0.005863575159028012,0.021981176464557328,50,0,0,0,1000,1495616662
96,0.901,0.00038228965677462856,0.00038228965677462856,0.012723427162170106,50,0,0,0,1000,2077593581
97,0.899,0.0005065801504122421,0.0005065801504122421,0.012217384330205883,50,0,0,0,1000,1777051770
98,0.913,0.00030917062171027625,0.00030917062171027625,0.04596290841977929,50,0,0,0,1000,1966510930
99,0.969,3.118076855477752e-05,3.118076855477752e-05,0.019180826729001264,50,0,0,0,1000,504192306
100,0.899,0.00016381895719526474,0.00016381895719526474,0.0005580435451794899,100,0,0,0,1000,1604458567
101,0.905,0.00022495917935510835,0.00022495917935510835,0.01996868054602985,100,0,0,0,1000,774880851
102,0.625,0.002243364339207226,0.002243364339207226,0.0011834916934605206,100,0,0,0,1000,227552889
103,0.777,0.0009038345712463371,0.0009038345712463371,0.0008717008461057034,100,0,0,0,1000,16906905
104,0.334,0.008551614278364436,0.008551614278364436,0.002596149876231265,100,0,0,0,1000,55384970
105,0.488,0.004281765575714775,0.004281765575714775,0.02826611021883087,100,0,0,0,1000,2132110259
106,0.8,0.0006780794861011232,0.0006780794861011232,0.0019069503180566129,100,0,0,0,1000,216666703
107,0.439,0.00563789656799632,0.00563789656799632,0.004357288532792868,100,0,0,0,1000,296224385
108,0.014,0.06156551179842528,0.06156551179842528,0.005135865758697743,100,0,0,0,1000,1619298557
109,0.129,0.01797783889565083,0.01797783889565083,0.002832817948899389,100,0,0,0,1000,1541312302
110,0.246,0.013948836052260005,0.013948836052260005,0.003658486259028123,100,0,0,0,1000,62559325
111,0.228,0.019028584855793118,0.019028584855793118,0.03288757083050199,100,0,0,0,1000,1681594616
112,0.613,0.0025114093835720834,0.0025114093835720834,0.004301827294643074,100,0,0,0,1000,358777621
113,0.109,0.02570791441751729,0.02570791441751729,0.0025128918499769796,100,0,0,0,1000,1754616452
114,0.712,0.0014816830401795213,0.0014816830401795213,9.523924531049855e-06,100,0,0,0,1000,46788485
115,0.482,0.005202201888871125,0.005202201888871125,0.012346477644164742,100,0,0,0,1000,510160670
116,0.914,9.393686899686476e-05,9.393686899686476e-05,0.006319576622747219,100,0,0,0,1000,454673985
117,0.122,0.020415975644244664,0.020415975644244664,0.009865115719294418,100,0,0,0,1000,636524282
118,0.347,0.008790835137278104,0.008790835137278104,0.000623833298976583,100,0,0,0,1000,291875639
119,0.965,1.386021073688475e-05,1.386021073688475e-05,0.01598598636762246,100,0,0,0,1000,1384953418
120,0.649,0.0020385825977101402,0.0020385825977101402,0.022611422390146386,100,0,0,0,1000,470824762
121,0.68,0.0021398399172841845,0.0021398399172841845,0.02366303443781188,100,0,0,0,1000,528486959
122,0.606,0.0028449883268246343,0.0028449883268246343,0.06740105139940657,100,0,0,0,1000,185433238
123,0.042,0.038233609010369776,0.038233609010369776,0.02019752779958831,100,0,0,0,1000,1530812528
124,0.967,2.2043503126329477e-05,2.2043503126329477e-05,7.463572164722601e-06,100,0,0,0,1000,647861397
125,0.325,0.009176685444445458,0.009176685444445458,0.0002800242690098525,100,0,0,0,1000,563383994
126,0.525,0.0038381407335962296,0.0038381407335962296,0.002129238697733559,100,0,0,0,1000,1179513918
127,0.434,0.005543943802157688,0.005543943802157688,0.023361904164367054,100,0,0,0,1000,781409813
128,0.065,0.029591940841997504,0.029591940841997504,0.0003214365433389448,100,0,0,0,1000,244280760
129,0.418,0.006449038857187715,0.006449038857187715,0.004960700515721765,100,0,0,0,1000,1149967382
130,0.759,0.0008198450022714655,0.0008198450022714655,0.0008447740401652873,100,0,0,0,1000,1027204489
131,0.958,1.7802720468052446e-05,1.7802720468052446e-05,0.011676016651914175,100,0,0,0,1000,1858402418
132,0.466,0.005716265140139987,0.005716265140139987,0.02334418370018008,100,0,0,0,1000,1713922561
133,0.333,0.011177643768802694,0.011177643768802694,0.05581783697954652,100,0,0,0,1000,1192757155
134,0.463,0.005466072396264109,0.005466072396264109,0.00047319957282069305,100,0,0,0,1000,1524823068
135,0.112,0.022753872295558256,0.022753872295558256,2.954948220068387e-05,100,0,0,0,1000,1513983115
136,0.659,0.002198035185154655,0.002198035185154655,0.0021319274210582616,100,0,0,0,1000,28269538
137,0.686,0.0017256429395355367,0.0017256429395355367,0.006313596000219421,100,0,0,0,1000,1996779031
138,0.254,0.013475244870286831,0.013475244870286831,0.014942327011981612,100,0,0,0,1000,2063599293
139,0.507,0.004377086631870738,0.004377086631870738,0.003462186730855706,100,0,0,0,1000,1990083466
140,0.892,0.00013652126838215853,0.00013652126838215853,0.0006630928327728446,100,0,0,0,1000,661943137
141,0.762,0.0007803931748344903,0.0007803931748344903,0.0013820004412675821,100,0,0,0,1000,1403562992
142,0.592,0.003318480850015726,0.003318480850015726,0.021325339019229356,100,0,0,0,1000,363122471
143,0.002,0.13240255304930074,0.13240255304930074,3.0205957552138265e-05,100,0,0,0,1000,491222027
144,0.833,0.0004787810332469811,0.0004787810332469811,0.017663530511305807,100,0,0,0,1000,432298836
145,0.172,0.019812017790898962,0.019812017790898962,0.0006614883259179032,100,0,0,0,1000,1304709030
146,0.587,0.0029067170648445465,0.0029067170648445465,0.0002839729792748077,100,0,0,0,1000,1467770045
147,0.151,0.02145675846355588,0.02145675846355588,0.023409233505263857,100,0,0,0,1000,1549830519
148,0.487,0.004432088828888237,0.004432088828888237,0.029829320676401185,100,0,0,0,1000,1514058593
149,0.523,0.0038201183265063787,0.0038201183265063787,0.000742604955429381,100,0,0,0,1000,987229037
150,0.829,0.0006755480883745637,0.0006755480883745637,0.002537716844941393,100,0,0,0,1000,432725415
