,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.546,0.006877966318758047,0.006877966318758047,0.0008555830759779213,50,0,0,0,1000,1019282514
1,0.472,0.00926581044302734,0.00926581044302734,2.5422899833389107e-05,50,0,0,0,1000,1679872250
2,0.625,0.00454369286965393,0.00454369286965393,8.481252510518117e-05,50,0,0,0,1000,1837932928
3,0.059,0.0736595766392191,0.0736595766392191,0.032059635461366115,50,0,0,0,1000,1442006727
4,0.701,0.0027813307248163413,0.0027813307248163413,0.08534830884699068,50,0,0,0,1000,221822463
5,0.988,3.028779063236521e-06,3.028779063236521e-06,0.0032077938392403808,50,0,0,0,1000,509771608
6,0.755,0.0019097147789682559,0.0019097147789682559,0.017667101257871326,50,0,0,0,1000,1530295774
7,0.191,0.033951487611782266,0.033951487611782266,0.016738857575199183,50,0,0,0,1000,385390263
8,0.579,0.006124340898231451,0.006124340898231451,0.07277615900188696,50,0,0,0,1000,1825954996
9,1.0,6.445533475867662e-09,6.445533475867662e-09,0.021530628882075416,50,0,0,0,1000,744368653
10,0.362,0.016630493372430093,0.016630493372430093,0.00033116021429042107,50,0,0,0,1000,62625325
11,0.545,0.008614739839377428,0.008614739839377428,0.0006474607619863232,50,0,0,0,1000,326653715
12,0.162,0.03791328540250517,0.03791328540250517,0.000507953516143778,50,0,0,0,1000,283920944
13,0.205,0.03367071455968684,0.03367071455968684,0.03665876439688368,50,0,0,0,1000,668789807
14,0.061,0.0783021061622523,0.0783021061622523,7.252147246109212e-05,50,0,0,0,1000,2027587152
15,0.97,3.1286694535073264e-05,3.1286694535073264e-05,0.039286034997467884,50,0,0,0,1000,513262592
16,0.281,0.02460125974425461,0.02460125974425461,0.000752936792742549,50,0,0,0,1000,1975749735
17,0.165,0.03773439141952185,0.03773439141952185,0.0178380730274308,50,0,0,0,1000,1167280423
18,0.655,0.004517728102896099,0.004517728102896099,0.002009178398364027,50,0,0,0,1000,2007660583
