,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.556,0.007913262910254916,0.03189279273199208,0.007913262910254916,50,,0,0,1000,1019282514,0.0
1,0.48,0.010986477424625173,0.0009741549387564108,0.010986477424625173,50,,0,0,1000,1679872250,0.0
2,0.504,0.009598313652081867,0.001842297768457346,0.009598313652081867,50,,0,0,1000,1837932928,0.0
3,0.443,0.012251384382540677,0.0022952239393748686,0.012251384382540677,50,,0,0,1000,1442006727,0.0
4,0.111,0.055012254307957316,0.011048859083173435,0.055012254307957316,50,,0,0,1000,221822463,0.0
5,0.825,0.0010118457735284196,0.0060385601641819164,0.0010118457735284196,50,,0,0,1000,509771608,0.0
6,0.347,0.016680157118053224,0.008970459559532462,0.016680157118053224,50,,0,0,1000,1530295774,0.0
7,0.565,0.005528201995019812,0.0002536622073152639,0.005528201995019812,50,,0,0,1000,385390263,0.0
8,0.141,0.042606628462017036,9.172969010395882e-05,0.042606628462017036,50,,0,0,1000,1825954996,0.0
9,0.207,0.030067456601866507,0.00021503568283154362,0.030067456601866507,50,,0,0,1000,744368653,0.0
10,0.563,0.006349197310473795,0.007216361396728543,0.006349197310473795,50,,0,0,1000,62625325,0.0
11,0.53,0.008542956193598126,0.007659643932626858,0.008542956193598126,50,,0,0,1000,326653715,0.0
12,0.773,0.0016665473752981194,0.03022125635607187,0.0016665473752981194,50,,0,0,1000,283920944,0.0
13,0.278,0.023990267663185554,0.04786381068208423,0.023990267663185554,50,,0,0,1000,668789807,0.0
14,0.448,0.012978281253395072,0.08796155070072309,0.012978281253395072,50,,0,0,1000,2027587152,0.0
15,0.434,0.019427396535194572,0.06390135178341694,0.019427396535194572,50,,0,0,1000,513262592,0.0
16,0.498,0.010141587977697524,0.006004981066701998,0.010141587977697524,50,,0,0,1000,1975749735,0.0
17,0.371,0.016758065467898903,0.09627228819237099,0.016758065467898903,50,,0,0,1000,1167280423,0.0
18,0.419,0.01428809433659483,0.0047730371341158095,0.01428809433659483,50,,0,0,1000,2007660583,0.0
19,0.407,0.015991971316728602,0.018618692077680854,0.015991971316728602,50,,0,0,1000,1970764024,0.0
20,0.915,0.00033541755545464465,0.01859779681747531,0.00033541755545464465,50,,0,0,1000,63871913,0.0
21,0.978,2.2572565271440777e-05,0.0007155012912889447,2.2572565271440777e-05,50,,0,0,1000,954051228,0.0
22,0.449,0.012550029087949102,7.212920506405318e-05,0.012550029087949102,50,,0,0,1000,1156649634,0.0
23,0.905,0.00024398151161298076,0.006447852240329288,0.00024398151161298076,50,,0,0,1000,1632697641,0.0
24,0.486,0.010799619795287495,0.002492359667376487,0.010799619795287495,50,,0,0,1000,1572200133,0.0
25,0.731,0.002808400198711601,0.0028647953536506954,0.002808400198711601,50,,0,0,1000,1235406039,0.0
26,0.319,0.01794149400684084,0.008018604940786767,0.01794149400684084,50,,0,0,1000,1407710297,0.0
27,0.397,0.025437420743479242,0.08384284928429708,0.025437420743479242,50,,0,0,1000,1099262776,0.0
28,0.684,0.003207269384067691,0.00814858890283654,0.003207269384067691,50,,0,0,1000,92382466,0.0
