,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.833,0.0008555830759779213,0.003186855317383608,0.0008555830759779213,50,,0,0,1000,1019282514,0.0
1,0.968,2.5422899833389107e-05,0.015013762614187076,2.5422899833389107e-05,50,,0,0,1000,1679872250,0.0
2,0.949,8.481252510518117e-05,0.0018312910562765516,8.481252510518117e-05,50,,0,0,1000,1837932928,0.0
3,0.245,0.032059635461366115,0.10491637798683451,0.032059635461366115,50,,0,0,1000,1442006727,0.0
4,0.036,0.08534830884699068,0.003965462996891489,0.08534830884699068,50,,0,0,1000,221822463,0.0
5,0.699,0.0032077938392403808,0.011090568727085248,0.0032077938392403808,50,,0,0,1000,509771608,0.0
6,0.349,0.017667101257871326,0.009218827573674093,0.017667101257871326,50,,0,0,1000,1530295774,0.0
7,0.391,0.01673885757519919,0.08734728560006899,0.01673885757519919,50,,0,0,1000,385390263,0.0
8,0.05,0.07277615900188696,0.000589644422596014,0.07277615900188696,50,,0,0,1000,1825954996,0.0
9,0.291,0.021530628882075416,0.012148149508585893,0.021530628882075416,50,,0,0,1000,744368653,0.0
10,0.905,0.00033116021429042096,0.048439778466146666,0.00033116021429042096,50,,0,0,1000,62625325,0.0
11,0.855,0.000647460761986323,0.004321746203579835,0.000647460761986323,50,,0,0,1000,326653715,0.0
12,0.88,0.000507953516143778,0.03324884531191563,0.000507953516143778,50,,0,0,1000,283920944,0.0
13,0.176,0.036658764396883696,0.012960980918026777,0.036658764396883696,50,,0,0,1000,668789807,0.0
14,0.948,7.252147246109212e-05,0.013583063646526061,7.252147246109212e-05,50,,0,0,1000,2027587152,0.0
15,0.169,0.039286034997467884,0.00011185113693767956,0.039286034997467884,50,,0,0,1000,513262592,0.0
16,0.857,0.0007529367927425487,0.08811310606953171,0.0007529367927425487,50,,0,0,1000,1975749735,0.0
17,0.366,0.0178380730274308,0.00541113895328893,0.0178380730274308,50,,0,0,1000,1167280423,0.0
18,0.737,0.002009178398364028,0.011480889974035735,0.002009178398364028,50,,0,0,1000,2007660583,0.0
19,0.342,0.018744668851806163,0.001315939502429253,0.018744668851806163,50,,0,0,1000,1970764024,0.0
20,0.962,6.755786826570932e-05,0.0003007572776871914,6.755786826570932e-05,50,,0,0,1000,63871913,0.0
21,0.809,0.0013260969096584078,0.017199529745862918,0.0013260969096584078,50,,0,0,1000,954051228,0.0
22,0.361,0.01752154972683086,0.036378153454794115,0.01752154972683086,50,,0,0,1000,1156649634,0.0
23,0.992,3.1564639870617433e-06,1.5066652380602008e-05,3.1564639870617433e-06,50,,0,0,1000,1632697641,0.0
24,0.065,0.07038971936901856,0.017251402674410055,0.07038971936901856,50,,0,0,1000,1572200133,0.0
25,0.658,0.004107409058004523,0.007836105042260733,0.004107409058004523,50,,0,0,1000,1235406039,0.0
26,0.424,0.014777885978370138,0.031597344546692385,0.014777885978370138,50,,0,0,1000,1407710297,0.0
