,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.199,0.003871100332048738,0.016159142014839922,0.03382332568210015,50,,0,0,1000,1019282514,0.0
1,0.338,0.017929185279509707,0.01454594630399475,0.018785096495117302,50,,0,0,1000,1679872250,0.0
2,0.203,0.03306472799096738,0.04686138585927624,0.034227274073709985,50,,0,0,1000,1837932928,0.0
3,0.248,0.032316537886559416,0.11337405337728446,0.034390221816623635,50,,0,0,1000,1442006727,0.0
4,0.143,0.012477398719916266,0.0012968650993088193,0.03979900032771888,50,,0,0,1000,221822463,0.0
5,0.973,0.00969722548181784,0.049006153831043675,1.8135452677693055e-05,50,,0,0,1000,509771608,0.0
6,0.372,0.010518526395260297,0.0028193132688624223,0.01659831762774594,50,,0,0,1000,1530295774,0.0
7,0.967,0.009662210314752895,0.12499986100684901,2.862758555303081e-05,50,,0,0,1000,385390263,0.0
8,0.151,0.023808779059273255,0.012326602333588732,0.042629046886471525,50,,0,0,1000,1825954996,0.0
9,0.425,0.14333073078262049,0.00048449747449319513,0.010865082469077811,50,,0,0,1000,744368653,0.0
10,0.883,0.056488412703388224,0.0033358793471697235,0.0005005859750930638,50,,0,0,1000,62625325,0.0
11,0.351,0.006894697050965792,0.000827197328043705,0.015847402152235943,50,,0,0,1000,326653715,0.0
12,0.82,0.03232955518947178,0.010111973432826105,0.0012883177062840328,50,,0,0,1000,283920944,0.0
13,0.256,0.046681409687580944,0.029702787843282952,0.02700610529730341,50,,0,0,1000,668789807,0.0
14,0.239,0.0621141881256545,6.079961371141529e-06,0.027392455247411233,50,,0,0,1000,2027587152,0.0
15,0.249,0.014288134845811817,0.0016145152935113094,0.02703128240103154,50,,0,0,1000,513262592,0.0
16,0.14,0.012690372214435142,0.1037286230485911,0.0453896451279108,50,,0,0,1000,1975749735,0.0
17,0.233,0.03377513371778951,0.0031887011525951747,0.028978488865829405,50,,0,0,1000,1167280423,0.0
18,0.463,0.008250557468908681,0.000286453880880444,0.010000510043523753,50,,0,0,1000,2007660583,0.0
19,0.447,0.026717911054646493,0.0014017444073354257,0.012555276575888306,50,,0,0,1000,1970764024,0.0
20,0.862,3.922740217543463e-06,0.015559777529854824,0.000727123759534809,50,,0,0,1000,63871913,0.0
21,0.785,0.0021659357348938757,0.0006641304055593489,0.001468229949827788,50,,0,0,1000,954051228,0.0
22,0.391,0.002088328150873564,0.0038685380116055823,0.015508074120234788,50,,0,0,1000,1156649634,0.0
23,0.721,0.0022496310621876736,0.0354989450044213,0.0026551422955509527,50,,0,0,1000,1632697641,0.0
24,0.93,0.004431090703258422,0.0023171146140628096,0.00018353404835965025,50,,0,0,1000,1572200133,0.0
25,0.927,0.041286075787511645,0.038471851941454416,0.00016671125011625667,50,,0,0,1000,1235406039,0.0
26,0.572,0.049960080322873024,0.02406858394983047,0.006602835515274732,50,,0,0,1000,1407710297,0.0
27,0.218,0.005876215126953244,0.0008131412473693089,0.02904205709544708,50,,0,0,1000,1099262776,0.0
28,0.745,0.006493314186267751,0.017638300901419823,0.0024712349948181715,50,,0,0,1000,92382466,0.0
29,0.553,0.0004197777560970284,0.024081997130942057,0.00714940138680967,50,,0,0,1000,1411240924,0.0
30,0.02,0.0035079748674254896,0.0590318310391974,0.10771839116978627,50,,0,0,1000,1772108105,0.0
31,0.736,0.013598871937250512,0.011107308105207991,0.0023626801426214266,50,,0,0,1000,2033087279,0.0
32,0.063,0.07221381375266844,0.0023614371848679205,0.07603253954204038,50,,0,0,1000,954521694,0.0
33,0.71,0.007564404015439452,0.0011230701805827747,0.0033318658965337524,50,,0,0,1000,1965599707,0.0
34,0.38,0.018088110066834973,0.0029571000528205715,0.014706140945466992,50,,0,0,1000,121509168,0.0
35,0.714,0.02919853050930077,0.04262879836742117,0.0029360769879068255,50,,0,0,1000,1546692160,0.0
36,0.068,0.005017648435449051,2.6953787109373906e-05,0.06659584261074313,50,,0,0,1000,1779326814,0.0
37,0.388,0.05111143161561793,0.0017873411891268232,0.015394090606304256,50,,0,0,1000,263613230,0.0
38,0.559,0.043493713589015104,0.012934437373835594,0.007012605339103581,50,,0,0,1000,575081790,0.0
39,0.875,0.03455830976160956,0.0023410915291590673,0.00044528866939351095,50,,0,0,1000,1952795859,0.0
40,0.094,0.0023985911726007725,0.07772094310539357,0.05686429598046178,50,,0,0,1000,1317866667,0.0
41,0.696,0.0012242546601590742,0.006988711679534854,0.0035603830362969558,50,,0,0,1000,1531761554,0.0
42,0.898,0.00937721732691621,0.0018018765005562987,0.0003672666972359396,50,,0,0,1000,673934066,0.0
43,0.306,0.005969298686062108,0.03232818971059015,0.023106572303968023,50,,0,0,1000,758712243,0.0
44,0.446,0.005419768547515802,0.08073585509668546,0.013436348021644113,50,,0,0,1000,916824962,0.0
45,0.784,0.009918056947559317,0.00015088522011430516,0.001461648097259511,50,,0,0,1000,475381739,0.0
46,0.192,0.007443864006598466,0.006396462592366925,0.032985428516250845,50,,0,0,1000,2017410956,0.0
47,0.315,0.03729370610312677,0.03213718785248154,0.022815951045898557,50,,0,0,1000,1962968207,0.0
