,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.22,0.03189279273199208,0.03189279273199208,0.007913262910254916,50,0,0,0,1000,1019282514
1,0.84,0.0009741549387564108,0.0009741549387564108,0.01098647742462517,50,0,0,0,1000,1679872250
2,0.793,0.001842297768457346,0.001842297768457346,0.009598313652081868,50,0,0,0,1000,1837932928
3,0.781,0.0022952239393748686,0.0022952239393748686,0.012251384382540677,50,0,0,0,1000,1442006727
4,0.513,0.011048859083173435,0.011048859083173435,0.05501225430795733,50,0,0,0,1000,221822463
5,0.584,0.0060385601641819164,0.0060385601641819164,0.0010118457735284196,50,0,0,0,1000,509771608
6,0.485,0.008970459559532462,0.008970459559532462,0.016680157118053224,50,0,0,0,1000,1530295774
7,0.938,0.0002536622073152639,0.0002536622073152639,0.005528201995019812,50,0,0,0,1000,385390263
8,0.949,9.172969010395882e-05,9.172969010395882e-05,0.042606628462017036,50,0,0,0,1000,1825954996
9,0.92,0.00021503568283154362,0.00021503568283154362,0.030067456601866507,50,0,0,0,1000,744368653
10,0.575,0.007216361396728543,0.007216361396728543,0.0063491973104737925,50,0,0,0,1000,62625325
11,0.556,0.007659643932626858,0.007659643932626858,0.008542956193598126,50,0,0,0,1000,326653715
12,0.241,0.03022125635607187,0.03022125635607187,0.0016665473752981194,50,0,0,0,1000,283920944
13,0.117,0.04786381068208423,0.04786381068208423,0.023990267663185554,50,0,0,0,1000,668789807
14,0.037,0.08796155070072309,0.08796155070072309,0.012978281253395072,50,0,0,0,1000,2027587152
15,0.029,0.06390135178341694,0.06390135178341694,0.019427396535194572,50,0,0,0,1000,513262592
16,0.58,0.006004981066701998,0.006004981066701998,0.010141587977697528,50,0,0,0,1000,1975749735
17,0.03,0.09627228819237099,0.09627228819237099,0.016758065467898903,50,0,0,0,1000,1167280423
18,0.639,0.0047730371341158095,0.0047730371341158095,0.01428809433659483,50,0,0,0,1000,2007660583
19,0.324,0.018618692077680854,0.018618692077680854,0.015991971316728602,50,0,0,0,1000,1970764024
20,0.337,0.01859779681747531,0.01859779681747531,0.00033541755545464465,50,0,0,0,1000,63871913
21,0.863,0.0007155012912889447,0.0007155012912889447,2.2572565271440777e-05,50,0,0,0,1000,954051228
22,0.952,7.212920506405318e-05,7.212920506405318e-05,0.012550029087949102,50,0,0,0,1000,1156649634
23,0.58,0.006447852240329288,0.006447852240329288,0.00024398151161298076,50,0,0,0,1000,1632697641
24,0.71,0.002492359667376487,0.002492359667376487,0.010799619795287495,50,0,0,0,1000,1572200133
25,0.713,0.0028647953536506954,0.0028647953536506954,0.002808400198711601,50,0,0,0,1000,1235406039
26,0.505,0.008018604940786767,0.008018604940786767,0.01794149400684084,50,0,0,0,1000,1407710297
27,0.036,0.08384284928429708,0.08384284928429708,0.025437420743479253,50,0,0,0,1000,1099262776
28,0.507,0.00814858890283654,0.00814858890283654,0.0032072693840676904,50,0,0,0,1000,92382466
