,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.42,0.013715837733518588,0.013715837733518588,0.028735505313152738,50,0,0,0,1000,1019282514
1,0.329,0.01989636346344703,0.01989636346344703,0.020621531271257185,50,0,0,0,1000,1679872250
2,0.207,0.03425480490865174,0.03425480490865174,0.02809703317819021,50,0,0,0,1000,1837932928
3,0.038,0.0864452075107206,0.0864452075107206,0.03155570496678221,50,0,0,0,1000,1442006727
4,0.63,0.006896633298404509,0.006896633298404509,0.024578814847582765,50,0,0,0,1000,221822463
5,0.172,0.0393224343634303,0.0393224343634303,0.0023746905649323614,50,0,0,0,1000,509771608
6,0.58,0.007747943707180127,0.007747943707180127,0.012608697227642289,50,0,0,0,1000,1530295774
7,0.01,0.12914981458156904,0.12914981458156904,0.001073921243293469,50,0,0,0,1000,385390263
8,0.53,0.009006650000032312,0.009006650000032312,0.052517927035582765,50,0,0,0,1000,1825954996
9,0.817,0.001432374961403693,0.001432374961403693,0.0042901752876174145,50,0,0,0,1000,744368653
10,0.732,0.002581021037077358,0.002581021037077358,0.0015784363181047245,50,0,0,0,1000,62625325
11,0.796,0.001172684884138353,0.001172684884138353,0.018335931347298225,50,0,0,0,1000,326653715
12,0.605,0.0057996446230692555,0.0057996446230692555,0.00032742442171140423,50,0,0,0,1000,283920944
13,0.257,0.027419393033295103,0.027419393033295103,0.027060059089906843,50,0,0,0,1000,668789807
14,0.923,0.00017746254005068796,0.00017746254005068796,0.022623414356119788,50,0,0,0,1000,2027587152
15,0.873,0.0005375813132988405,0.0005375813132988405,0.023022948014507435,50,0,0,0,1000,513262592
16,0.03,0.10255116672394782,0.10255116672394782,0.03452033811631991,50,0,0,0,1000,1975749735
17,0.753,0.002465070227868793,0.002465070227868793,0.03659623134514989,50,0,0,0,1000,1167280423
18,0.807,0.0012675652157767558,0.0012675652157767558,0.009624045320066648,50,0,0,0,1000,2007660583
19,0.851,0.000809330179972978,0.000809330179972978,0.011385064328440496,50,0,0,0,1000,1970764024
20,0.335,0.016300427220900637,0.016300427220900637,0.0007636510355528137,50,0,0,0,1000,63871913
21,0.763,0.0019790328877794527,0.0019790328877794527,0.002304805770020882,50,0,0,0,1000,954051228
22,0.687,0.0038476738101472785,0.0038476738101472785,0.024740334399614518,50,0,0,0,1000,1156649634
23,0.226,0.02971635661758698,0.02971635661758698,0.0007661974541153547,50,0,0,0,1000,1632697641
24,0.715,0.003416545803378579,0.003416545803378579,0.001071753218568794,50,0,0,0,1000,1572200133
25,0.14,0.04399065577627792,0.04399065577627792,8.258477304839354e-06,50,0,0,0,1000,1235406039
26,0.222,0.029915453675484538,0.029915453675484538,0.004305445735023049,50,0,0,0,1000,1407710297
27,0.838,0.0008756641086404837,0.0008756641086404837,0.04113094952668125,50,0,0,0,1000,1099262776
28,0.32,0.01967744573327268,0.01967744573327268,0.0023671742747025616,50,0,0,0,1000,92382466
29,0.394,0.016622429068253286,0.016622429068253286,0.010958002536429734,50,0,0,0,1000,1411240924
30,0.063,0.06899396978584649,0.06899396978584649,0.11559859261062881,50,0,0,0,1000,1772108105
31,0.567,0.006002948198574054,0.006002948198574054,0.007342074638443581,50,0,0,0,1000,2033087279
32,0.906,0.000402734915052938,0.000402734915052938,0.11134131509627343,50,0,0,0,1000,954521694
33,0.609,0.005948022729898139,0.005948022729898139,0.007255518569679919,50,0,0,0,1000,1965599707
34,0.763,0.002287168393161232,0.002287168393161232,0.016126373704875137,50,0,0,0,1000,121509168
35,0.137,0.045943765779439816,0.045943765779439816,0.001330315085884947,50,0,0,0,1000,1546692160
36,0.913,0.0002465613897408847,0.0002465613897408847,0.06415553925646122,50,0,0,0,1000,1779326814
37,0.784,0.0014399846254260495,0.0014399846254260495,0.017491475431840826,50,0,0,0,1000,263613230
38,0.393,0.014611881661892312,0.014611881661892312,0.01804439392489415,50,0,0,0,1000,575081790
39,0.678,0.0032598467621131055,0.0032598467621131055,7.9251790594264e-05,50,0,0,0,1000,1952795859
40,0.056,0.07469484082141353,0.07469484082141353,0.059584557563800496,50,0,0,0,1000,1317866667
41,0.609,0.006350624563714713,0.006350624563714713,0.0010571999446393728,50,0,0,0,1000,1531761554
42,0.64,0.004382905046155905,0.004382905046155905,0.0041347346481222964,50,0,0,0,1000,673934066
43,0.217,0.03343016707023461,0.03343016707023461,0.025893998491402486,50,0,0,0,1000,758712243
44,0.02,0.09516807314607734,0.09516807314607734,0.008696275967105266,50,0,0,0,1000,916824962
45,0.989,4.769297076712142e-06,4.769297076712142e-06,0.0009374254779089501,50,0,0,0,1000,475381739
46,0.595,0.005778943648650392,0.005778943648650392,0.027103145943618685,50,0,0,0,1000,2017410956
47,0.38,0.01606159998998391,0.01606159998998391,0.02038020131685385,50,0,0,0,1000,1962968207
48,0.901,0.00033059905600707484,0.00033059905600707484,0.008032932994475854,50,0,0,0,1000,1516260517
49,0.979,1.7829628189192093e-05,1.7829628189192093e-05,0.0031544827612372387,50,0,0,0,1000,1751674605
50,0.745,0.002536064582633335,0.002536064582633335,0.0035825754367725723,50,0,0,0,1000,275394254
51,0.277,0.021813626510429174,0.021813626510429174,0.00403136120921688,50,0,0,0,1000,730817417
52,0.607,0.006404097784504903,0.006404097784504903,0.08163982296683091,50,0,0,0,1000,1547586068
53,0.549,0.007779662622096395,0.007779662622096395,0.0018125696003589372,50,0,0,0,1000,2067636100
54,0.368,0.015208080701803683,0.015208080701803683,0.006960269985613538,50,0,0,0,1000,632632655
55,0.386,0.015544993818494834,0.015544993818494834,0.07829920900777915,50,0,0,0,1000,1468421546
56,0.304,0.0219645970881035,0.0219645970881035,0.05148487299972802,50,0,0,0,1000,1005374725
57,0.155,0.04034046783795975,0.04034046783795975,0.010452020339885246,50,0,0,0,1000,78165742
58,0.237,0.027133514966138028,0.027133514966138028,0.0017751857240264897,50,0,0,0,1000,1080121834
59,0.639,0.004084819905966208,0.004084819905966208,0.0002598809707160963,50,0,0,0,1000,826541444
60,0.305,0.02166994802676203,0.02166994802676203,0.0018615013149075699,50,0,0,0,1000,215117809
61,0.277,0.024169336300837507,0.024169336300837507,0.06879838455549699,50,0,0,0,1000,305128647
62,0.77,0.0020524609914885916,0.0020524609914885916,0.0013443593891437338,50,0,0,0,1000,631354571
63,0.639,0.004473901212568854,0.004473901212568854,0.04507766017769824,50,0,0,0,1000,760648162
64,0.436,0.01264686299894413,0.01264686299894413,0.011618759173975389,50,0,0,0,1000,553576721
65,0.627,0.005499463986411879,0.005499463986411879,0.05988689424226582,50,0,0,0,1000,2078160693
66,0.555,0.008465806877709703,0.008465806877709703,0.016990461945909693,50,0,0,0,1000,2019846921
67,0.718,0.00261462471452123,0.00261462471452123,6.0495157944425194e-05,50,0,0,0,1000,1279013547
68,0.3,0.021305561150881003,0.021305561150881003,4.531696176436871e-05,50,0,0,0,1000,1134490754
69,0.234,0.029172649952534657,0.029172649952534657,0.053696307789159015,50,0,0,0,1000,849951427
70,0.589,0.006228110174693935,0.006228110174693935,0.001618153452825131,50,0,0,0,1000,1243751187
71,0.949,0.00012824514281839505,0.00012824514281839505,0.013037864904414062,50,0,0,0,1000,394876318
72,0.476,0.011244289176132405,0.011244289176132405,0.009212945790674793,50,0,0,0,1000,1285457632
