,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.999,1.7364554242317324e-07,0.030167716642645507,1.7364554242317324e-07,50,,0,0,1000,1019282514,0.0
1,0.575,0.006948408451159368,0.022420536828675203,0.006948408451159368,50,,0,0,1000,1679872250,0.0
2,0.964,2.4027410339483108e-05,0.021314074230359647,2.4027410339483108e-05,50,,0,0,1000,1837932928,0.0
3,0.742,0.002612410793274936,0.08742287956582522,0.002612410793274936,50,,0,0,1000,1442006727,0.0
4,0.126,0.045633583466980335,0.02277923783384098,0.045633583466980335,50,,0,0,1000,221822463,0.0
5,0.982,1.0488331390580613e-05,0.0011937520930743436,1.0488331390580613e-05,50,,0,0,1000,509771608,0.0
6,0.691,0.003613700581354591,0.0007414091335071819,0.003613700581354591,50,,0,0,1000,1530295774,0.0
7,0.53,0.008419417945211071,0.020628716529496466,0.008419417945211071,50,,0,0,1000,385390263,0.0
8,0.18,0.025433980106765973,0.011831564252010499,0.025433980106765973,50,,0,0,1000,1825954996,0.0
9,0.191,0.03115045374803753,0.01578833708972574,0.03115045374803753,50,,0,0,1000,744368653,0.0
10,0.603,0.006034101451458049,0.010313492570439172,0.006034101451458049,50,,0,0,1000,62625325,0.0
11,0.467,0.011332339772620074,0.014092884157004423,0.011332339772620074,50,,0,0,1000,326653715,0.0
12,0.96,5.017671183801134e-05,0.02600494410509056,5.017671183801134e-05,50,,0,0,1000,283920944,0.0
13,0.387,0.01601050098501142,0.018829583105844677,0.01601050098501142,50,,0,0,1000,668789807,0.0
14,0.722,0.0026328321648208908,0.04636770494034782,0.0026328321648208908,50,,0,0,1000,2027587152,0.0
15,0.349,0.017543256049029322,0.015456525259987794,0.017543256049029322,50,,0,0,1000,513262592,0.0
16,0.964,7.863045683813892e-05,0.05727854666765678,7.863045683813892e-05,50,,0,0,1000,1975749735,0.0
17,0.435,0.011029125324711274,0.004602097639978524,0.011029125324711274,50,,0,0,1000,1167280423,0.0
18,0.469,0.010367597248629862,0.001129676862171664,0.010367597248629862,50,,0,0,1000,2007660583,0.0
19,0.303,0.01900770426805881,0.02040404772560658,0.01900770426805881,50,,0,0,1000,1970764024,0.0
20,0.885,0.000535339503992763,0.0018546582902288918,0.000535339503992763,50,,0,0,1000,63871913,0.0
21,0.903,0.0004134508242336995,0.00019735833488139035,0.0004134508242336995,50,,0,0,1000,954051228,0.0
22,0.484,0.012772987168826494,0.03389729722538157,0.012772987168826494,50,,0,0,1000,1156649634,0.0
23,0.834,0.0060502990006874304,0.13026598448996904,0.0060502990006874304,50,,0,0,1000,1632697641,0.0
24,0.045,0.08340386883181311,0.008292126356353242,0.08340386883181311,50,,0,0,1000,1572200133,0.0
25,0.605,0.0054935003586527335,0.003675145378193601,0.0054935003586527335,50,,0,0,1000,1235406039,0.0
26,0.298,0.024175460998412918,0.025578441553317448,0.024175460998412918,50,,0,0,1000,1407710297,0.0
27,0.395,0.016146841571947224,0.0008556205808586399,0.016146841571947224,50,,0,0,1000,1099262776,0.0
28,0.556,0.008170748097230243,0.031013277494976895,0.008170748097230243,50,,0,0,1000,92382466,0.0
29,0.227,0.031221732050318123,0.0010611828480877135,0.031221732050318123,50,,0,0,1000,1411240924,0.0
