,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.821,0.0008555830759779213,0.00687796631875805,0.0008555830759779213,50,,0,0,1000,1019282514,0.0
1,0.962,2.5422899833389107e-05,0.00926581044302734,2.5422899833389107e-05,50,,0,0,1000,1679872250,0.0
2,0.954,8.481252510518117e-05,0.00454369286965393,8.481252510518117e-05,50,,0,0,1000,1837932928,0.0
3,0.242,0.032059635461366115,0.0736595766392191,0.032059635461366115,50,,0,0,1000,1442006727,0.0
4,0.028,0.08534830884699068,0.0027813307248163413,0.08534830884699068,50,,0,0,1000,221822463,0.0
5,0.685,0.0032077938392403808,3.0287790632365218e-06,0.0032077938392403808,50,,0,0,1000,509771608,0.0
6,0.356,0.017667101257871326,0.0019097147789682559,0.017667101257871326,50,,0,0,1000,1530295774,0.0
7,0.371,0.01673885757519919,0.033951487611782266,0.01673885757519919,50,,0,0,1000,385390263,0.0
8,0.064,0.07277615900188696,0.006124340898231448,0.07277615900188696,50,,0,0,1000,1825954996,0.0
9,0.293,0.021530628882075416,6.445533475867664e-09,0.021530628882075416,50,,0,0,1000,744368653,0.0
10,0.897,0.00033116021429042096,0.016630493372430093,0.00033116021429042096,50,,0,0,1000,62625325,0.0
11,0.872,0.000647460761986323,0.008614739839377428,0.000647460761986323,50,,0,0,1000,326653715,0.0
12,0.891,0.000507953516143778,0.03791328540250517,0.000507953516143778,50,,0,0,1000,283920944,0.0
13,0.2,0.036658764396883696,0.03367071455968683,0.036658764396883696,50,,0,0,1000,668789807,0.0
14,0.956,7.252147246109212e-05,0.0783021061622523,7.252147246109212e-05,50,,0,0,1000,2027587152,0.0
15,0.151,0.039286034997467884,3.1286694535073264e-05,0.039286034997467884,50,,0,0,1000,513262592,0.0
16,0.845,0.0007529367927425487,0.02460125974425461,0.0007529367927425487,50,,0,0,1000,1975749735,0.0
17,0.346,0.0178380730274308,0.03773439141952185,0.0178380730274308,50,,0,0,1000,1167280423,0.0
18,0.769,0.002009178398364028,0.004517728102896099,0.002009178398364028,50,,0,0,1000,2007660583,0.0
19,0.319,0.018744668851806163,0.02762641174362407,0.018744668851806163,50,,0,0,1000,1970764024,0.0
20,0.957,6.755786826570932e-05,0.009874503588647441,6.755786826570932e-05,50,,0,0,1000,63871913,0.0
21,0.819,0.0013260969096584078,0.013530920190980449,0.0013260969096584078,50,,0,0,1000,954051228,0.0
22,0.328,0.01752154972683086,0.04190519573540639,0.01752154972683086,50,,0,0,1000,1156649634,0.0
23,0.994,3.1564639870617433e-06,0.04789940724889889,3.1564639870617433e-06,50,,0,0,1000,1632697641,0.0
24,0.05,0.07038971936901856,0.01473160547520808,0.07038971936901856,50,,0,0,1000,1572200133,0.0
25,0.657,0.004107409058004523,0.0017433009587630994,0.004107409058004523,50,,0,0,1000,1235406039,0.0
26,0.457,0.014777885978370138,0.08735070370203704,0.014777885978370138,50,,0,0,1000,1407710297,0.0
27,0.484,0.0103754282905593,0.0042643124459107295,0.0103754282905593,50,,0,0,1000,1099262776,0.0
28,0.363,0.016883877412281922,0.0062853827401785165,0.016883877412281922,50,,0,0,1000,92382466,0.0
29,0.19,0.03583233828612932,0.0021961987747363943,0.03583233828612932,50,,0,0,1000,1411240924,0.0
30,0.006,0.13470684554869947,0.0002850348211085508,0.13470684554869947,50,,0,0,1000,1772108105,0.0
31,0.458,0.013665175126014392,0.0017499952087635879,0.013665175126014392,50,,0,0,1000,2033087279,0.0
32,0.021,0.11928836457850217,0.019861107138412316,0.11928836457850217,50,,0,0,1000,954521694,0.0
33,0.347,0.020394165219162957,0.002393925681278538,0.020394165219162957,50,,0,0,1000,1965599707,0.0
34,0.226,0.0297108732188534,0.004646628871333161,0.0297108732188534,50,,0,0,1000,121509168,0.0
35,0.534,0.008445555255412972,0.027560613888382095,0.008445555255412972,50,,0,0,1000,1546692160,0.0
36,0.275,0.025566669637171812,0.01079325502722737,0.025566669637171812,50,,0,0,1000,1779326814,0.0
37,0.335,0.018281967146774204,6.929704945070651e-05,0.018281967146774204,50,,0,0,1000,263613230,0.0
38,0.487,0.009440776909534428,0.012882979482809677,0.009440776909534428,50,,0,0,1000,575081790,0.0
39,0.931,0.0001875762039457296,0.02607595121084738,0.0001875762039457296,50,,0,0,1000,1952795859,0.0
40,0.282,0.025033881627075972,0.048281150843994945,0.025033881627075972,50,,0,0,1000,1317866667,0.0
41,0.48,0.010520273245003289,0.0001973102183725349,0.010520273245003289,50,,0,0,1000,1531761554,0.0
42,0.791,0.001610762122252608,3.3535527029076124e-06,0.001610762122252608,50,,0,0,1000,673934066,0.0
43,0.083,0.06191017688101308,0.11579596919653758,0.06191017688101308,50,,0,0,1000,758712243,0.0
44,0.354,0.01845930825104751,0.10394151572706956,0.01845930825104751,50,,0,0,1000,916824962,0.0
45,0.295,0.023980114747439118,0.0003059674556240854,0.023980114747439118,50,,0,0,1000,475381739,0.0
46,0.019,0.09022894064585435,0.004042149229374685,0.09022894064585435,50,,0,0,1000,2017410956,0.0
47,0.443,0.011938691120814818,0.009220262583275905,0.011938691120814818,50,,0,0,1000,1962968207,0.0
48,0.888,0.0004231801889336314,0.016927951117260396,0.0004231801889336314,50,,0,0,1000,1516260517,0.0
49,0.281,0.024495925441942224,0.004461527409285618,0.024495925441942224,50,,0,0,1000,1751674605,0.0
50,0.723,0.0028666520512758767,0.009705244585397534,0.0028666520512758767,50,,0,0,1000,275394254,0.0
51,0.555,0.008057827915402748,0.029902549088144815,0.008057827915402748,50,,0,0,1000,730817417,0.0
52,0.027,0.08480655217356439,0.0005961176238566684,0.08480655217356439,50,,0,0,1000,1547586068,0.0
