,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
0,0.224,0.028735505313152727,0.020256139147548265,0.028735505313152727,50,,0,0,1000,1019282514,0.0
1,0.325,0.020621531271257175,0.007258808692948145,0.020621531271257175,50,,0,0,1000,1679872250,0.0
2,0.244,0.02809703317819022,8.297846225226757e-05,0.02809703317819022,50,,0,0,1000,1837932928,0.0
3,0.238,0.03155570496678221,0.02876341869467775,0.03155570496678221,50,,0,0,1000,1442006727,0.0
4,0.246,0.024578814847582765,0.001349896851071072,0.024578814847582765,50,,0,0,1000,221822463,0.0
5,0.74,0.0023746905649323614,9.189147167201708e-05,0.0023746905649323614,50,,0,0,1000,509771608,0.0
6,0.424,0.012608697227642286,0.006967408301517383,0.012608697227642286,50,,0,0,1000,1530295774,0.0
7,0.816,0.0010739212432934694,0.05532606252108303,0.0010739212432934694,50,,0,0,1000,385390263,0.0
8,0.112,0.052517927035582765,0.004468440403167659,0.052517927035582765,50,,0,0,1000,1825954996,0.0
9,0.655,0.0042901752876174145,0.0036343092772447828,0.0042901752876174145,50,,0,0,1000,744368653,0.0
10,0.772,0.0015784363181047245,0.0011936005128166212,0.0015784363181047245,50,,0,0,1000,62625325,0.0
11,0.343,0.01833593134729823,0.019400250287698862,0.01833593134729823,50,,0,0,1000,326653715,0.0
12,0.89,0.00032742442171140423,0.016501057163588868,0.00032742442171140423,50,,0,0,1000,283920944,0.0
13,0.253,0.027060059089906843,0.06456271412949124,0.027060059089906843,50,,0,0,1000,668789807,0.0
14,0.3,0.022623414356119788,0.04874369531308127,0.022623414356119788,50,,0,0,1000,2027587152,0.0
15,0.283,0.023022948014507442,0.0013484642380207229,0.023022948014507442,50,,0,0,1000,513262592,0.0
16,0.19,0.03452033811631991,0.02497133150240018,0.03452033811631991,50,,0,0,1000,1975749735,0.0
17,0.189,0.03659623134514988,0.01408810307229446,0.03659623134514988,50,,0,0,1000,1167280423,0.0
18,0.482,0.00962404532006665,0.013857800843618583,0.00962404532006665,50,,0,0,1000,2007660583,0.0
19,0.438,0.011385064328440496,0.00982490892044235,0.011385064328440496,50,,0,0,1000,1970764024,0.0
20,0.847,0.0007636510355528137,0.007160505647635823,0.0007636510355528137,50,,0,0,1000,63871913,0.0
21,0.742,0.002304805770020882,0.001753900951005105,0.002304805770020882,50,,0,0,1000,954051228,0.0
22,0.259,0.024740334399614518,0.0007558264750947328,0.024740334399614518,50,,0,0,1000,1156649634,0.0
23,0.84,0.0007661974541153547,0.010744919724645452,0.0007661974541153547,50,,0,0,1000,1632697641,0.0
24,0.813,0.0010717532185687936,0.0014894769705892368,0.0010717532185687936,50,,0,0,1000,1572200133,0.0
25,0.981,8.258477304839354e-06,0.044727887188169405,8.258477304839354e-06,50,,0,0,1000,1235406039,0.0
26,0.632,0.004305445735023051,0.042133519914896826,0.004305445735023051,50,,0,0,1000,1407710297,0.0
27,0.151,0.04113094952668125,0.03270703688781852,0.04113094952668125,50,,0,0,1000,1099262776,0.0
28,0.748,0.0023671742747025616,0.0020545337175226944,0.0023671742747025616,50,,0,0,1000,92382466,0.0
29,0.459,0.01095800253642973,0.016161553550671497,0.01095800253642973,50,,0,0,1000,1411240924,0.0
30,0.012,0.11559859261062877,0.031891186985824306,0.11559859261062877,50,,0,0,1000,1772108105,0.0
31,0.561,0.007342074638443581,0.007630551593667448,0.007342074638443581,50,,0,0,1000,2033087279,0.0
32,0.022,0.11134131509627343,3.579011128314565e-05,0.11134131509627343,50,,0,0,1000,954521694,0.0
33,0.571,0.007255518569679919,4.827007463370688e-05,0.007255518569679919,50,,0,0,1000,1965599707,0.0
34,0.374,0.016126373704875137,2.0240963875937755e-06,0.016126373704875137,50,,0,0,1000,121509168,0.0
35,0.786,0.001330315085884947,0.0344471560741268,0.001330315085884947,50,,0,0,1000,1546692160,0.0
36,0.073,0.06415553925646122,0.027868288926203046,0.06415553925646122,50,,0,0,1000,1779326814,0.0
37,0.382,0.017491475431840826,0.0004920986480289766,0.017491475431840826,50,,0,0,1000,263613230,0.0
38,0.342,0.01804439392489415,0.009686959612367915,0.01804439392489415,50,,0,0,1000,575081790,0.0
39,0.962,7.9251790594264e-05,0.01011041731630028,7.9251790594264e-05,50,,0,0,1000,1952795859,0.0
40,0.098,0.059584557563800496,0.028086381112471238,0.059584557563800496,50,,0,0,1000,1317866667,0.0
41,0.81,0.0010571999446393728,0.012661661694315868,0.0010571999446393728,50,,0,0,1000,1531761554,0.0
42,0.655,0.0041347346481222964,0.004580886591428154,0.0041347346481222964,50,,0,0,1000,673934066,0.0
43,0.28,0.025893998491402486,0.12133895635614615,0.025893998491402486,50,,0,0,1000,758712243,0.0
44,0.496,0.008696275967105269,0.11316560997044957,0.008696275967105269,50,,0,0,1000,916824962,0.0
45,0.826,0.0009374254779089499,0.00022507899785620652,0.0009374254779089499,50,,0,0,1000,475381739,0.0
46,0.227,0.027103145943618675,0.006469723302056905,0.027103145943618675,50,,0,0,1000,2017410956,0.0
47,0.305,0.02038020131685385,0.006637547101001314,0.02038020131685385,50,,0,0,1000,1962968207,0.0
48,0.523,0.00803293299447585,0.009562596267231856,0.00803293299447585,50,,0,0,1000,1516260517,0.0
49,0.7,0.003154482761237238,0.008620239228480129,0.003154482761237238,50,,0,0,1000,1751674605,0.0
50,0.682,0.0035825754367725723,0.0033232073722111637,0.0035825754367725723,50,,0,0,1000,275394254,0.0
51,0.668,0.004031361209216878,0.041430644697269495,0.004031361209216878,50,,0,0,1000,730817417,0.0
52,0.037,0.08163982296683091,0.006082440623863283,0.08163982296683091,50,,0,0,1000,1547586068,0.0
53,0.774,0.0018125696003589372,0.0044655938315771035,0.0018125696003589372,50,,0,0,1000,2067636100,0.0
54,0.587,0.006960269985613538,0.005820944536674563,0.006960269985613538,50,,0,0,1000,632632655,0.0
55,0.042,0.07829920900777915,0.0022302395709080138,0.07829920900777915,50,,0,0,1000,1468421546,0.0
56,0.116,0.051484872999728,0.0003304846993765484,0.051484872999728,50,,0,0,1000,1005374725,0.0
57,0.497,0.010452020339885246,0.015294755088213895,0.010452020339885246,50,,0,0,1000,78165742,0.0
58,0.773,0.0017751857240264897,0.015436505286842064,0.0017751857240264897,50,,0,0,1000,1080121834,0.0
59,0.92,0.0002598809707160963,0.0325297501698054,0.0002598809707160963,50,,0,0,1000,826541444,0.0
60,0.775,0.0018615013149075705,0.0520639703038351,0.0018615013149075705,50,,0,0,1000,215117809,0.0
61,0.063,0.06879838455549699,0.0009121457496890425,0.06879838455549699,50,,0,0,1000,305128647,0.0
62,0.808,0.0013443593891437338,0.01182636467625775,0.0013443593891437338,50,,0,0,1000,631354571,0.0
63,0.126,0.04507766017769824,0.009520663172835696,0.04507766017769824,50,,0,0,1000,760648162,0.0
64,0.446,0.011618759173975389,0.010567068969891432,0.011618759173975389,50,,0,0,1000,553576721,0.0
65,0.094,0.05988689424226582,0.019654046717865564,0.05988689424226582,50,,0,0,1000,2078160693,0.0
66,0.379,0.016990461945909703,0.04899325959759038,0.016990461945909703,50,,0,0,1000,2019846921,0.0
67,0.953,6.049515794442518e-05,0.005719714390007854,6.049515794442518e-05,50,,0,0,1000,1279013547,0.0
68,0.955,4.531696176436871e-05,0.0013302762356881457,4.531696176436871e-05,50,,0,0,1000,1134490754,0.0
69,0.104,0.053696307789159015,0.00674774196343067,0.053696307789159015,50,,0,0,1000,849951427,0.0
70,0.798,0.0016181534528251313,0.0003799734632324234,0.0016181534528251313,50,,0,0,1000,1243751187,0.0
71,0.429,0.013037864904414066,0.001222302822020558,0.013037864904414066,50,,0,0,1000,394876318,0.0
72,0.474,0.009212945790674795,0.0009963542940395799,0.009212945790674795,50,,0,0,1000,1285457632,0.0
73,0.04,0.08062899137080709,0.007473993277244043,0.08062899137080709,50,,0,0,1000,595765758,0.0
74,0.641,0.005061294019263611,0.09523962510724623,0.005061294019263611,50,,0,0,1000,1201503691,0.0
75,0.357,0.019599919409511363,2.5368688790540922e-05,0.019599919409511363,50,,0,0,1000,1542418348,0.0
76,0.982,1.1097865437349184e-05,0.0002868057891289824,1.1097865437349184e-05,50,,0,0,1000,244592230,0.0
77,0.204,0.03667865331262998,0.01078054348654552,0.03667865331262998,50,,0,0,1000,1969263265,0.0
78,0.839,0.0009689473575254299,0.009113107178347138,0.0009689473575254299,50,,0,0,1000,1096437208,0.0
79,0.541,0.00804897201791332,0.011186952738155054,0.00804897201791332,50,,0,0,1000,908217484,0.0
80,0.583,0.005657488519670957,0.013854687001952679,0.005657488519670957,50,,0,0,1000,152089541,0.0
81,0.917,0.0002582727478995334,7.722804761916336e-07,0.0002582727478995334,50,,0,0,1000,394114712,0.0
82,0.671,0.004034960355520451,0.0025947618198014525,0.004034960355520451,50,,0,0,1000,941097907,0.0
83,0.235,0.028687267812073373,0.0037501579806274382,0.028687267812073373,50,,0,0,1000,1075348184,0.0
84,0.627,0.004376401930858268,0.002868096661588743,0.004376401930858268,50,,0,0,1000,501147184,0.0
85,0.91,0.0002104713806006758,0.0007837431033167673,0.0002104713806006758,50,,0,0,1000,1768542267,0.0
