,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.291,0.0018867156755331877,0.0037071545228267756,0.003981592227323235,50,0,0,0,1000,1019282514
1,0.697,0.006126730513875662,0.003237976945353381,0.0006814004812623299,50,0,0,0,1000,1679872250
2,0.029,0.011780925396348896,0.33209884866550754,0.004203330352657086,50,0,0,0,1000,1837932928
3,0.988,0.0024120281992427283,1.3288150605201582e-05,0.004336983238759193,50,0,0,0,1000,1442006727
4,0.2,3.1259295305931855e-05,0.007773194506804859,0.011063239175491981,50,0,0,0,1000,221822463
5,0.829,0.006016754537286267,0.0010775136478599523,0.006171761420937255,50,0,0,0,1000,509771608
6,0.622,0.0018466248957581138,0.0017644770349949416,0.00111904602939829,50,0,0,0,1000,1530295774
7,0.575,0.006801690719501988,0.0037183278957889612,0.00012413312296292555,50,0,0,0,1000,385390263
8,0.84,0.0027155834229000055,0.00045275052288680983,0.0012708859424893132,50,0,0,0,1000,1825954996
9,0.839,0.00026329451038876344,0.0008239547282337787,0.004233817284627362,50,0,0,0,1000,744368653
10,0.115,0.005572976673002095,0.044734010323200055,0.0034223509526536753,50,0,0,0,1000,62625325
11,0.354,0.00764092122296169,0.003402873265260855,0.008632634030073324,50,0,0,0,1000,326653715
12,0.942,1.9491342906797297e-05,0.00016856643165755636,0.004043653619372667,50,0,0,0,1000,283920944
13,0.812,0.0008732450906970872,0.001128345328127672,0.004795205131117765,50,0,0,0,1000,668789807
14,0.157,7.572027593550181e-05,0.010974564749716219,0.00361614394074869,50,0,0,0,1000,2027587152
15,0.203,0.0017827080433245063,0.006216617079886602,0.00813644443194122,50,0,0,0,1000,513262592
16,0.118,0.005853979021638832,0.004272089530834815,0.001013134719704853,50,0,0,0,1000,1975749735
17,0.461,0.2045253833883826,0.006371647447887335,9.063609310327595e-05,50,0,0,0,1000,1167280423
18,0.633,0.003073203241703064,0.0026134336388788774,5.5613579370508015e-05,50,0,0,0,1000,2007660583
19,0.636,0.005454792537585891,0.00512205565528817,0.003375462233516262,50,0,0,0,1000,1970764024
20,0.743,1.5489456039328005e-05,0.002134967425043497,0.000581912721099397,50,0,0,0,1000,63871913
21,0.97,0.011107169341819842,2.1297499520681698e-05,0.0018340521503034148,50,0,0,0,1000,954051228
22,0.065,0.15736149908320363,0.05751225711040252,0.00465183377065808,50,0,0,0,1000,1156649634
23,0.0,0.025357632800369335,0.09959929620714938,0.004587796946555074,50,0,0,0,1000,1632697641
