,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.928,0.011428165742146194,0.0001825752308648796,0.006880146030365316,50,0,0,0,1000,1019282514
1,0.56,0.002618056803275404,0.008022171930895265,0.015504168018718605,50,0,0,0,1000,1679872250
2,0.29,0.06005456981941447,0.02122559939436083,0.03582991152128785,50,0,0,0,1000,1837932928
3,0.145,0.0068118045496279814,0.01995864595032442,0.027399123878209617,50,0,0,0,1000,1442006727
4,0.278,0.0011745308653170851,0.009489169093959712,0.0012818750457570549,50,0,0,0,1000,221822463
5,0.453,0.000841724359520588,0.010631125820544108,0.010853277429230847,50,0,0,0,1000,509771608
6,0.789,0.029028637198500556,0.0015203710617114963,0.008196807851459306,50,0,0,0,1000,1530295774
7,0.138,0.013044536656691306,0.029313870672092974,0.07499522536579,50,0,0,0,1000,385390263
8,0.964,0.025704916057016452,5.578889176532845e-05,0.0008433534252636368,50,0,0,0,1000,1825954996
9,0.365,0.04033455469637723,0.016394598625425926,0.005906100399906134,50,0,0,0,1000,744368653
10,0.914,0.02278460446770848,0.0003932942162077945,0.0022711187737145177,50,0,0,0,1000,62625325
11,0.22,0.0033378463946353515,0.013547679335933809,0.06118617416666197,50,0,0,0,1000,326653715
12,0.833,0.0025366641546698057,0.0019503898492684508,0.006694618963958545,50,0,0,0,1000,283920944
13,0.2,0.006017748056122777,0.0314784017360549,0.0005783848901999765,50,0,0,0,1000,668789807
14,0.478,0.01704368089120023,0.0118233613471885,0.022584136145907256,50,0,0,0,1000,2027587152
15,0.415,0.018587403770814373,0.011118355898597663,0.0038048083424004854,50,0,0,0,1000,513262592
16,0.652,0.00031933630503773534,0.004461854921471244,0.04004755123241656,50,0,0,0,1000,1975749735
17,0.356,0.04048018914212053,0.015084439751752672,0.013103448204925606,50,0,0,0,1000,1167280423
18,0.011,0.005555603859996864,0.2999003156703538,3.512915524943683e-05,50,0,0,0,1000,2007660583
19,0.81,0.015241725270256128,0.001753759975583349,0.012132582613531104,50,0,0,0,1000,1970764024
20,0.453,0.008065437233005126,0.010607392083163289,6.309957037819677e-06,50,0,0,0,1000,63871913
21,0.674,0.03380875379336491,0.004689431770991591,0.018979054020252652,50,0,0,0,1000,954051228
22,0.405,0.09805370007327353,0.012709914506718961,0.00523875506754197,50,0,0,0,1000,1156649634
23,0.84,0.1019294917147722,0.000573231226911489,0.013142333284398592,50,0,0,0,1000,1632697641
24,0.727,0.0003127224511105582,0.002821481353128712,0.007458229689650146,50,0,0,0,1000,1572200133
25,0.096,0.020286144092967865,0.04358096166037578,0.0032996970236561173,50,0,0,0,1000,1235406039
26,0.899,0.0022435518006915186,0.00036153143682050084,0.009788435113606664,50,0,0,0,1000,1407710297
27,0.341,0.009837707108383739,0.017548975110120525,0.14208746489547047,50,0,0,0,1000,1099262776
28,0.257,0.003611329528415556,0.02599568766658825,0.02965181035183603,50,0,0,0,1000,92382466
29,0.939,0.005605317196676504,0.0001139027416482395,0.003907588571208537,50,0,0,0,1000,1411240924
30,0.003,0.03219358394939794,0.17356963987236143,0.009090409972189281,50,0,0,0,1000,1772108105
31,0.457,0.0034384644566365567,0.010313608384789485,0.0013795530771377972,50,0,0,0,1000,2033087279
32,0.538,0.08855928170959514,0.00792715326529016,0.03041319793690622,50,0,0,0,1000,954521694
33,0.736,0.004980976265906902,0.004569107176649509,0.020673652898172867,50,0,0,0,1000,1965599707
34,0.967,0.006196183022058491,0.00018094566035255357,0.003662722845773653,50,0,0,0,1000,121509168
35,0.078,0.0002003406169332402,0.04117677846260925,0.002512632089305655,50,0,0,0,1000,1546692160
36,0.912,0.015805007615458798,0.0002630621140036052,0.045625550034413584,50,0,0,0,1000,1779326814
37,0.77,0.0005373098410566047,0.002079110842031051,0.0038004792053447636,50,0,0,0,1000,263613230
38,0.38,0.0632361287686877,0.018118706159864568,0.01421169183603404,50,0,0,0,1000,575081790
39,0.557,0.011571870975507038,0.006745293438369857,0.004787044162198125,50,0,0,0,1000,1952795859
40,0.664,0.01104372184554279,0.004849182153589114,0.021389495269435246,50,0,0,0,1000,1317866667
41,0.529,0.009472630072793317,0.005662341086160063,0.0009520272240645481,50,0,0,0,1000,1531761554
42,0.167,0.0002662846982770663,0.015678791274874905,0.10260830026638741,50,0,0,0,1000,673934066
43,0.026,0.003914375312077458,0.11199065978442302,0.010817536793686557,50,0,0,0,1000,758712243
