,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.644,0.0008931755812375244,0.0020270154760897393,0.0001309697028016199,50,0,0,0,1000,1019282514
1,0.937,0.0015583597594953985,0.0002624869023251243,0.0007097757592532086,50,0,0,0,1000,1679872250
2,0.03,0.02564694655341533,0.03798930100185527,0.0019065514986491784,50,0,0,0,1000,1837932928
3,0.631,0.003036375558877166,0.0022524932116598263,0.0017095523546380939,50,0,0,0,1000,1442006727
4,0.787,0.0008218797838308099,0.0005905148386680564,0.0030297545343327217,50,0,0,0,1000,221822463
5,0.816,0.0030342887044701857,0.0008916200702479139,0.7361787994908338,50,0,0,0,1000,509771608
6,0.541,0.0067056429614127345,0.005194358022038294,0.006211139773281123,50,0,0,0,1000,1530295774
7,0.8,0.005141076933435794,0.0005571671321535027,0.003341829419684811,50,0,0,0,1000,385390263
8,0.607,0.004827618958254543,0.00232450612768152,0.00484347441774788,50,0,0,0,1000,1825954996
9,0.379,0.00014574708924448544,0.00476085947754066,0.04960840047873559,50,0,0,0,1000,744368653
10,0.434,0.000967647378081509,0.0023527432652013253,0.03124833053347506,50,0,0,0,1000,62625325
11,0.21,0.015023133734331482,0.00590512595462469,0.004513581897719934,50,0,0,0,1000,326653715
12,0.309,4.994937980582248e-05,0.0007425042913125643,0.0017906003392277024,50,0,0,0,1000,283920944
13,0.926,0.00921659243828652,0.0001248654542137977,0.005640331094677706,50,0,0,0,1000,668789807
14,0.305,0.006764934900800221,0.00686517451559756,7.370331864564028e-07,50,0,0,0,1000,2027587152
15,0.918,0.007462357442962814,0.00015750381617632466,0.008277691656688378,50,0,0,0,1000,513262592
16,0.609,0.001927936189714072,0.0014241158948489767,0.01503313911790444,50,0,0,0,1000,1975749735
17,0.665,0.000827442400000216,0.0019142901142843829,0.002059710157382458,50,0,0,0,1000,1167280423
18,0.51,4.5305209060022227e-07,0.002947834019114154,0.0010329603844136716,50,0,0,0,1000,2007660583
19,0.669,0.010404173349405658,0.003311086127458051,0.009938680564768883,50,0,0,0,1000,1970764024
20,0.517,0.0034826138919388664,0.0026099848129024312,0.009355345746669696,50,0,0,0,1000,63871913
21,0.917,0.00017039432456166404,0.00034751505742910326,0.010213302921835383,50,0,0,0,1000,954051228
22,0.293,0.005344591534542575,0.013326417229559417,0.08461739002644747,50,0,0,0,1000,1156649634
23,0.199,0.0039232175065239926,0.011662177411010237,0.0022703112436252247,50,0,0,0,1000,1632697641
24,0.185,1.2509241902911544e-05,0.007701843267242198,0.001437820490047036,50,0,0,0,1000,1572200133
25,0.139,1.4289760355289093e-05,0.007209126954661435,0.003936451838387311,50,0,0,0,1000,1235406039
26,0.311,0.0007895934937017997,0.003593915463410112,0.00012876936369253842,50,0,0,0,1000,1407710297
27,0.048,0.0023436308790458042,0.13303265512516452,0.0050743455769817584,50,0,0,0,1000,1099262776
28,0.606,0.005171238269474168,0.004498285349600649,0.019396612490515438,50,0,0,0,1000,92382466
29,0.013,0.0066619482123508175,0.23244177206922692,0.010908756558770315,50,0,0,0,1000,1411240924
30,0.721,0.0009773627328383198,0.0029637169960310683,0.01191677993785354,50,0,0,0,1000,1772108105
31,0.69,0.002967922968814336,0.006331858441652157,0.10405545439496562,50,0,0,0,1000,2033087279
32,0.574,0.009382364885146018,0.00752013813942444,0.00025726487897740404,50,0,0,0,1000,954521694
33,0.269,0.0026050730595311806,0.0017557185030240108,0.003186406485588968,50,0,0,0,1000,1965599707
34,0.331,0.0228353821882585,0.004542211663120274,0.0008526238549947248,50,0,0,0,1000,121509168
35,0.675,0.0044561101182879195,0.0024398173249070856,0.0005971667584609651,50,0,0,0,1000,1546692160
