,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.227,0.031285979773340786,0.031285979773340786,0.007913262910254916,50,0,0,0,1000,1019282514
1,0.37,0.016171725464559132,0.016171725464559132,0.01098647742462517,50,0,0,0,1000,1679872250
2,0.802,0.0010810064230423952,0.0010810064230423952,0.009598313652081868,50,0,0,0,1000,1837932928
3,0.029,0.1018170383436719,0.1018170383436719,0.012251384382540677,50,0,0,0,1000,1442006727
4,0.556,0.006825003584484501,0.006825003584484501,0.05501225430795733,50,0,0,0,1000,221822463
5,0.839,0.0012265779573504912,0.0012265779573504912,0.0010118457735284196,50,0,0,0,1000,509771608
6,0.547,0.006576160928768099,0.006576160928768099,0.016680157118053224,50,0,0,0,1000,1530295774
7,0.09,0.05156754925436958,0.05156754925436958,0.005528201995019812,50,0,0,0,1000,385390263
8,0.477,0.0116318714644018,0.0116318714644018,0.042606628462017036,50,0,0,0,1000,1825954996
9,0.36,0.01819724128480406,0.01819724128480406,0.030067456601866507,50,0,0,0,1000,744368653
10,0.68,0.0035154757027445836,0.0035154757027445836,0.0063491973104737925,50,0,0,0,1000,62625325
11,0.404,0.014459854160758033,0.014459854160758033,0.008542956193598126,50,0,0,0,1000,326653715
12,0.238,0.029468591825567835,0.029468591825567835,0.0016665473752981194,50,0,0,0,1000,283920944
13,0.134,0.04762656771690851,0.04762656771690851,0.023990267663185554,50,0,0,0,1000,668789807
14,0.158,0.043774126995456006,0.043774126995456006,0.012978281253395072,50,0,0,0,1000,2027587152
15,0.626,0.004985065420615472,0.004985065420615472,0.019427396535194572,50,0,0,0,1000,513262592
16,0.06,0.06663596383706213,0.06663596383706213,0.010141587977697528,50,0,0,0,1000,1975749735
17,0.57,0.005676328355571167,0.005676328355571167,0.016758065467898903,50,0,0,0,1000,1167280423
18,0.73,0.002434103397402497,0.002434103397402497,0.01428809433659483,50,0,0,0,1000,2007660583
19,0.413,0.01337292320708037,0.01337292320708037,0.015991971316728602,50,0,0,0,1000,1970764024
20,0.721,0.0026291177089675555,0.0026291177089675555,0.00033541755545464465,50,0,0,0,1000,63871913
21,0.833,0.0009197457126672786,0.0009197457126672786,2.2572565271440777e-05,50,0,0,0,1000,954051228
22,0.39,0.01563097894764895,0.01563097894764895,0.012550029087949102,50,0,0,0,1000,1156649634
23,0.114,0.04565918913945871,0.04565918913945871,0.00024398151161298076,50,0,0,0,1000,1632697641
24,0.636,0.005353576875159352,0.005353576875159352,0.010799619795287495,50,0,0,0,1000,1572200133
25,0.338,0.018560094555708,0.018560094555708,0.002808400198711601,50,0,0,0,1000,1235406039
26,0.192,0.0316133311439093,0.0316133311439093,0.01794149400684084,50,0,0,0,1000,1407710297
27,0.681,0.002886831334899229,0.002886831334899229,0.025437420743479253,50,0,0,0,1000,1099262776
28,0.311,0.020326717615318485,0.020326717615318485,0.0032072693840676904,50,0,0,0,1000,92382466
29,0.798,0.001614253600445991,0.001614253600445991,0.02478786892457783,50,0,0,0,1000,1411240924
30,0.24,0.03033037273709243,0.03033037273709243,0.12388641088922372,50,0,0,0,1000,1772108105
31,0.474,0.010240333513547256,0.010240333513547256,0.0007922690531326483,50,0,0,0,1000,2033087279
32,0.891,0.0005293231550783014,0.0005293231550783014,0.1385051695431503,50,0,0,0,1000,954521694
33,0.821,0.0013345313738614753,0.0013345313738614753,0.009479012956259204,50,0,0,0,1000,1965599707
34,0.636,0.004307995874585398,0.004307995874585398,0.011534283167309223,50,0,0,0,1000,121509168
35,0.227,0.03577418418638822,0.03577418418638822,0.006592960362246007,50,0,0,0,1000,1546692160
36,0.09,0.05497961676914433,0.05497961676914433,0.03241631074210215,50,0,0,0,1000,1779326814
37,0.898,0.00037321357208137886,0.00037321357208137886,0.027033905506610573,50,0,0,0,1000,263613230
38,0.174,0.036053719810291054,0.036053719810291054,0.010182849270792303,50,0,0,0,1000,575081790
39,0.358,0.018554554939614443,0.018554554939614443,0.0005517707254643826,50,0,0,0,1000,1952795859
40,0.2,0.032360086718439825,0.032360086718439825,0.051123792906723836,50,0,0,0,1000,1317866667
41,0.521,0.00885541224895704,0.00885541224895704,0.010821825665515598,50,0,0,0,1000,1531761554
42,0.892,0.0003663648543317818,0.0003663648543317818,3.984448738490666e-06,50,0,0,0,1000,673934066
43,0.043,0.07845530198242569,0.07845530198242569,0.016603419072680283,50,0,0,0,1000,758712243
44,0.053,0.06879020032620932,0.06879020032620932,0.011909886173420791,50,0,0,0,1000,916824962
45,0.796,0.0016915558852346638,0.0016915558852346638,0.0023305945931753618,50,0,0,0,1000,475381739
46,0.141,0.04139631729501218,0.04139631729501218,0.05286624382753039,50,0,0,0,1000,2017410956
47,0.827,0.000922768577670243,0.000922768577670243,0.00614824438738162,50,0,0,0,1000,1962968207
48,0.8,0.0015803950040164966,0.0015803950040164966,0.007635777417835598,50,0,0,0,1000,1516260517
49,0.178,0.04001371734002349,0.04001371734002349,0.05128643201027704,50,0,0,0,1000,1751674605
50,0.95,0.0001349100630844513,0.0001349100630844513,0.0027925774227829585,50,0,0,0,1000,275394254
51,0.261,0.022966843379313935,0.022966843379313935,0.0035100270349391117,50,0,0,0,1000,730817417
52,0.779,0.00185639257323519,0.00185639257323519,0.08391319152388826,50,0,0,0,1000,1547586068
53,0.432,0.012264397138143803,0.012264397138143803,0.00015612044107374644,50,0,0,0,1000,2067636100
54,0.469,0.009959073553096845,0.009959073553096845,0.002959919344252613,50,0,0,0,1000,632632655
55,0.906,0.0002934041274557079,0.0002934041274557079,0.05137212721188317,50,0,0,0,1000,1468421546
56,0.514,0.00934549437797604,0.00934549437797604,0.06429521978695575,50,0,0,0,1000,1005374725
57,0.4,0.0150393792348176,0.0150393792348176,0.006983922944198992,50,0,0,0,1000,78165742
58,0.287,0.022397155026954323,0.022397155026954323,0.00015634972313225445,50,0,0,0,1000,1080121834
59,0.16,0.03979203311535042,0.03979203311535042,0.005228199599896999,50,0,0,0,1000,826541444
60,0.271,0.02268672447361781,0.02268672447361781,6.793661782845274e-06,50,0,0,0,1000,215117809
61,0.219,0.03082911660912141,0.03082911660912141,0.09168413085829048,50,0,0,0,1000,305128647
62,0.563,0.006962643375085666,0.006962643375085666,0.0002483775968688015,50,0,0,0,1000,631354571
63,0.437,0.012675203419997571,0.012675203419997571,0.09780531222887573,50,0,0,0,1000,760648162
64,0.573,0.007032173977314998,0.007032173977314998,0.0017881723364691821,50,0,0,0,1000,553576721
65,0.315,0.021800783893024547,0.021800783893024547,0.06813344799945796,50,0,0,0,1000,2078160693
66,0.038,0.06880177586892368,0.06880177586892368,0.043126267913156775,50,0,0,0,1000,2019846921
67,0.599,0.00636902010103295,0.00636902010103295,0.00697794941178213,50,0,0,0,1000,1279013547
68,0.419,0.012299152996044645,0.012299152996044645,0.0005110162270760832,50,0,0,0,1000,1134490754
69,0.422,0.013198265725749118,0.013198265725749118,0.04494084908783111,50,0,0,0,1000,849951427
70,0.296,0.024007742995548143,0.024007742995548143,0.0320254679935375,50,0,0,0,1000,1243751187
71,0.621,0.004765478317985706,0.004765478317985706,0.01684328180004786,50,0,0,0,1000,394876318
72,0.933,0.00012748713514458684,0.00012748713514458684,0.01524286215715811,50,0,0,0,1000,1285457632
73,0.91,0.00021049488985601804,0.00021049488985601804,0.0473147862439596,50,0,0,0,1000,595765758
74,0.385,0.016693169255527072,0.016693169255527072,0.000986599461577326,50,0,0,0,1000,1201503691
75,0.721,0.003076926817670237,0.003076926817670237,0.04569570012919622,50,0,0,0,1000,1542418348
