,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.344,0.020256139147548265,0.020256139147548265,0.028735505313152738,50,0,0,0,1000,1019282514
1,0.521,0.007258808692948145,0.007258808692948145,0.020621531271257185,50,0,0,0,1000,1679872250
2,0.952,8.297846225226761e-05,8.297846225226761e-05,0.02809703317819021,50,0,0,0,1000,1837932928
3,0.248,0.02876341869467775,0.02876341869467775,0.03155570496678221,50,0,0,0,1000,1442006727
4,0.766,0.0013498968510710725,0.0013498968510710725,0.024578814847582765,50,0,0,0,1000,221822463
5,0.946,9.189147167201708e-05,9.189147167201708e-05,0.0023746905649323614,50,0,0,0,1000,509771608
6,0.577,0.00696740830151738,0.00696740830151738,0.012608697227642289,50,0,0,0,1000,1530295774
7,0.093,0.05532606252108303,0.05532606252108303,0.001073921243293469,50,0,0,0,1000,385390263
8,0.644,0.004468440403167659,0.004468440403167659,0.052517927035582765,50,0,0,0,1000,1825954996
9,0.639,0.0036343092772447836,0.0036343092772447836,0.0042901752876174145,50,0,0,0,1000,744368653
10,0.802,0.0011936005128166212,0.0011936005128166212,0.0015784363181047245,50,0,0,0,1000,62625325
11,0.33,0.01940025028769887,0.01940025028769887,0.018335931347298225,50,0,0,0,1000,326653715
12,0.343,0.016501057163588868,0.016501057163588868,0.00032742442171140423,50,0,0,0,1000,283920944
13,0.084,0.06456271412949124,0.06456271412949124,0.027060059089906843,50,0,0,0,1000,668789807
14,0.155,0.04874369531308127,0.04874369531308127,0.022623414356119788,50,0,0,0,1000,2027587152
15,0.783,0.0013484642380207229,0.0013484642380207229,0.023022948014507435,50,0,0,0,1000,513262592
16,0.269,0.02497133150240018,0.02497133150240018,0.03452033811631991,50,0,0,0,1000,1975749735
17,0.424,0.01408810307229446,0.01408810307229446,0.03659623134514989,50,0,0,0,1000,1167280423
18,0.449,0.013857800843618583,0.013857800843618583,0.009624045320066648,50,0,0,0,1000,2007660583
19,0.502,0.00982490892044235,0.00982490892044235,0.011385064328440496,50,0,0,0,1000,1970764024
20,0.523,0.007160505647635823,0.007160505647635823,0.0007636510355528137,50,0,0,0,1000,63871913
21,0.767,0.0017539009510051046,0.0017539009510051046,0.002304805770020882,50,0,0,0,1000,954051228
22,0.849,0.0007558264750947328,0.0007558264750947328,0.024740334399614518,50,0,0,0,1000,1156649634
23,0.466,0.010744919724645452,0.010744919724645452,0.0007661974541153547,50,0,0,0,1000,1632697641
24,0.774,0.0014894769705892368,0.0014894769705892368,0.001071753218568794,50,0,0,0,1000,1572200133
25,0.129,0.044727887188169405,0.044727887188169405,8.258477304839354e-06,50,0,0,0,1000,1235406039
26,0.15,0.042133519914896826,0.042133519914896826,0.004305445735023049,50,0,0,0,1000,1407710297
27,0.232,0.03270703688781853,0.03270703688781853,0.04113094952668125,50,0,0,0,1000,1099262776
28,0.759,0.0020545337175226935,0.0020545337175226935,0.0023671742747025616,50,0,0,0,1000,92382466
29,0.384,0.016161553550671497,0.016161553550671497,0.010958002536429734,50,0,0,0,1000,1411240924
30,0.241,0.0318911869858243,0.0318911869858243,0.11559859261062881,50,0,0,0,1000,1772108105
31,0.52,0.007630551593667448,0.007630551593667448,0.007342074638443581,50,0,0,0,1000,2033087279
32,0.983,3.579011128314565e-05,3.579011128314565e-05,0.11134131509627343,50,0,0,0,1000,954521694
33,0.957,4.827007463370689e-05,4.827007463370689e-05,0.007255518569679919,50,0,0,0,1000,1965599707
34,0.991,2.0240963875937755e-06,2.0240963875937755e-06,0.016126373704875137,50,0,0,0,1000,121509168
35,0.206,0.0344471560741268,0.0344471560741268,0.001330315085884947,50,0,0,0,1000,1546692160
36,0.234,0.027868288926203046,0.027868288926203046,0.06415553925646122,50,0,0,0,1000,1779326814
37,0.861,0.0004920986480289766,0.0004920986480289766,0.017491475431840826,50,0,0,0,1000,263613230
38,0.5,0.009686959612367914,0.009686959612367914,0.01804439392489415,50,0,0,0,1000,575081790
39,0.507,0.01011041731630028,0.01011041731630028,7.9251790594264e-05,50,0,0,0,1000,1952795859
40,0.246,0.028086381112471238,0.028086381112471238,0.059584557563800496,50,0,0,0,1000,1317866667
41,0.443,0.012661661694315868,0.012661661694315868,0.0010571999446393728,50,0,0,0,1000,1531761554
42,0.653,0.004580886591428152,0.004580886591428152,0.0041347346481222964,50,0,0,0,1000,673934066
43,0.021,0.12133895635614611,0.12133895635614611,0.025893998491402486,50,0,0,0,1000,758712243
44,0.013,0.11316560997044961,0.11316560997044961,0.008696275967105266,50,0,0,0,1000,916824962
45,0.921,0.00022507899785620652,0.00022507899785620652,0.0009374254779089501,50,0,0,0,1000,475381739
46,0.561,0.006469723302056905,0.006469723302056905,0.027103145943618685,50,0,0,0,1000,2017410956
47,0.569,0.006637547101001314,0.006637547101001314,0.02038020131685385,50,0,0,0,1000,1962968207
48,0.508,0.009562596267231856,0.009562596267231856,0.008032932994475854,50,0,0,0,1000,1516260517
49,0.529,0.008620239228480125,0.008620239228480125,0.0031544827612372387,50,0,0,0,1000,1751674605
50,0.671,0.0033232073722111646,0.0033232073722111646,0.0035825754367725723,50,0,0,0,1000,275394254
51,0.129,0.041430644697269495,0.041430644697269495,0.00403136120921688,50,0,0,0,1000,730817417
52,0.711,0.006082440623863283,0.006082440623863283,0.08163982296683091,50,0,0,0,1000,1547586068
53,0.633,0.004465593831577102,0.004465593831577102,0.0018125696003589372,50,0,0,0,1000,2067636100
