,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,0.33,0.004532121987772449,0.018327351929949883,0.03382332568210015,50,0,0,0,1000,1019282514
1,0.525,0.012159804155703363,0.0073528614079262375,0.018785096495117302,50,0,0,0,1000,1679872250
2,0.472,0.026986984702429904,0.010725777748956031,0.034227274073709985,50,0,0,0,1000,1837932928
3,0.093,0.01775417015669231,0.0590595455886834,0.034390221816623635,50,0,0,0,1000,1442006727
4,0.854,0.015353270808923705,0.0007675659182708075,0.03979900032771888,50,0,0,0,1000,221822463
5,0.835,0.008019338514069434,0.000784559775792117,1.8135452677693055e-05,50,0,0,0,1000,509771608
6,0.504,0.006951292950342835,0.00939449606845726,0.016598317627745947,50,0,0,0,1000,1530295774
7,0.06,0.0066790672197990855,0.06717726522796345,2.862758555303081e-05,50,0,0,0,1000,385390263
8,0.676,0.03519829245640294,0.004060997101660606,0.04262904688647152,50,0,0,0,1000,1825954996
9,0.587,0.1399754425011079,0.005377372176717828,0.010865082469077811,50,0,0,0,1000,744368653
10,0.904,0.022246237163221137,0.00023888995509499446,0.0005005859750930639,50,0,0,0,1000,62625325
11,0.36,0.00935371400355043,0.01792139021793403,0.015847402152235943,50,0,0,0,1000,326653715
12,0.311,0.016469025614855103,0.01996422164703785,0.0012883177062840328,50,0,0,0,1000,283920944
13,0.062,0.03267885468279296,0.07193023118209055,0.02700610529730342,50,0,0,0,1000,668789807
14,0.202,0.016406420462503808,0.03754187155439784,0.027392455247411233,50,0,0,0,1000,2027587152
15,0.899,0.05349239784938463,0.00033162326576982874,0.02703128240103154,50,0,0,0,1000,513262592
16,0.183,0.019664838596211688,0.03614216578380076,0.0453896451279108,50,0,0,0,1000,1975749735
17,0.477,0.029921896975242643,0.010640611394769484,0.028978488865829394,50,0,0,0,1000,1167280423
18,0.604,0.0007857045498431809,0.005990781033802808,0.010000510043523753,50,0,0,0,1000,2007660583
19,0.566,0.042695167561165634,0.00737861539609896,0.012555276575888306,50,0,0,0,1000,1970764024
20,0.659,6.134399787511257e-06,0.004023302397053674,0.000727123759534809,50,0,0,0,1000,63871913
21,0.791,0.02114816762641013,0.0012717633004555482,0.001468229949827788,50,0,0,0,1000,954051228
22,0.89,0.008015428451990434,0.0003613898517410776,0.015508074120234788,50,0,0,0,1000,1156649634
23,0.724,0.024183948895556168,0.002783776956737781,0.0026551422955509527,50,0,0,0,1000,1632697641
24,0.771,0.017475253904119747,0.001964894134789524,0.00018353404835965025,50,0,0,0,1000,1572200133
25,0.166,0.047676833042170914,0.036565161506812,0.00016671125011625667,50,0,0,0,1000,1235406039
26,0.182,0.0427712213370777,0.03312651027753483,0.006602835515274735,50,0,0,0,1000,1407710297
27,0.264,0.01625053652558224,0.025915571010935303,0.02904205709544708,50,0,0,0,1000,1099262776
28,0.659,0.0001439037883092555,0.004085653862213112,0.0024712349948181715,50,0,0,0,1000,92382466
29,0.334,0.00017166696495193312,0.02052827255548759,0.0071494013868096725,50,0,0,0,1000,1411240924
30,0.206,0.018552449893055576,0.035288804093722474,0.10771839116978627,50,0,0,0,1000,1772108105
31,0.515,0.053267711805754674,0.008601179979523463,0.0023626801426214266,50,0,0,0,1000,2033087279
32,0.917,0.1009635295065246,0.00025465917077699375,0.07603253954204041,50,0,0,0,1000,954521694
33,0.795,0.0013974423871483477,0.0015156424875688074,0.0033318658965337533,50,0,0,0,1000,1965599707
34,0.879,8.523939846635686e-05,0.000438494179752317,0.014706140945466992,50,0,0,0,1000,121509168
35,0.183,0.01680628692005477,0.03709737547863484,0.0029360769879068246,50,0,0,0,1000,1546692160
36,0.223,0.0005118934279427772,0.031365636545118786,0.06659584261074313,50,0,0,0,1000,1779326814
37,0.881,0.008307784191654254,0.0005046423978923183,0.01539409060630426,50,0,0,0,1000,263613230
38,0.517,0.06395709568621459,0.009846036898477508,0.007012605339103578,50,0,0,0,1000,575081790
39,0.574,0.0019175116834662148,0.006391317568156043,0.00044528866939351095,50,0,0,0,1000,1952795859
40,0.162,0.011508433350273208,0.040124567966712876,0.05686429598046177,50,0,0,0,1000,1317866667
41,0.557,0.00039757041042145727,0.007722463707757003,0.0035603830362969558,50,0,0,0,1000,1531761554
42,0.78,0.022305889171898366,0.001807077514784132,0.0003672666972359395,50,0,0,0,1000,673934066
