,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,p-val,0.004532121987772449,0.018327351929949883,0.03382332568210015,50,0,0,0,1000,1019282514
1,p-val,0.012159804155703365,0.00735286140792624,0.018785096495117302,50,0,0,0,1000,1679872250
2,p-val,0.026986984702429904,0.010725777748956031,0.034227274073709985,50,0,0,0,1000,1837932928
3,p-val,0.01775417015669231,0.0590595455886834,0.034390221816623635,50,0,0,0,1000,1442006727
4,p-val,0.015353270808923701,0.0007675659182708073,0.03979900032771888,50,0,0,0,1000,221822463
5,p-val,0.00801933851406943,0.000784559775792117,1.8135452677693055e-05,50,0,0,0,1000,509771608
6,p-val,0.006951292950342838,0.00939449606845726,0.01659831762774594,50,0,0,0,1000,1530295774
7,p-val,0.0066790672197990855,0.06717726522796345,2.862758555303081e-05,50,0,0,0,1000,385390263
8,p-val,0.035198292456402956,0.004060997101660605,0.042629046886471525,50,0,0,0,1000,1825954996
9,p-val,0.13997544250110797,0.005377372176717828,0.010865082469077811,50,0,0,0,1000,744368653
10,p-val,0.022246237163221126,0.00023888995509499446,0.0005005859750930638,50,0,0,0,1000,62625325
11,p-val,0.009353714003550426,0.01792139021793403,0.015847402152235943,50,0,0,0,1000,326653715
12,p-val,0.01646902561485511,0.01996422164703784,0.0012883177062840328,50,0,0,0,1000,283920944
13,p-val,0.03267885468279295,0.07193023118209058,0.02700610529730341,50,0,0,0,1000,668789807
14,p-val,0.016406420462503808,0.03754187155439784,0.027392455247411233,50,0,0,0,1000,2027587152
15,p-val,0.05349239784938462,0.00033162326576982874,0.02703128240103154,50,0,0,0,1000,513262592
16,p-val,0.019664838596211688,0.03614216578380076,0.0453896451279108,50,0,0,0,1000,1975749735
17,p-val,0.029921896975242637,0.010640611394769484,0.028978488865829405,50,0,0,0,1000,1167280423
18,p-val,0.0007857045498431809,0.005990781033802806,0.010000510043523753,50,0,0,0,1000,2007660583
19,p-val,0.04269516756116565,0.00737861539609896,0.012555276575888306,50,0,0,0,1000,1970764024
20,p-val,6.134399787511257e-06,0.004023302397053676,0.000727123759534809,50,0,0,0,1000,63871913
21,p-val,0.02114816762641013,0.0012717633004555487,0.001468229949827788,50,0,0,0,1000,954051228
22,p-val,0.008015428451990434,0.0003613898517410776,0.015508074120234788,50,0,0,0,1000,1156649634
23,p-val,0.024183948895556168,0.0027837769567377814,0.0026551422955509527,50,0,0,0,1000,1632697641
24,p-val,0.01747525390411974,0.0019648941347895246,0.00018353404835965025,50,0,0,0,1000,1572200133
25,p-val,0.047676833042170914,0.036565161506812,0.00016671125011625667,50,0,0,0,1000,1235406039
26,p-val,0.0427712213370777,0.03312651027753483,0.006602835515274732,50,0,0,0,1000,1407710297
27,p-val,0.01625053652558224,0.025915571010935314,0.02904205709544708,50,0,0,0,1000,1099262776
28,p-val,0.0001439037883092555,0.004085653862213112,0.0024712349948181715,50,0,0,0,1000,92382466
29,p-val,0.00017166696495193312,0.02052827255548759,0.00714940138680967,50,0,0,0,1000,1411240924
30,p-val,0.018552449893055583,0.035288804093722474,0.10771839116978627,50,0,0,0,1000,1772108105
31,p-val,0.05326771180575467,0.008601179979523463,0.0023626801426214266,50,0,0,0,1000,2033087279
32,p-val,0.1009635295065246,0.00025465917077699375,0.07603253954204038,50,0,0,0,1000,954521694
33,p-val,0.0013974423871483481,0.0015156424875688067,0.0033318658965337524,50,0,0,0,1000,1965599707
34,p-val,8.523939846635689e-05,0.000438494179752317,0.014706140945466992,50,0,0,0,1000,121509168
35,p-val,0.016806286920054758,0.03709737547863485,0.0029360769879068255,50,0,0,0,1000,1546692160
36,p-val,0.0005118934279427772,0.0313656365451188,0.06659584261074313,50,0,0,0,1000,1779326814
37,p-val,0.008307784191654254,0.0005046423978923183,0.015394090606304256,50,0,0,0,1000,263613230
38,p-val,0.06395709568621459,0.009846036898477508,0.007012605339103581,50,0,0,0,1000,575081790
39,p-val,0.0019175116834662148,0.006391317568156045,0.00044528866939351095,50,0,0,0,1000,1952795859
40,p-val,0.011508433350273208,0.04012456796671286,0.05686429598046178,50,0,0,0,1000,1317866667
41,p-val,0.00039757041042145727,0.007722463707757003,0.0035603830362969558,50,0,0,0,1000,1531761554
42,p-val,0.02230588917189836,0.001807077514784132,0.0003672666972359396,50,0,0,0,1000,673934066
43,p-val,0.0007680900086748714,0.09610621696874473,0.023106572303968023,50,0,0,0,1000,758712243
44,p-val,0.008808766680150211,0.09583365671621205,0.013436348021644113,50,0,0,0,1000,916824962
45,p-val,0.024768613597642153,0.0003994224999066585,0.001461648097259511,50,0,0,0,1000,475381739
46,p-val,0.011040290485802122,0.0213250399951298,0.032985428516250845,50,0,0,0,1000,2017410956
47,p-val,0.01946602834808396,0.021556997115451344,0.022815951045898557,50,0,0,0,1000,1962968207
48,p-val,0.009166779520975112,0.003981017983633936,0.01049886644802111,50,0,0,0,1000,1516260517
49,p-val,0.039943094379604666,0.012108564323658096,0.014254018584498648,50,0,0,0,1000,1751674605
50,p-val,0.05589434372025135,0.005668813778512927,0.003002470405284318,50,0,0,0,1000,275394254
51,p-val,0.1347687213906478,0.033410507015733164,0.0037367187165306447,50,0,0,0,1000,730817417
52,p-val,0.11175609500590908,0.0023322918836133303,0.071419202686418,50,0,0,0,1000,1547586068
53,p-val,6.227617249062169e-05,0.0075471902017408285,4.252418669204823e-05,50,0,0,0,1000,2067636100
54,p-val,0.015618107733673722,0.006387767719468197,0.002131230657491804,50,0,0,0,1000,632632655
55,p-val,0.00022774700047248375,0.000325469327978884,0.092200786540723,50,0,0,0,1000,1468421546
56,p-val,9.792986861202903e-05,0.0005008633135720956,0.05430277762122392,50,0,0,0,1000,1005374725
57,p-val,0.00019124301751184496,0.023995384704309862,0.007535013471495488,50,0,0,0,1000,78165742
58,p-val,0.021074894012709407,0.024203977087313804,0.0027507710586192526,50,0,0,0,1000,1080121834
59,p-val,3.1232144356170865e-05,0.031107420298922935,0.00041897683518099803,50,0,0,0,1000,826541444
60,p-val,0.019734729882993032,0.041904004332943716,0.0038715352012677344,50,0,0,0,1000,215117809
61,p-val,0.0015817999764146213,0.001182967826661128,0.08155657282798386,50,0,0,0,1000,305128647
62,p-val,0.09321537434642564,0.01936980288062851,0.0005472744362244482,50,0,0,0,1000,631354571
63,p-val,0.018696560299571986,0.006517624523758454,0.031157814056934366,50,0,0,0,1000,760648162
64,p-val,0.0012743232163473688,0.001491635723432526,0.017335624187350386,50,0,0,0,1000,553576721
65,p-val,0.0031368074309790096,0.018569719419920687,0.07557927842835284,50,0,0,0,1000,2078160693
66,p-val,0.11169644126293603,0.0537118563691832,0.0029078689338245243,50,0,0,0,1000,2019846921
67,p-val,6.804080685327463e-05,0.01283150076520074,5.047655033542682e-10,50,0,0,0,1000,1279013547
68,p-val,0.025499805960504576,0.0008356205428878893,0.000306756453045074,50,0,0,0,1000,1134490754
69,p-val,0.007525657939008063,0.009277808779881021,0.05010557821216543,50,0,0,0,1000,849951427
70,p-val,0.0007310553724540138,0.0050833177756202915,0.007724623826987686,50,0,0,0,1000,1243751187
71,p-val,0.0015779537423111134,0.001570981664617831,0.006291346853248173,50,0,0,0,1000,394876318
72,p-val,0.022280157264124616,0.0013672241392947901,0.012822682773030869,50,0,0,0,1000,1285457632
73,p-val,0.00013505974421443686,0.010874971848808156,0.07058656756322032,50,0,0,0,1000,595765758
74,p-val,0.01752294285482948,0.09467006436558498,0.004011207296831419,50,0,0,0,1000,1201503691
75,p-val,0.01818131132875848,0.0007425547154165719,0.03884129684529601,50,0,0,0,1000,1542418348
76,p-val,0.021782844542480813,0.00015933096422740745,0.0005072494611342693,50,0,0,0,1000,244592230
77,p-val,0.004354126035996341,0.010726526224023206,0.029031818685404887,50,0,0,0,1000,1969263265
78,p-val,0.0006967159804033644,0.011087891921998312,8.104736328581647e-06,50,0,0,0,1000,1096437208
79,p-val,0.00018417710580642373,0.006139549305407599,0.008409217893521496,50,0,0,0,1000,908217484
80,p-val,0.0003341477865513107,0.015836934612827123,0.003424748224188439,50,0,0,0,1000,152089541
81,p-val,0.010881065075541242,0.0013919737087542381,2.4119637234658744e-07,50,0,0,0,1000,394114712
82,p-val,0.00770974168818629,0.0014026328472409408,0.0058347722722526104,50,0,0,0,1000,941097907
83,p-val,0.006057188048716302,0.0017146508627481614,0.039932603712771055,50,0,0,0,1000,1075348184
84,p-val,1.3661812094994243e-05,0.0005837255238571937,0.0013838987427101633,50,0,0,0,1000,501147184
85,p-val,0.07257958426104057,7.048012125229387e-05,0.00198994241295748,50,0,0,0,1000,1768542267
86,p-val,0.06470964848823706,0.0019405674655739464,0.0036428710126020576,50,0,0,0,1000,613563948
87,p-val,0.004433911808204362,0.015838953915923396,0.00031819225504448213,50,0,0,0,1000,780420734
88,p-val,0.0023451840981687537,0.0022152244987319767,0.008547288351089746,50,0,0,0,1000,1530635368
89,p-val,0.00272377608572357,0.013797389968459486,0.0010291575594368395,50,0,0,0,1000,1049747644
90,p-val,0.006147972323341388,0.030371162004690345,0.01797238000438364,50,0,0,0,1000,2133868785
91,p-val,0.00025010090191421715,0.04405063476160233,0.0655027887139681,50,0,0,0,1000,1227640767
92,p-val,0.09351948153196707,0.039640921423559475,0.014667926711038486,50,0,0,0,1000,1400720309
93,p-val,0.010252077568910105,0.05946436427351994,0.002855749231075471,50,0,0,0,1000,1875327350
94,p-val,0.0248710720394693,0.0013814877361273867,0.009707323255150448,50,0,0,0,1000,998633014
95,p-val,0.011542904616532849,0.0019240498747845694,0.0022298653904508576,50,0,0,0,1000,1495616662
96,p-val,0.003966055352737021,0.0023755014437755527,0.05408697110024804,50,0,0,0,1000,2077593581
97,p-val,0.050590156366813535,0.009601310692704694,0.06918342897293657,50,0,0,0,1000,1777051770
98,p-val,0.027040634849040592,0.00035304179953236616,0.042918143758026765,50,0,0,0,1000,1966510930
99,p-val,0.0062968137952269946,0.004701962439903893,3.613095008058348e-05,50,0,0,0,1000,504192306
