,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,p-val,0.011428165742146194,0.030167716642645507,1.7364554242317324e-07,50,0,0,0,1000,1019282514
1,p-val,0.0026180568032754033,0.022420536828675203,0.006948408451159368,50,0,0,0,1000,1679872250
2,p-val,0.06005456981941447,0.021314074230359647,2.4027410339483108e-05,50,0,0,0,1000,1837932928
3,p-val,0.006811804549627984,0.08742287956582522,0.002612410793274936,50,0,0,0,1000,1442006727
4,p-val,0.0011745308653170847,0.02277923783384098,0.045633583466980335,50,0,0,0,1000,221822463
5,p-val,0.0008417243595205877,0.0011937520930743436,1.0488331390580613e-05,50,0,0,0,1000,509771608
6,p-val,0.029028637198500556,0.0007414091335071819,0.003613700581354591,50,0,0,0,1000,1530295774
7,p-val,0.013044536656691303,0.020628716529496466,0.008419417945211071,50,0,0,0,1000,385390263
8,p-val,0.025704916057016452,0.011831564252010499,0.025433980106765973,50,0,0,0,1000,1825954996
9,p-val,0.04033455469637723,0.01578833708972574,0.03115045374803753,50,0,0,0,1000,744368653
10,p-val,0.022784604467708486,0.010313492570439172,0.006034101451458049,50,0,0,0,1000,62625325
11,p-val,0.0033378463946353515,0.014092884157004423,0.011332339772620074,50,0,0,0,1000,326653715
12,p-val,0.0025366641546698057,0.02600494410509056,5.017671183801134e-05,50,0,0,0,1000,283920944
13,p-val,0.006017748056122779,0.018829583105844677,0.01601050098501142,50,0,0,0,1000,668789807
14,p-val,0.01704368089120023,0.04636770494034782,0.0026328321648208908,50,0,0,0,1000,2027587152
15,p-val,0.018587403770814366,0.015456525259987794,0.017543256049029322,50,0,0,0,1000,513262592
16,p-val,0.00031933630503773534,0.05727854666765678,7.863045683813892e-05,50,0,0,0,1000,1975749735
17,p-val,0.04048018914212053,0.004602097639978524,0.011029125324711274,50,0,0,0,1000,1167280423
18,p-val,0.0055556038599968655,0.001129676862171664,0.010367597248629862,50,0,0,0,1000,2007660583
19,p-val,0.015241725270256124,0.02040404772560658,0.01900770426805881,50,0,0,0,1000,1970764024
20,p-val,0.008065437233005124,0.0018546582902288918,0.000535339503992763,50,0,0,0,1000,63871913
21,p-val,0.03380875379336491,0.00019735833488139035,0.0004134508242336995,50,0,0,0,1000,954051228
22,p-val,0.09805370007327353,0.03389729722538157,0.012772987168826494,50,0,0,0,1000,1156649634
23,p-val,0.1019294917147722,0.13026598448996904,0.0060502990006874304,50,0,0,0,1000,1632697641
