,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,p-val,0.009989619911053509,0.031285979773340786,0.007913262910254916,50,0,0,0,1000,1019282514
1,p-val,0.0008918241007164014,0.016171725464559132,0.010986477424625173,50,0,0,0,1000,1679872250
2,p-val,0.060885723460596744,0.0010810064230423952,0.009598313652081867,50,0,0,0,1000,1837932928
3,p-val,0.00920411151764595,0.10181703834367192,0.012251384382540677,50,0,0,0,1000,1442006727
4,p-val,0.00495849325604097,0.0068250035844844995,0.055012254307957316,50,0,0,0,1000,221822463
5,p-val,0.0007531180617235224,0.0012265779573504912,0.0010118457735284196,50,0,0,0,1000,509771608
6,p-val,0.024594833297851268,0.006576160928768099,0.016680157118053224,50,0,0,0,1000,1530295774
7,p-val,0.007879631001395455,0.05156754925436959,0.005528201995019812,50,0,0,0,1000,385390263
8,p-val,0.03490404411684181,0.0116318714644018,0.042606628462017036,50,0,0,0,1000,1825954996
9,p-val,0.08936602549383059,0.01819724128480406,0.030067456601866507,50,0,0,0,1000,744368653
10,p-val,0.023809885311290847,0.0035154757027445827,0.006349197310473795,50,0,0,0,1000,62625325
11,p-val,0.003575080074367882,0.01445985416075803,0.008542956193598126,50,0,0,0,1000,326653715
12,p-val,0.013666551989743191,0.029468591825567828,0.0016665473752981194,50,0,0,0,1000,283920944
13,p-val,0.01702334691453472,0.04762656771690853,0.023990267663185554,50,0,0,0,1000,668789807
14,p-val,0.019519675764432084,0.04377412699545602,0.012978281253395072,50,0,0,0,1000,2027587152
15,p-val,0.03550112929081678,0.004985065420615472,0.019427396535194572,50,0,0,0,1000,513262592
16,p-val,0.004302428984593042,0.06663596383706213,0.010141587977697524,50,0,0,0,1000,1975749735
17,p-val,0.03213727258851534,0.005676328355571167,0.016758065467898903,50,0,0,0,1000,1167280423
18,p-val,0.0027965804745004466,0.0024341033974024963,0.01428809433659483,50,0,0,0,1000,2007660583
19,p-val,0.0256755701098514,0.013372923207080367,0.015991971316728602,50,0,0,0,1000,1970764024
20,p-val,0.004955569946428305,0.0026291177089675555,0.00033541755545464465,50,0,0,0,1000,63871913
21,p-val,0.03082365070438292,0.0009197457126672788,2.2572565271440777e-05,50,0,0,0,1000,954051228
22,p-val,0.04341219140208138,0.01563097894764895,0.012550029087949102,50,0,0,0,1000,1156649634
23,p-val,0.06850334524149579,0.04565918913945871,0.00024398151161298076,50,0,0,0,1000,1632697641
24,p-val,0.005163087443746768,0.005353576875159352,0.010799619795287495,50,0,0,0,1000,1572200133
25,p-val,0.036838089512135616,0.018560094555708,0.002808400198711601,50,0,0,0,1000,1235406039
26,p-val,0.01664552367346856,0.0316133311439093,0.01794149400684084,50,0,0,0,1000,1407710297
27,p-val,0.010763266168996075,0.002886831334899229,0.025437420743479242,50,0,0,0,1000,1099262776
28,p-val,0.0015312529233231385,0.020326717615318485,0.003207269384067691,50,0,0,0,1000,92382466
29,p-val,0.0011280874831278485,0.001614253600445991,0.02478786892457783,50,0,0,0,1000,1411240924
30,p-val,0.029854536274996738,0.03033037273709242,0.12388641088922372,50,0,0,0,1000,1772108105
31,p-val,0.020486530933424868,0.010240333513547256,0.0007922690531326485,50,0,0,0,1000,2033087279
32,p-val,0.10960775383752647,0.0005293231550783014,0.13850516954315034,50,0,0,0,1000,954521694
33,p-val,0.000254947757923317,0.0013345313738614753,0.009479012956259204,50,0,0,0,1000,1965599707
34,p-val,0.0019612095281804215,0.0043079958745853965,0.011534283167309227,50,0,0,0,1000,121509168
35,p-val,0.0054603471685492075,0.035774184186388225,0.006592960362246007,50,0,0,0,1000,1546692160
36,p-val,0.0045908808097609765,0.05497961676914433,0.03241631074210215,50,0,0,0,1000,1779326814
37,p-val,0.0021666899446388553,0.00037321357208137886,0.027033905506610573,50,0,0,0,1000,263613230
38,p-val,0.05669014446227418,0.036053719810291054,0.010182849270792303,50,0,0,0,1000,575081790
39,p-val,0.0085626714224607,0.018554554939614443,0.0005517707254643826,50,0,0,0,1000,1952795859
40,p-val,0.009716985001322571,0.032360086718439825,0.051123792906723836,50,0,0,0,1000,1317866667
41,p-val,0.004516970687023989,0.00885541224895704,0.010821825665515598,50,0,0,0,1000,1531761554
42,p-val,0.006775004357670489,0.0003663648543317818,3.984448738490666e-06,50,0,0,0,1000,673934066
43,p-val,0.0002643272685125041,0.07845530198242566,0.016603419072680283,50,0,0,0,1000,758712243
44,p-val,0.002689273184798227,0.06879020032620932,0.011909886173420791,50,0,0,0,1000,916824962
45,p-val,0.01997793115135271,0.0016915558852346638,0.0023305945931753618,50,0,0,0,1000,475381739
46,p-val,0.01233243630640659,0.04139631729501218,0.05286624382753039,50,0,0,0,1000,2017410956
47,p-val,0.023029836076661432,0.000922768577670243,0.00614824438738162,50,0,0,0,1000,1962968207
48,p-val,0.0017868108469691292,0.0015803950040164962,0.007635777417835598,50,0,0,0,1000,1516260517
49,p-val,0.03668679736042543,0.04001371734002348,0.05128643201027704,50,0,0,0,1000,1751674605
50,p-val,0.010116410766602319,0.00013491006308445129,0.0027925774227829576,50,0,0,0,1000,275394254
51,p-val,0.15147529695960055,0.022966843379313935,0.0035100270349391117,50,0,0,0,1000,730817417
52,p-val,0.03923401825099605,0.00185639257323519,0.08391319152388824,50,0,0,0,1000,1547586068
53,p-val,0.00641359490746193,0.012264397138143803,0.00015612044107374647,50,0,0,0,1000,2067636100
54,p-val,0.00796677007693927,0.009959073553096843,0.002959919344252614,50,0,0,0,1000,632632655
55,p-val,0.0004162137752227817,0.0002934041274557079,0.05137212721188317,50,0,0,0,1000,1468421546
56,p-val,0.0033933025641302845,0.00934549437797604,0.06429521978695575,50,0,0,0,1000,1005374725
57,p-val,0.001080281619956134,0.015039379234817603,0.006983922944198992,50,0,0,0,1000,78165742
58,p-val,0.05265799377618356,0.022397155026954316,0.00015634972313225445,50,0,0,0,1000,1080121834
59,p-val,3.4796958182158394e-06,0.03979203311535042,0.005228199599896999,50,0,0,0,1000,826541444
60,p-val,0.018441950584358466,0.02268672447361781,6.793661782845274e-06,50,0,0,0,1000,215117809
61,p-val,0.0029545869084335054,0.03082911660912141,0.09168413085829046,50,0,0,0,1000,305128647
62,p-val,0.02187384571849401,0.006962643375085666,0.0002483775968688015,50,0,0,0,1000,631354571
63,p-val,0.015353759558410117,0.012675203419997567,0.09780531222887573,50,0,0,0,1000,760648162
64,p-val,0.0017527373659634656,0.007032173977315001,0.0017881723364691821,50,0,0,0,1000,553576721
65,p-val,0.0031839902959257256,0.021800783893024547,0.06813344799945796,50,0,0,0,1000,2078160693
66,p-val,0.06490614119927146,0.06880177586892364,0.04312626791315679,50,0,0,0,1000,2019846921
67,p-val,0.0025802562521802437,0.006369020101032948,0.006977949411782128,50,0,0,0,1000,1279013547
68,p-val,0.01596869622057753,0.012299152996044645,0.0005110162270760831,50,0,0,0,1000,1134490754
69,p-val,3.456066239316325e-05,0.013198265725749114,0.04494084908783111,50,0,0,0,1000,849951427
70,p-val,0.014009591959349255,0.024007742995548143,0.03202546799353748,50,0,0,0,1000,1243751187
71,p-val,0.0014268941943179974,0.004765478317985708,0.016843281800047852,50,0,0,0,1000,394876318
72,p-val,0.02009484200077118,0.00012748713514458684,0.01524286215715811,50,0,0,0,1000,1285457632
73,p-val,0.00938504704992416,0.0002104948898560181,0.0473147862439596,50,0,0,0,1000,595765758
74,p-val,0.009762804005197852,0.016693169255527072,0.000986599461577326,50,0,0,0,1000,1201503691
75,p-val,0.013276772376770541,0.003076926817670237,0.045695700129196236,50,0,0,0,1000,1542418348
76,p-val,0.019345668981768083,0.005324644129964837,9.656615612501321e-05,50,0,0,0,1000,244592230
