,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,p-val,0.004532121987772449,0.00687796631875805,0.0008555830759779213,50,0,0,0,1000,1019282514
1,p-val,0.012159804155703365,0.00926581044302734,2.5422899833389107e-05,50,0,0,0,1000,1679872250
2,p-val,0.026986984702429904,0.00454369286965393,8.481252510518117e-05,50,0,0,0,1000,1837932928
3,p-val,0.01775417015669231,0.0736595766392191,0.032059635461366115,50,0,0,0,1000,1442006727
4,p-val,0.015353270808923701,0.0027813307248163413,0.08534830884699068,50,0,0,0,1000,221822463
5,p-val,0.00801933851406943,3.0287790632365218e-06,0.0032077938392403808,50,0,0,0,1000,509771608
6,p-val,0.006951292950342838,0.0019097147789682559,0.017667101257871326,50,0,0,0,1000,1530295774
7,p-val,0.0066790672197990855,0.033951487611782266,0.01673885757519919,50,0,0,0,1000,385390263
8,p-val,0.035198292456402956,0.006124340898231448,0.07277615900188696,50,0,0,0,1000,1825954996
9,p-val,0.13997544250110797,6.445533475867664e-09,0.021530628882075416,50,0,0,0,1000,744368653
10,p-val,0.022246237163221126,0.016630493372430093,0.00033116021429042096,50,0,0,0,1000,62625325
11,p-val,0.009353714003550426,0.008614739839377428,0.000647460761986323,50,0,0,0,1000,326653715
12,p-val,0.01646902561485511,0.03791328540250517,0.000507953516143778,50,0,0,0,1000,283920944
13,p-val,0.03267885468279295,0.03367071455968683,0.036658764396883696,50,0,0,0,1000,668789807
14,p-val,0.016406420462503808,0.0783021061622523,7.252147246109212e-05,50,0,0,0,1000,2027587152
15,p-val,0.05349239784938462,3.1286694535073264e-05,0.039286034997467884,50,0,0,0,1000,513262592
16,p-val,0.019664838596211688,0.02460125974425461,0.0007529367927425487,50,0,0,0,1000,1975749735
17,p-val,0.029921896975242637,0.03773439141952185,0.0178380730274308,50,0,0,0,1000,1167280423
18,p-val,0.0007857045498431809,0.004517728102896099,0.002009178398364028,50,0,0,0,1000,2007660583
19,p-val,0.04269516756116565,0.02762641174362407,0.018744668851806163,50,0,0,0,1000,1970764024
20,p-val,6.134399787511257e-06,0.009874503588647441,6.755786826570932e-05,50,0,0,0,1000,63871913
