,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed
0,p-val,0.01526794760643694,0.020256139147548265,0.028735505313152727,50,0,0,0,1000,1019282514
1,p-val,0.0076113490138113495,0.007258808692948145,0.020621531271257175,50,0,0,0,1000,1679872250
2,p-val,0.00956876570146427,8.297846225226757e-05,0.02809703317819022,50,0,0,0,1000,1837932928
3,p-val,0.013086603668450023,0.02876341869467775,0.03155570496678221,50,0,0,0,1000,1442006727
4,p-val,0.014149846417430431,0.001349896851071072,0.024578814847582765,50,0,0,0,1000,221822463
5,p-val,0.008444131758940132,9.189147167201708e-05,0.0023746905649323614,50,0,0,0,1000,509771608
6,p-val,0.00850657140120756,0.006967408301517383,0.012608697227642286,50,0,0,0,1000,1530295774
7,p-val,0.014475610738486173,0.05532606252108303,0.0010739212432934694,50,0,0,0,1000,385390263
8,p-val,0.04377001783366631,0.004468440403167659,0.052517927035582765,50,0,0,0,1000,1825954996
9,p-val,0.1191215493738168,0.0036343092772447828,0.0042901752876174145,50,0,0,0,1000,744368653
10,p-val,0.023984031449006904,0.0011936005128166212,0.0015784363181047245,50,0,0,0,1000,62625325
11,p-val,0.014499529459834409,0.019400250287698862,0.01833593134729823,50,0,0,0,1000,326653715
12,p-val,0.0074493227763528505,0.016501057163588868,0.00032742442171140423,50,0,0,0,1000,283920944
13,p-val,0.030401918585329753,0.06456271412949124,0.027060059089906843,50,0,0,0,1000,668789807
14,p-val,0.015382797158329579,0.04874369531308127,0.022623414356119788,50,0,0,0,1000,2027587152
15,p-val,0.06925908246317776,0.0013484642380207229,0.023022948014507442,50,0,0,0,1000,513262592
16,p-val,0.012897573953759775,0.02497133150240018,0.03452033811631991,50,0,0,0,1000,1975749735
17,p-val,0.03601420155703489,0.01408810307229446,0.03659623134514988,50,0,0,0,1000,1167280423
18,p-val,0.002204595563247419,0.013857800843618583,0.00962404532006665,50,0,0,0,1000,2007660583
19,p-val,0.04497844474973804,0.00982490892044235,0.011385064328440496,50,0,0,0,1000,1970764024
20,p-val,8.57725073266901e-06,0.007160505647635823,0.0007636510355528137,50,0,0,0,1000,63871913
21,p-val,0.02594775298945345,0.001753900951005105,0.002304805770020882,50,0,0,0,1000,954051228
22,p-val,0.007229494178953337,0.0007558264750947328,0.024740334399614518,50,0,0,0,1000,1156649634
23,p-val,0.024596726889169668,0.010744919724645452,0.0007661974541153547,50,0,0,0,1000,1632697641
24,p-val,0.015708379437714724,0.0014894769705892368,0.0010717532185687936,50,0,0,0,1000,1572200133
25,p-val,0.03038252031414951,0.044727887188169405,8.258477304839354e-06,50,0,0,0,1000,1235406039
26,p-val,0.03462859622121109,0.042133519914896826,0.004305445735023051,50,0,0,0,1000,1407710297
27,p-val,0.02887475679545369,0.03270703688781852,0.04113094952668125,50,0,0,0,1000,1099262776
